circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-Парк,Алберт-Парк Гран-при,Мельбурн,Австралия,-37.8497,144.968,10.0,https://ru.wikipedia.org/wiki/Мельбурнский_гоночный_комплекс
2,Сепанг,Международный автодром Сепанг,Кuala-Лумпур,Малайзия,2.76083,101.738,,"Штадт-Хендель Мачад-де-Грая — это гоночная трасса в Малайзии. Она расположена в районе Сепанг, штат Селангор, на северо-западе страны. Трасса была открыта в 1999 году и с тех пор стала местом проведения нескольких важных автогонок, включая Гран-при Малайзии Формулы-1."
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,https://ru.wikipedia.org/wiki/Бахрейнская_многодорожная_трасса
4,Каталанск,Круг каталонской столицы Барселоны,Монтемелло,Испания,41.57,2.26111,,Храмендос-Каталански круг
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк Стамбула
6,Монако,Сирс Монако,Монако,Монако,43.7347,7.42056,,Кольце Монако
7,Вилленев,Кирк Гиббонс Вильнюв,Монреаль,Канада,45.5,-73.5228,,Круг Гийом Виллена́в
8,магнийный курс,Кирпич Невера Магни-Корс,Магни-Курс,Франция,46.8642,3.16361,,Кирку де Невера Магни-Курс
9,Сильверстоун,Серебряный круг,Силверстоун,Великобритания,52.0786,-1.01694,,Силверстоунский автодром
10,Хоккенхаймриндж,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Хунгариринг,Венгрия,Будапешт,Венгрия,47.5789,19.2486,,"Хунгариринц — автодром в Будапеште, Венгрия, который принимает Гран-при Венгрии по формуле 1 с 1986 года."
12,Валенсия,Шоссе Валенсии,Валенсия,Испания,39.4589,-0.331667,,Окружная трасса Валенсии
13,спа,Шоссе Спа-Франкоршам,Спа,Бельгия,50.4372,5.97139,,Кирку де Спа-Франкоршамп
14,Монца,Автодром Ньурба́ррио Национа́ле ди Мо́нза,Монца,Италия,45.6156,9.28111,,Автово-дром «Национале Монца»
15,Марина-Бэй,Марина-Бэй-Стрит-Кит,Марина-Бей,Сингапур,1.2914,103.864,,Круговая трасса Марина-Бэй на улице Стрит
16,фудзи,Фудзи-сакивэй,Оямама,Япония,35.3717,138.927,,Фудзи Спидвей
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,Интерлагос,Автошлюз имени Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автоодром Хосе Карлос Пейс
19,Индианаполис,Индианаполисский автодром,Индианаполис,США,39.795,-86.2347,,Индианаполисский мотогоночный овальный автодром
20,Нюрбургринг,Нюрбургринг,Нюрнберг,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автодром Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автодромо Энцо и Дино Феррари
22,Сузука,Сузука-сакир,Сузука,Япония,34.8431,136.541,,Сузука-ринг
23,Австрийский фунт,А1-Ринг,Шпильберг,Австрия,47.2197,14.7647,,А1-ринг
24,Яс-Марина,Яс-Марина-Циркет,Абу-Даби,ОАЭ,24.4672,54.6031,,"Яс-Марина-отель — это трасса для автогонок в городе Абу-Даби, Объединённые Арабские Эмираты. Трасса была построена на территории Яс-Марины, острова, расположенном у восточного побережья Абу-Даби, и открыта в 2009 году."
25,Галвес,Автомобильная трасса Хуан и Оскар Гальвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автофидром Оскар Альфредо Гальвес
26,Херес,Циркуит де Херес,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,Круговой автодром в Хересе
27,Эсторил,Автомагистраль Эстори,Эсторил,Португалия,38.7506,-9.39417,,Автовеломагистраль Эшторила
28,Окаяма,Окаймто-Интернашнл-Сикит,Окаяма,Япония,34.915,134.221,,https://ru.wikipedia.org/wiki/Таймер-искатель_цифров_шестнадцатеричного_счета
29,Аделаида,Аделаидский уличный трасс,Аделаида,Австралия,-34.9272,138.617,,Аделаидский уличный трасса
30,Кьялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,Донингтон-Парк
