targetid,raceid,driverid,win
244,29,20,0
3438,34,1,1
4454,199,15,0
4536,203,35,0
8247,1,18,1
9643,285,123,0
10461,250,92,0
10906,218,75,0
11187,182,44,0
11366,190,57,1
11496,146,59,0
11979,135,56,0
12340,120,18,0
12595,99,22,0
12728,104,10,0
12892,57,8,0
12948,59,22,0
13136,67,23,0
13700,40,23,0
15875,321,78,0
16335,333,78,0
17730,3,1,0
18239,358,118,0
18397,362,156,0
19022,373,99,0
19389,384,133,0
19491,387,146,0
19630,393,137,0
19848,400,163,0
20038,407,176,0
20042,407,177,0
20250,414,77,0
21172,441,117,1
21938,464,176,0
22316,474,110,0
22510,479,192,0
22554,480,119,0
43224,834,642,0
43366,836,518,0
44339,820,722,0
45008,813,554,0
46306,796,538,0
46404,797,592,0
46797,789,512,0
47163,780,475,1
48201,742,430,0
48471,732,373,0
48697,737,456,0
48973,698,382,0
49989,751,530,0
50182,754,504,0
51975,806,615,0
53159,632,346,0
53272,636,320,0
53491,642,238,0
53671,672,289,0
54454,647,359,0
54557,650,359,0
54694,653,347,0
54867,608,331,0
54969,611,231,0
55381,593,289,0
55553,597,230,0
55779,602,304,0
56492,589,254,0
56693,566,235,0
57627,540,187,0
57719,542,240,0
58170,554,119,0
58541,514,197,0
58738,521,197,0
58982,500,137,0
59295,509,187,0
63405,721,341,0
63889,342,24,0
65090,866,808,0
65573,882,824,0
65720,887,814,0
65801,892,8,0
66072,258,49,0
66561,271,95,0
67289,938,13,0
67601,950,822,0
67904,962,835,0
