statusid,status
1,I am ready to assist you with your translation requests. Please provide the text that you would like me to translate from English to Russian.
2,Отменено
3,Авария
6,Гейрбокс
7,Передача
8,Клапт
10,Электрический
13,+3 кругов
16,+6 кругов
17,+7 Лапов
19,+9 кругов
20,Спин-офф
21,radатор
22,приостановка
23,Брейки
24,Дифференциальный
26,Механический
29,Перебой
30,Коробка передачи мощности
31,Увольнение
33,Передний крыло
34,Водяной दबот
36,Колесо
38,Управление
40,Электроника
50,+17 кругов
51,Точное давление масла
53,+13 кругов
54,отозвать
55,+12 кругов
56,Пожар в двигателе
58,+26 кругов
59,Прочесывание шины
61,Гайковертикальный крепеж
64,Обработка
65,Задняя крыло
66,Пожар
67,Подшипник колеса
70,Оливная трубка
75,Прекращение питания
77,Правило 107-процента
79,Двигало-передаточный механизм
82,Урон
83,Шасси
84,Батарея
88,Десять кругов
90,Не завели
91,Альтернативный генератор
92,Недвижение
93,Пояс безопасности
94,Масляный насос
96,Излученный
97,Не прошли предварительную квалификацию
98,Инъекция
100,Водитель чувствует себя плохо
102,Колодочный сустав
103,Водяной насос
105,Спайки
108,Нефтяная труба
114,18 лапс
119,23 трака
120,+21 кругов
124,+19 кругов
126,Суперчарジャー
127,+20 кругов
128,+42 круги
129,Стартерная зажигание
131,Блок питания
132,СИР
133,+49 Lap
134,38 лапс
135,Трубка тормозная
