coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
moedo01,1977,SAS,NBA,1,52,30,2.0,4.0
albecst01,1970,DNR,ABA,2,27,44,0.0,0.0
cartebu01,1999,TOR,NBA,1,45,37,0.0,3.0
lapchjo01,1948,NYK,NBA,1,32,28,3.0,3.0
adelmri01,2004,SAC,NBA,1,50,32,1.0,4.0
jacksph01,1992,CHI,NBA,1,57,25,15.0,4.0
fitzsco01,1996,PHO,NBA,1,0,8,0.0,0.0
holzmre01,1956,STL,NBA,1,14,19,0.0,0.0
kundljo01,1956,MNL,NBA,1,34,38,2.0,3.0
sloanje01,2004,UTA,NBA,1,26,56,0.0,0.0
cervial01,1955,SYR,NBA,1,35,37,4.0,4.0
mullajo01,1971,KEN,ABA,1,68,16,2.0,4.0
jacksph01,2003,LAL,NBA,1,56,26,13.0,9.0
littlge01,1994,DEN,NBA,2,3,13,0.0,0.0
carlepj01,1994,POR,NBA,1,44,38,0.0,3.0
sadowed01,1946,TRH,NBA,2,3,9,0.0,0.0
irvinge01,1999,DET,NBA,2,14,10,0.0,3.0
spoeler01,2009,MIA,NBA,1,47,35,1.0,4.0
pitinri01,1987,NYK,NBA,1,38,44,1.0,3.0
wintebr01,2001,GSW,NBA,2,13,46,0.0,0.0
fitchbi01,1986,HOU,NBA,1,42,40,5.0,5.0
mcmilna01,2007,POR,NBA,1,41,41,0.0,0.0
shuege01,1978,SDC,NBA,1,43,39,0.0,0.0
tomjaru01,1996,HOU,NBA,1,57,25,9.0,7.0
saundfl01,2010,WAS,NBA,1,23,59,0.0,0.0
brownhu01,1980,ATL,NBA,1,31,48,0.0,0.0
cervial01,1951,SYR,NBA,1,40,26,3.0,4.0
fitzsco01,1970,PHO,NBA,1,48,34,0.0,0.0
currymi01,2008,DET,NBA,1,39,43,0.0,4.0
cousybo01,1969,CIN,NBA,1,36,46,0.0,0.0
fratemi01,1996,CLE,NBA,1,42,40,0.0,0.0
brownla01,1982,NJN,NBA,1,47,29,0.0,0.0
cowenda01,1996,CHH,NBA,1,54,28,0.0,3.0
jeannbu01,1969,PTP,ABA,2,15,30,0.0,0.0
bassbo01,1974,SAA,ABA,2,33,23,2.0,4.0
gentral01,1997,DET,NBA,2,16,21,0.0,0.0
costela01,1973,MIL,NBA,1,59,23,11.0,5.0
gentral01,2010,PHO,NBA,1,40,42,0.0,0.0
auerbre01,1954,BOS,NBA,1,36,36,3.0,4.0
canalka01,2011,POR,NBA,2,8,15,0.0,0.0
fitchbi01,1982,BOS,NBA,1,56,26,2.0,5.0
laydefr01,1984,UTA,NBA,1,41,41,4.0,6.0
mcguidi01,1965,NYK,NBA,2,24,35,0.0,0.0
eckmach01,1955,FTW,NBA,1,37,35,4.0,6.0
wittmra01,2006,MIN,NBA,2,12,30,0.0,0.0
nelsodo01,2000,DAL,NBA,1,53,29,4.0,6.0
brownmi02,2008,CLE,NBA,1,66,16,10.0,4.0
johnsav01,2004,DAL,NBA,2,16,2,6.0,7.0
spoeler01,2011,MIA,NBA,1,46,20,16.0,7.0
shuege01,1979,SDC,NBA,1,35,47,0.0,0.0
mccarba01,1969,NOB,ABA,1,42,42,0.0,0.0
loughke01,1982,ATL,NBA,1,43,39,1.0,2.0
broveji01,1998,WAS,NBA,2,5,13,0.0,0.0
vanguje01,2004,HOU,NBA,1,51,31,3.0,4.0
brownla01,2000,PHI,NBA,1,56,26,12.0,11.0
albecst01,1981,SAS,NBA,1,48,34,4.0,5.0
brownhu01,2002,MEM,NBA,2,28,46,0.0,0.0
costela01,1968,MIL,NBA,1,27,55,0.0,0.0
perrima01,1962,PHT,ABL1,1,10,18,,
brownla01,1981,NJN,NBA,1,44,38,0.0,2.0
