id,year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l
2,1946,QF,М,NYK,NBA,CLR,NBA,2,1
11,1947,DT,A,BLB,NBA,CHS,NBA,1,0
31,1949,DSF,J,AND,NBA,TRI,NBA,2,1
34,1950,DSF,J,NYK,NBA,BOS,NBA,2,0
39,1950,DSF,J,ROC,NBA,FTW,NBA,2,1
42,1951,DSF,J,SYR,NBA,PHW,NBA,2,1
44,1951,DF,К,MNL,NBA,ROC,NBA,3,1
50,1952,F,O,MNL,NBA,NYK,NBA,4,1
75,1956,DF,К,BOS,NBA,SYR,NBA,3,0
86,1957,DSF,J,DET,NBA,CIN,NBA,2,0
87,1958,DF,К,BOS,NBA,SYR,NBA,4,3
88,1958,DSF,J,SYR,NBA,NYK,NBA,2,0
110,1962,DF,К,LAL,NBA,STL,NBA,4,3
115,1963,DF,К,SFW,NBA,STL,NBA,4,3
118,1964,DSF,J,PHI,NBA,CIN,NBA,3,1
123,1965,DSF,J,BOS,NBA,CIN,NBA,3,2
124,1965,F,O,BOS,NBA,LAL,NBA,4,3
128,1966,DSF,J,BOS,NBA,NYK,NBA,3,1
147,1968,DSF,J,LAL,NBA,SFW,NBA,4,2
196,1975,F,O,BOS,NBA,PHO,NBA,4,2
199,1975,СФК,М,GSW,NBA,DET,NBA,4,2
207,1976,CF,Н,POR,NBA,LAL,NBA,4,0
222,1977,СФК,М,DEN,NBA,MIL,NBA,4,3
225,1978,КФП,L,PHI,NBA,NJN,NBA,2,0
227,1978,СФК,М,WSB,NBA,ATL,NBA,4,3
232,1978,СФК,М,PHO,NBA,KCK,NBA,4,1
234,1979,CF,Н,PHI,NBA,BOS,NBA,4,1
247,1980,КФП,L,PHI,NBA,IND,NBA,2,0
248,1980,СФК,М,BOS,NBA,CHI,NBA,4,0
257,1981,КФП,L,WSB,NBA,NJN,NBA,2,0
258,1981,СФК,М,BOS,NBA,WSB,NBA,4,1
284,1983,F,O,BOS,NBA,LAL,NBA,4,3
285,1983,CF,Н,LAL,NBA,PHO,NBA,4,2
286,1983,КФП,L,LAL,NBA,KCK,NBA,3,0
294,1984,КФП,L,BOS,NBA,CLE,NBA,3,1
295,1984,КФП,L,MIL,NBA,CHI,NBA,3,1
298,1984,СФК,М,BOS,NBA,DET,NBA,4,2
304,1984,КФП,L,UTA,NBA,HOU,NBA,3,2
307,1985,CF,Н,BOS,NBA,MIL,NBA,4,0
309,1985,КФП,L,MIL,NBA,NJN,NBA,3,0
310,1985,КФП,L,ATL,NBA,DET,NBA,3,1
313,1985,СФК,М,MIL,NBA,PHI,NBA,4,3
320,1985,СФК,М,HOU,NBA,DEN,NBA,4,2
322,1986,CF,Н,BOS,NBA,DET,NBA,4,3
324,1986,КФП,L,DET,NBA,WSB,NBA,3,0
326,1986,КФП,L,MIL,NBA,PHI,NBA,3,2
331,1986,КФП,L,HOU,NBA,POR,NBA,3,1
335,1986,СФК,М,SEA,NBA,HOU,NBA,4,2
345,1987,КФП,L,LAL,NBA,SAS,NBA,3,0
