playerid,award,year,lgid,note,pos
abdulka01,Вторая группа общей обороны,1970,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1970,NBA,,C
abdulka01,Финал MVP,1970,NBA,,
abdulka01,Самый ценный игрок,1970,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1971,NBA,,C
abdulka01,Самый ценный игрок,1971,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1972,NBA,,C
abdulka01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1973,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1973,NBA,,C
abdulka01,Самый ценный игрок,1973,NBA,,
abdulka01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1974,NBA,,
abdulka01,Вторая группа общей обороны,1975,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1975,NBA,,C
abdulka01,Самый ценный игрок,1975,NBA,,
abdulka01,Вторая группа общей обороны,1976,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1976,NBA,,C
abdulka01,Самый ценный игрок,1976,NBA,,
abdulka01,Вторая группа общей обороны,1977,NBA,галстук,
abdulka01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1977,NBA,,C
abdulka01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1978,NBA,,
abdulka01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1978,NBA,,C
abdulka01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1979,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1979,NBA,,C
abdulka01,Самый ценный игрок,1979,NBA,,
abdulka01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,1980,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1980,NBA,,C
abdulka01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1982,NBA,,C
abdulka01,Вторая группа общей обороны,1983,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1983,NBA,,C
abdulka01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1984,NBA,,C
abdulka01,Финал MVP,1984,NBA,,
abdulka01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1985,NBA,,C
abdulma02,Самый усовершенствованный игрок,1992,NBA,,
adamsal01,Новичок года,1975,NBA,,
aingeda01,Исполнительное заседание Года,2007,NBA,,
aldrila01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2010,NBA,,F
allenra02,Третья группа &lt; &lt; Все НБА &gt; &gt;,2000,NBA,,G
allenra02,Вторая группа &lt; &lt; Все НБА &gt; &gt;,2004,NBA,,G
allento01,Вторая группа общей обороны,2010,NBA,,G
allento01,Первая группа &lt; &lt; Всеобороны &gt; &gt;,2011,NBA,,G
anderry01,Самый усовершенствованный игрок,2011,NBA,,
anthoca01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2005,NBA,,F
anthoca01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2006,NBA,,F
anthoca01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2008,NBA,,F
anthoca01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,2009,NBA,,F
anthoca01,Третья группа &lt; &lt; Все НБА &gt; &gt;,2011,NBA,,F
archina01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1971,NBA,,G
archina01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1972,NBA,,G
archina01,Первая группа &lt; &lt; Все НБА &gt; &gt;,1974,NBA,,G
abdulka01,Вторая группа общей обороны,1969,NBA,,
abdulka01,Вторая группа &lt; &lt; Все НБА &gt; &gt;,1969,NBA,,C
abdulka01,Новичок года,1969,NBA,,
