year,hofid,name,category
1966,bouchbu01h,Butch Bouchard,Player
1958,conneal01h,Alec Connell,Player
1974,haych01h,Charles Hay,Builder
1977,hortoti01h,Tim Horton,Player
1962,schrisw01h,Sweeney Schriner,Player
1945,stuarho01h,Hod Stuart,Player
1986,boivile01h,Leo Boivin,Player
1989,lewishe01h,Herbie Lewis,Player
1991,pulfobo01h,Bob Pulford,Player
2006,roypa01h,Patrick Roy,Player
1952,boondi01h,Dickie Boon,Player
1958,dudlege01h,George Dudley,Builder
1969,hextabr01h,Bryan Hextall,Player
1964,stewaja01h,Jack Stewart,Player
1995,robinla01h,Larry Robinson,Player
1962,maxwest01h,Steamer Maxwell,Player
1992,gainebo01h,Bob Gainey,Player
1958,mcnamge02h,George McNamara,Player
1993,grifffr01h,Frank Griffiths,Builder
1994,oneilbr01h,Brian O'Neill,Builder
1988,laflegu01h,Guy Lafleur,Player
1962,smithal03h,Alf Smith,Player
1967,brodatu01h,Turk Broda,Player
1973,molsoha01h,Hartland Molson,Builder
1947,clappdi01h,Dit Clapper,Player
1998,goulemi01h,Michel Goulet,Player
1978,pronoma01h,Marcel Pronovost,Player
1960,selkefr01h,Frank Selke,Builder
1984,imlacpu01h,Punch Imlach,Builder
2011,howema01h,Mark Howe,Player
1993,shuttst01h,Steve Shutt,Player
2006,duffdi01h,Dick Duff,Player
1947,hewitwi01h,William Hewitt,Builder
1962,ruttaja01h,Jack Ruttan,Player
2007,macinal01h,Al MacInnis,Player
1975,armstge01h,George Armstrong,Player
1991,bossymi01h,Mike Bossy,Player
2004,murphla01h,Larry Murphy,Player
1981,ashlejo01h,John Ashley,Referee/Linesman
1962,smithfr01h,Frank Smith,Builder
1962,darraja01h,Jack Darragh,Player
1958,moranpa01h,Paddy Moran,Player
2005,kharlva01h,Valeri Kharlamov,Player
1958,gardihe01h,Herb Gardiner,Player
1968,dunnji01h,Jimmy Dunn,Builder
1963,primejo01h,Joe Primeau,Player
2002,federbe01h,Bernie Federko,Player
1978,bickejo01h,John Bickell,Builder
1958,clancki01h,King Clancy,Player
1996,bauerbo01h,Bobby Bauer,Player
1961,stuarbr02h,Bruce Stuart,Player
2008,andergl01h,Glenn Anderson,Player
1965,hewitfo01h,Foster Hewitt,Builder
2007,messima01h,Mark Messier,Player
1964,bentldo01h,Doug Bentley,Player
2006,brookhe01h,Herb Brooks,Builder
1986,savarse01h,Serge Savard,Player
1995,cookbu01h,Bun Cook,Player
1971,weilaco01h,Cooney Weiland,Player
1966,prattba01h,Babe Pratt,Player
1962,crawfru01h,Rusty Crawford,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1950,richage01h,George Richardson,Player
1968,hendyji01h,Jim Hendy,Builder
1979,juckego01h,Gordon Juckes,Builder
1971,jacksbu01h,Busher Jackson,Player
1974,coultar01h,Art Coulter,Player
2011,gilmodo01h,Doug Gilmour,Player
2010,ciccadi01h,Dino Ciccarelli,Player
1947,joliaau01h,Aurel Joliat,Player
1949,rossar01h,Art Ross,Player
1962,greensh01h,Shorty Green,Player
1984,lemaija01h,Jacques Lemaire,Player
1961,smeatco01h,Cooper Smeaton,Referee/Linesman
