year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
1995,NHL,PIT,18,11,7,0,57,52,351,2,16,100,0,14,96,2
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
1933,NHL,TOR,5,2,3,0,12,11,67,,,,,,,
1978,WHA,CIN,3,1,2,0,10,10,,,,,,,,
1989,NHL,BUF,6,2,4,0,13,17,126,2,6,30,0,2,29,0
1953,NHL,TOR,5,1,4,0,8,15,57,,,,,,,
2001,NHL,PHO,5,1,4,0,7,13,83,0,1,25,0,2,27,0
1945,NHL,BOS,10,5,5,0,29,29,47,,,,,,,
1996,NHL,COL,17,10,7,0,59,41,380,6,21,95,4,7,86,0
2011,NHL,DET,5,1,4,0,9,13,55,0,4,23,0,2,22,0
1947,NHL,TOR,9,8,1,0,38,20,102,,,,,,,
1994,NHL,CHI,16,9,7,0,45,39,203,0,9,68,1,11,75,1
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
1991,NHL,NJD,7,3,4,0,25,28,177,4,5,29,4,9,35,1
1977,WHA,NEW,14,8,6,0,56,47,,,,,,,,
1970,NHL,STL,6,2,4,0,15,16,120,,4,,0,6,,1
1982,NHL,PHI,3,0,3,0,9,18,75,0,3,17,0,4,16,0
2008,NHL,VAN,10,6,4,0,30,28,191,0,11,44,1,9,51,0
1989,NHL,MNS,7,3,4,0,18,21,274,14,8,43,2,5,43,0
1975,NHL,NYI,13,7,6,0,43,39,247,0,9,49,2,7,60,1
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1979,NHL,MNS,15,8,7,0,49,56,206,0,17,86,4,17,56,3
1971,NHL,BOS,15,12,3,0,64,34,389,,18,,1,11,,5
1975,WHA,HOU,17,8,9,0,56,64,,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1958,NHL,CHI,6,2,4,0,16,21,93,,,,,,,
2003,NHL,BOS,7,3,4,0,14,19,72,2,2,25,0,3,30,0
1968,NHL,OAK,7,3,4,0,25,23,99,,4,,0,4,,1
