year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1973,NHL,NYR,NYR,,ED,3,SF,78,40,24,14.0,,94,,,300,251,New York Rangers,782,2,66,222,2,45,239,9
1995,NHL,MTL,MTL,EC,NE,3,CQF,82,40,32,10.0,,90,,,265,248,Montreal Canadiens,1847,34,77,405,11,68,382,15
1999,NHL,PHI,PHI,EC,AT,1,CF,82,45,22,12.0,3,105,,,237,179,Philadelphia Flyers,1233,8,69,340,7,42,316,7
1998,NHL,VAN,VAN,WC,NW,4,,82,23,47,12.0,,58,,,192,258,Vancouver Canucks,1764,16,57,358,9,77,450,17
2010,NHL,BUF,BUF,EC,NE,3,CQF,82,43,29,,10,96,5,1,245,229,Buffalo Sabres,958,16,54,279,13,51,300,2
1950,NHL,CHI,CHI,,,6,,70,13,47,10.0,,36,,,171,280,Chicago Black Hawks,615,,,,,,,
1928,NHL,MTL,MTL,,CA,1,SF,44,22,7,15.0,,59,,,71,43,Montreal Canadiens,465,,,,,,,
2009,NHL,CBS,CBS,WC,CE,5,,82,32,35,,15,79,2,10,216,259,Columbus Blue Jackets,1086,16,56,308,9,61,334,6
2006,NHL,BUF,BUF,EC,NE,1,CF,82,53,22,,7,113,10,4,308,242,Buffalo Sabres,1200,18,71,407,13,72,386,8
1913,NHA,OT1,STE,,,4,,20,11,9,0.0,,22,,,65,71,Ottawa Senators,,,,,,,,
1996,NHL,BOS,BOS,EC,NE,6,,82,26,47,9.0,,61,,,234,300,Boston Bruins,1369,4,46,310,6,56,308,15
1994,NHL,HAR,CAR,EC,NE,5,,48,19,24,5.0,,43,,,127,141,Hartford Whalers,915,2,30,174,6,37,185,3
2009,NHL,EDM,EDM,WC,NW,5,,82,27,47,,8,62,8,6,214,284,Edmonton Oilers,1133,18,52,301,5,67,305,6
1942,NHL,NYR,NYR,,,6,,50,11,31,8.0,,30,,,161,253,New York Rangers,352,,,,,,,
2007,NHL,COL,COL,WC,NW,2,CSF,82,44,31,,7,95,7,3,231,219,Colorado Avalanche,995,22,49,335,5,56,301,2
1977,NHL,DET,DET,WA,NO,2,QF,80,32,34,14.0,,78,,,252,266,Detroit Red Wings,1534,16,59,293,7,64,296,10
2002,NHL,CAR,CAR,EC,SE,5,,82,22,43,11.0,6,61,,,171,240,Carolina Hurricanes,1208,16,58,420,9,71,392,6
2007,NHL,BUF,BUF,EC,NE,4,,82,39,31,,12,90,4,9,255,242,Buffalo Sabres,1004,14,66,366,8,56,333,9
1937,NHL,MTL,MTL,,CA,3,QF,48,18,17,13.0,,49,,,123,128,Montreal Canadiens,342,,,,,,,
1977,NHL,STL,STL,CC,SM,4,,80,20,47,13.0,,53,,,195,304,St. Louis Blues,845,10,44,264,3,52,194,2
1923,NHL,TRS,TOR,,,3,,24,10,14,0.0,,20,,,59,85,Toronto St. Patricks,242,,,,,,,
1990,NHL,PHI,PHI,WA,PT,5,,80,33,37,10.0,,76,,,252,267,Philadelphia Flyers,1945,20,68,338,16,72,376,2
1918,PCHA,VML,VMR,,,1,PF,20,12,8,0.0,,24,,,72,55,Vancouver Millionaires,,,,,,,,
1914,PCHA,VML,VMR,,,1,SC,17,13,4,0.0,,26,,,115,71,Vancouver Millionaires,,,,,,,,
1980,NHL,HAR,CAR,WA,NO,4,,80,21,41,18.0,,60,,,292,372,Hartford Whalers,1584,34,60,318,15,80,328,13
1995,NHL,CAL,CAL,WC,PC,2,CQF,82,34,37,11.0,,79,,,241,240,Calgary Flames,1524,24,71,386,9,80,402,11
2001,NHL,CAL,CAL,WC,NW,4,,82,32,35,12.0,3,79,,,201,220,Calgary Flames,1586,12,55,364,5,66,356,10
1946,NHL,MTL,MTL,,,1,F,60,34,16,10.0,,78,,,189,138,Montreal Canadiens,561,,,,,,,
1968,NHL,MNS,DAL,,WD,6,,76,18,43,15.0,,51,,,189,270,Minnesota North Stars,854,,47,246,8,41,249,3
2000,NHL,COL,COL,WC,NW,1,SC,82,52,16,10.0,4,118,,,270,192,Colorado Avalanche,1138,16,80,363,11,59,342,11
2010,NHL,NJD,NJD,EC,AT,4,,82,38,39,,5,81,3,2,174,209,New Jersey Devils,765,18,34,237,8,40,241,3
1990,NHL,TOR,TOR,CC,NO,5,,80,23,46,11.0,,57,,,241,318,Toronto Maple Leafs,1962,10,61,346,6,83,368,16
1976,WHA,WIJ,PHO,,WW,2,AVF,80,46,32,2.0,,94,,,366,291,Winnipeg Jets,991,10,90,370,11,49,231,9
2001,NHL,SJS,SJS,WC,PC,1,CSF,82,44,27,8.0,3,99,,,248,199,San Jose Sharks,1249,8,59,368,6,54,380,15
1999,NHL,OTT,OTT,EC,NE,2,CQF,82,41,28,11.0,2,95,,,244,210,Ottawa Senators,850,14,52,310,8,34,273,6
