year,lgid,tmid,oppid,w,l,t,otl
1979,NHL,BOS,NYI,3,1,0.0,
1940,NHL,NYR,MTL,5,2,1.0,
2009,NHL,WAS,AND,1,0,,0
1970,NHL,CLF,LAK,1,5,0.0,
1981,NHL,PHI,COR,2,1,0.0,
1969,NHL,MNS,NYR,1,3,2.0,
1999,NHL,FLO,VAN,1,1,0.0,0
1994,NHL,TOR,DET,1,3,0.0,
1916,PCHA,VML,SEA,4,4,0.0,
1991,NHL,HAR,STL,1,2,0.0,
2007,NHL,PHO,CHI,1,2,,1
1979,NHL,CHI,VAN,1,1,2.0,
1991,NHL,BUF,PHI,1,1,1.0,
1967,NHL,OAK,DET,0,3,1.0,
1930,NHL,BOS,MTL,2,1,1.0,
1983,NHL,BOS,WIN,2,1,0.0,
1934,NHL,MTM,MTL,1,4,1.0,
2007,NHL,MIN,SJS,0,2,,2
2006,NHL,CBS,LAK,2,2,,0
1996,NHL,CAL,PHI,1,1,0.0,
1990,NHL,LAK,HAR,2,1,0.0,
2002,NHL,COL,FLO,1,1,0.0,0
2010,NHL,TBL,ATL,6,0,,0
1995,NHL,TBL,HAR,2,1,1.0,
1982,NHL,STL,BUF,1,2,0.0,
1970,NHL,PHI,MNS,2,1,3.0,
1992,NHL,OTT,PIT,1,3,0.0,
1980,NHL,LAK,CHI,2,0,2.0,
2002,NHL,STL,OTT,0,0,1.0,0
2008,NHL,FLO,NAS,1,0,,1
2003,NHL,VAN,CBS,2,2,0.0,0
2005,NHL,VAN,STL,0,4,,0
1982,NHL,WAS,PIT,5,1,1.0,
1994,NHL,WAS,NJD,0,3,1.0,
2009,NHL,STL,EDM,3,1,,0
1980,NHL,BUF,NYI,2,2,0.0,
2007,NHL,PIT,NYI,5,3,,0
1979,NHL,HAR,COR,2,1,1.0,
2002,NHL,TOR,EDM,1,1,0.0,1
1998,NHL,BOS,ANA,1,1,0.0,
1983,NHL,TOR,WIN,0,3,0.0,
1983,NHL,MTL,CHI,2,0,1.0,
1927,NHL,BOS,MTM,2,2,0.0,
1974,NHL,WAS,PIT,1,5,0.0,
1960,NHL,DET,NYR,7,5,2.0,
1924,NHL,TRS,OTS,4,2,0.0,
2010,NHL,AND,NJD,0,1,,0
1970,NHL,CHI,LAK,4,2,0.0,
1983,NHL,WAS,QUE,1,2,0.0,
1978,NHL,TOR,STL,4,0,0.0,
1996,NHL,BOS,TBL,4,0,0.0,
2006,NHL,CHI,SJS,0,4,,0
1983,NHL,LAK,MTL,2,1,0.0,
2009,NHL,CAR,BUF,2,2,,0
2003,NHL,STL,NYR,1,0,0.0,0
1989,NHL,PHI,DET,0,1,2.0,
1983,NHL,PIT,WAS,1,6,0.0,
1972,NHL,BOS,VAN,4,1,0.0,
2001,NHL,CAL,PHI,1,0,0.0,0
1993,NHL,BUF,STL,0,2,0.0,
1978,NHL,BUF,VAN,3,1,1.0,
2006,NHL,FLO,COL,0,0,,1
2007,NHL,NYI,NYR,5,3,,0
2009,NHL,EDM,TOR,1,1,,0
1980,NHL,WAS,EDM,2,1,1.0,
2009,NHL,VAN,WAS,1,0,,0
1998,NHL,COL,MTL,2,0,0.0,
1986,NHL,CHI,MNS,2,4,2.0,
2008,NHL,MTL,LAK,1,0,,0
2009,NHL,SJS,PHI,2,0,,0
1991,NHL,EDM,VAN,5,2,0.0,
1974,NHL,MTL,NYI,0,2,2.0,
1983,NHL,EDM,NJD,2,0,1.0,
2000,NHL,FLO,MTL,1,1,2.0,0
2010,NHL,NAS,TOR,0,1,,0
2011,NHL,OTT,NAS,1,0,,0
1945,NHL,BOS,DET,4,3,3.0,
1942,NHL,NYR,BOS,2,8,0.0,
2002,NHL,DET,PHI,0,1,0.0,0
2010,NHL,NJD,TOR,2,2,,0
1996,NHL,COL,NJD,1,0,1.0,
1993,NHL,WAS,SJS,1,1,0.0,
1992,NHL,SJS,LAK,2,5,0.0,
1989,NHL,MNS,LAK,2,1,0.0,
2000,NHL,NYI,ATL,2,1,1.0,0
1976,NHL,BUF,STL,2,2,0.0,
2008,NHL,NJD,DET,0,1,,0
2008,NHL,DAL,SJS,1,5,,0
2003,NHL,MIN,CHI,3,1,0.0,0
2006,NHL,NYR,NJD,3,3,,2
1956,NHL,DET,TOR,10,2,2.0,
2007,NHL,NJD,OTT,2,2,,0
2003,NHL,NYR,ATL,1,2,1.0,0
1979,NHL,PHI,STL,2,0,2.0,
2010,NHL,PHI,NYR,4,1,,1
2000,NHL,DAL,VAN,2,2,0.0,0
1976,NHL,MTL,NYR,3,1,0.0,
1998,NHL,NJD,DAL,1,0,0.0,
1993,NHL,TBL,PHI,1,3,1.0,
1999,NHL,ANA,LAK,2,1,2.0,1
2005,NHL,CBS,CHI,5,3,,0
1989,NHL,CAL,HAR,2,0,1.0,
1926,NHL,OTS,MTM,3,1,2.0,
1997,NHL,DAL,ANA,3,1,0.0,
2001,NHL,PIT,NYI,2,2,1.0,0
1986,NHL,WIN,DET,1,1,1.0,
1992,NHL,SJS,NYR,0,3,0.0,
2002,NHL,WAS,CAR,4,1,0.0,0
1980,NHL,COR,DET,1,2,1.0,
1922,PCHA,VAM,REG,1,1,0.0,
1990,NHL,DET,VAN,1,2,0.0,
1978,NHL,NYR,NYI,3,5,0.0,
1994,NHL,NYI,QUE,1,2,0.0,
1987,NHL,DET,BUF,2,1,0.0,
1997,NHL,CAL,OTT,1,1,0.0,
2000,NHL,ANA,PHI,1,0,0.0,0
