playerid,year,stint,tmid,s,g,gdg
lindsjo01,2007,1,CBS,1,0,0
kesseph01,2009,1,TOR,7,3,2
hollwry01,2006,1,NYR,1,0,0
datsypa01,2009,1,DET,14,7,2
stlouma01,2011,1,TBL,1,2,0
smythry01,2009,1,LAK,6,1,0
bergepa01,2010,1,BOS,3,0,0
hemskal01,2010,1,EDM,3,0,0
hodgsco01,2011,1,VAN,3,7,2
barkeca01,2007,1,CHI,1,0,0
coleer01,2011,1,MTL,0,3,0
gagnesi01,2010,1,TBL,3,1,0
ponikal01,2006,1,TOR,7,0,0
cluttca01,2010,1,MIN,1,0,0
spaceja01,2005,1,CHI,1,1,0
brassde01,2011,1,CBS,0,1,0
kobasch01,2009,2,MIN,1,0,0
richami02,2008,1,PHI,10,4,2
rozsimi01,2007,1,NYR,1,0,0
browndu01,2010,1,LAK,7,2,1
rozsimi01,2006,1,NYR,1,0,0
cammami01,2009,1,MTL,8,2,2
parisza01,2007,1,NJD,11,4,3
hossama01,2011,1,CHI,0,4,0
bertuto01,2007,1,AND,6,1,0
torrera01,2006,1,EDM,1,1,1
whitnra01,2005,1,CAR,5,4,0
kovalal01,2010,2,PIT,6,3,2
rozsimi01,2010,1,NYR,1,0,0
stillco01,2005,1,CAR,3,1,1
pyattto01,2010,1,MTL,1,0,0
vermean01,2007,1,OTT,8,2,0
hortona01,2005,1,FLO,7,2,0
gagnesi01,2006,1,PHI,6,1,0
nagyla01,2005,1,PHO,5,1,1
ribeimi01,2009,1,DAL,12,1,0
ekmanni01,2006,1,PIT,1,0,0
pothibr01,2007,1,WAS,1,0,0
michami01,2007,1,SJS,1,0,0
gamacsi01,2005,1,NAS,2,0,0
radulal01,2011,1,NAS,1,1,1
hemskal01,2009,1,EDM,4,2,1
bradlma01,2009,1,WAS,2,0,0
kopitan01,2008,1,LAK,7,2,0
pisanfe01,2006,1,EDM,3,1,0
oreilca01,2009,1,NAS,4,2,1
zubovse01,2005,1,DAL,12,7,4
richabr01,2007,1,TBL,3,2,1
mooredo01,2010,1,TBL,6,3,2
timonki01,2007,1,PHI,3,1,0
potito01,2007,1,WAS,1,0,0
zherdni01,2006,1,CBS,8,2,1
royde01,2009,1,BUF,5,1,0
boyleda01,2010,1,SJS,3,3,0
shanabr01,2008,1,NJD,1,1,1
fishemi01,2006,1,OTT,4,1,0
rydermi01,2006,1,MTL,4,1,1
stollja01,2006,1,EDM,1,0,0
mitchjo02,2009,1,TOR,3,2,1
huselkr01,2005,2,CAL,2,0,0
shanabr01,2005,1,DET,1,0,0
gomezsc01,2007,1,NYR,4,2,1
staplti01,2010,1,ATL,1,1,1
bertuto01,2009,1,DET,8,4,2
schrero01,2010,2,ATL,2,1,1
taffeje01,2006,1,PHO,1,0,0
lucicmi01,2010,1,BOS,1,0,0
miettan01,2006,1,DAL,3,0,0
kubinpa01,2010,1,TBL,1,0,0
daleytr01,2011,1,DAL,1,2,1
mitchjo02,2010,1,TOR,1,1,0
horcosh01,2005,1,EDM,1,0,0
rolstbr01,2006,1,MIN,12,5,1
kanepa01,2007,1,CHI,9,7,3
backsni02,2007,1,WAS,2,1,0
cartean01,2006,1,CBS,1,1,0
toewsjo01,2009,1,CHI,14,8,3
torrera01,2007,1,EDM,3,1,0
walzwe01,2005,1,MIN,1,0,0
verstkr01,2011,1,FLO,1,8,0
hemskal01,2008,1,EDM,6,2,2
stumpjo01,2007,1,FLO,3,1,1
sykorpe01,2007,1,PIT,7,2,0
mitchjo02,2008,1,TOR,2,1,1
legwada01,2008,1,NAS,3,1,1
