playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
gardihe01,1923,CAT,WCHL,d,2,1,0,1,0
taylocy01,1917,VML,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",5,9,0,9,15
dennecy01,1920,OTS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",5,2,2,4,10
lalonne01,1918,MTL,NHL,С,5,6,0,6,3
morribe01,1916,SEA,PCHA,r,4,14,2,16,0
nighbfr01,1920,OTS,NHL,С,5,0,1,1,0
benedcl01,1919,OTS,NHL,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте мені текст, який потрібно перекласти, і я надам точний і природній переклад російською мовою.",5,0,0,0,0
lehmahu01,1923,VAM,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте мені текст, який потрібно перекласти, і я надам точний і природній переклад російською мовою.",2,0,0,0,0
manthsy01,1924,MTL,NHL,d,4,0,0,0,2
smithto01,1912,QU1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",3,4,0,4,0
noblere01,1925,MTM,NHL,d,4,0,0,0,4
mcnamho01,1915,MOC,NHA,d,5,0,1,1,21
headlfe01,1924,MTL,NHL,d,4,0,0,0,0
cookll01,1922,VAM,PCHA,d,4,0,1,1,4
holwaal01,1925,MTM,NHL,d,2,0,0,0,0
berlilo01,1915,MOC,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",2,0,0,0,0
fredrfr01,1925,VIC,WCHL,С,4,1,1,2,10
rowebo01,1916,SEA,PCHA,d,4,0,2,2,0
sheppjo01,1922,EDE,WCHL,С,1,0,0,0,0
munrodu01,1925,MTM,NHL,d,4,1,0,1,6
cotchch01,1923,VAM,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",1,0,0,0,0
joliaau01,1924,MTL,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",4,2,0,2,16
stanlba01,1914,VML,PCHA,r,3,6,0,6,0
keatsdu01,1922,EDE,WCHL,С,2,0,0,0,4
dyeba01,1921,TRS,NHL,r,5,9,1,10,3
patrile01,1913,VA1,PCHA,d,3,2,0,2,5
cookll01,1920,VML,PCHA,d,5,2,0,2,20
rossar01,1914,OT1,NHA,d,3,0,0,0,12
gerared01,1914,OT1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",3,1,2,3,14
skinnal01,1922,VAM,PCHA,r,3,1,1,2,6
marksja01,1912,QU1,NHA,r,3,2,0,2,2
dennecy01,1922,OTS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",6,1,1,2,8
malonjo01,1912,QU1,NHA,С,3,2,0,2,2
helmaha01,1922,OTS,NHL,d,2,0,0,0,0
poulisk01,1912,VA1,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",3,2,0,2,5
harrism01,1922,VAM,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",4,1,0,1,8
lindsbe01,1913,VA1,PCHA,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте мені текст, який потрібно перекласти, і я надам точний і природній переклад російською мовою.",3,0,0,0,0
gerared01,1920,OTS,NHL,d,5,0,0,0,44
brucemo01,1919,OTS,NHL,Ф,5,0,0,0,0
harrism01,1915,PO1,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",5,4,2,6,23
