year,month,date,tmid,oppid,r/p,idgoalie1,idgoalie2
2011,2,2,PIT,NYI,r,johnsbr02,fleurma01
1970,11,5,STL,BOS,r,hallgl01,wakeler01
1996,11,9,NJD,NYI,r,brodema01,dunhami01
2001,11,15,PHI,WAS,r,bouchbr01,cechmro01
2000,3,21,BOS,TBL,r,grahajo01,tallaro01
2011,12,6,VAN,COL,r,luongro01,schneco01
1993,2,8,PIT,BOS,r,wreggke01,barrato01
1983,12,4,NJD,DET,r,lowro01,reschgl01
1997,12,31,TBL,NYR,r,schwaco01,wilkide01
1972,11,25,TOR,CLF,r,plantja01,lowro01
1971,1,2,TOR,DET,r,plantja01,gamblbr01
2002,1,10,BOS,LAK,r,grahajo01,dafoeby01
1991,10,25,DET,TOR,r,riendvi01,cheveti01
2008,10,25,STL,FLO,r,bishobe01,schwama01
1997,10,18,DET,CAR,r,osgooch01,hodsoke01
1980,2,20,LAK,BOS,r,lessama01,keansdo01
2001,12,8,ANA,CAL,r,shielst01,gigueje01
1975,2,23,CHI,ATF,r,esposto01,dumasmi01
1987,1,23,PIT,VAN,r,melocgi01,romanro01
2001,11,17,CAL,STL,r,vernomi01,turekro01
2003,11,21,SJS,PHO,r,nabokev01,toskave01
1929,3,14,TOR,NYA,r,chabolo01,grantbe01
1998,10,28,LAK,NJD,r,fisetst01,legacma01
1981,11,11,MTL,COR,r,herrode01,sevigri01
2001,10,27,DET,NAS,r,hasekdo01,legacma01
1998,4,7,SJS,CAL,r,vernomi01,hrudeke01
1972,12,29,TOR,PIT,r,plantja01,lowro01
2006,11,23,NAS,VAN,r,vokouto01,masonch02
2009,12,1,TOR,MTL,r,gustajo01,macdojo01
1996,11,9,NJD,NYI,r,brodema01,dunhami01
1970,11,5,STL,BOS,r,hallgl01,wakeler01
1997,11,4,TOR,SJS,r,healygl01,cousima01
1987,1,23,PIT,VAN,r,melocgi01,romanro01
1977,3,18,WAS,COR,r,croziro01,lowro01
2005,10,22,CAR,WAS,r,gerbema01,wardca01
2005,11,12,ATL,CAR,r,dunhami01,berkhad01
1996,12,3,TOR,STL,r,cousima01,potvife01
2001,3,12,SJS,MTL,r,nabokev01,kiprumi01
2001,10,27,DET,NAS,r,hasekdo01,legacma01
2001,11,17,CAL,STL,r,vernomi01,turekro01
1987,1,9,WIN,HAR,r,reddipo01,berthda01
1977,11,1,NYI,ATF,r,smithbi01,hogosgo01
1981,2,5,MTL,MNS,r,herrode01,sevigri01
2005,12,2,SJS,BUF,r,nabokev01,schaeno01
1985,1,8,EDM,QUE,r,moogan01,fuhrgr01
2001,11,15,PHI,WAS,r,bouchbr01,cechmro01
2007,2,8,STL,DET,r,legacma01,sanfocu01
1993,2,8,PIT,BOS,r,wreggke01,barrato01
1983,12,4,NJD,DET,r,lowro01,reschgl01
1968,2,14,OAK,PHI,r,smithga01,hodgech01
2008,10,25,STL,FLO,r,bishobe01,schwama01
1998,10,28,LAK,NJD,r,fisetst01,legacma01
1997,10,18,DET,CAR,r,osgooch01,hodsoke01
1999,4,8,TBL,BOS,r,schwaco01,hodsoke01
2000,3,21,BOS,TBL,r,grahajo01,tallaro01
2011,2,2,PIT,NYI,r,johnsbr02,fleurma01
1998,4,4,NYI,NYR,r,saloto01,flahewa01
1983,4,3,WAS,NYR,r,jenseal01,riggipa01
1973,2,7,QUN,PHB,r,aubryse01,broderi01
2002,1,10,BOS,LAK,r,grahajo01,dafoeby01
1941,3,15,MTL,NYA,r,bibeapa01,gardibe01
1955,3,22,MTL,BOS,"Пожалуйста, предоставьте текст для перевода.",plantja01,hodgech01
2007,12,12,OTT,CAR,r,gerbema01,emeryra01
1971,3,24,TOR,CLF,r,plantja01,parenbe01
1975,2,23,CHI,ATF,r,esposto01,dumasmi01
1980,2,20,LAK,BOS,r,lessama01,keansdo01
2003,11,21,SJS,PHO,r,nabokev01,toskave01
1998,4,7,SJS,CAL,r,vernomi01,hrudeke01
2001,12,8,ANA,CAL,r,shielst01,gigueje01
2012,4,14,STL,SJS,"Пожалуйста, предоставьте текст для перевода.",halakja01,elliobr01
1981,11,11,MTL,COR,r,herrode01,sevigri01
1972,11,25,TOR,CLF,r,plantja01,lowro01
2011,12,6,VAN,COL,r,luongro01,schneco01
1929,3,14,TOR,NYA,r,chabolo01,grantbe01
1973,10,16,TOT,LAS,r,binklle01,grattgi01
2010,5,10,PHI,BOS,"Пожалуйста, предоставьте текст для перевода.",bouchbr01,leighmi01
1991,10,25,DET,TOR,r,riendvi01,cheveti01
1997,12,31,TBL,NYR,r,schwaco01,wilkide01
1971,1,2,TOR,DET,r,plantja01,gamblbr01
1999,1,9,PHI,CAR,r,hextaro01,vanbijo01
1999,1,9,PHI,CAR,r,hextaro01,vanbijo01
1968,2,14,OAK,PHI,r,smithga01,hodgech01
1955,3,22,MTL,BOS,"Пожалуйста, предоставьте текст для перевода.",plantja01,hodgech01
2000,3,21,BOS,TBL,r,grahajo01,tallaro01
2009,12,1,TOR,MTL,r,gustajo01,macdojo01
2001,3,12,SJS,MTL,r,nabokev01,kiprumi01
1985,1,8,EDM,QUE,r,moogan01,fuhrgr01
1997,10,18,DET,CAR,r,osgooch01,hodsoke01
1983,4,3,WAS,NYR,r,jenseal01,riggipa01
1972,11,25,TOR,CLF,r,plantja01,lowro01
2007,12,12,OTT,CAR,r,gerbema01,emeryra01
1996,11,9,NJD,NYI,r,brodema01,dunhami01
1997,11,4,TOR,SJS,r,healygl01,cousima01
1971,1,2,TOR,DET,r,plantja01,gamblbr01
1987,1,23,PIT,VAN,r,melocgi01,romanro01
1973,10,16,TOT,LAS,r,binklle01,grattgi01
2012,4,14,STL,SJS,"Пожалуйста, предоставьте текст для перевода.",halakja01,elliobr01
1972,12,29,TOR,PIT,r,plantja01,lowro01
1998,4,7,SJS,CAL,r,vernomi01,hrudeke01
2008,10,25,STL,FLO,r,bishobe01,schwama01
2003,11,21,SJS,PHO,r,nabokev01,toskave01
1981,11,11,MTL,COR,r,herrode01,sevigri01
1998,10,28,LAK,NJD,r,fisetst01,legacma01
2001,10,27,DET,NAS,r,hasekdo01,legacma01
2002,1,10,BOS,LAK,r,grahajo01,dafoeby01
2006,11,23,NAS,VAN,r,vokouto01,masonch02
1998,4,4,NYI,NYR,r,saloto01,flahewa01
2005,11,12,ATL,CAR,r,dunhami01,berkhad01
1991,10,25,DET,TOR,r,riendvi01,cheveti01
2005,10,22,CAR,WAS,r,gerbema01,wardca01
1993,2,8,PIT,BOS,r,wreggke01,barrato01
1981,2,5,MTL,MNS,r,herrode01,sevigri01
1996,12,3,TOR,STL,r,cousima01,potvife01
1971,3,24,TOR,CLF,r,plantja01,parenbe01
2001,11,15,PHI,WAS,r,bouchbr01,cechmro01
1997,12,31,TBL,NYR,r,schwaco01,wilkide01
2010,5,10,PHI,BOS,"Пожалуйста, предоставьте текст для перевода.",bouchbr01,leighmi01
1977,3,18,WAS,COR,r,croziro01,lowro01
1929,3,14,TOR,NYA,r,chabolo01,grantbe01
2001,11,17,CAL,STL,r,vernomi01,turekro01
2005,12,2,SJS,BUF,r,nabokev01,schaeno01
1980,2,20,LAK,BOS,r,lessama01,keansdo01
1977,11,1,NYI,ATF,r,smithbi01,hogosgo01
1973,2,7,QUN,PHB,r,aubryse01,broderi01
1999,4,8,TBL,BOS,r,schwaco01,hodsoke01
2011,12,6,VAN,COL,r,luongro01,schneco01
1941,3,15,MTL,NYA,r,bibeapa01,gardibe01
1970,11,5,STL,BOS,r,hallgl01,wakeler01
2007,2,8,STL,DET,r,legacma01,sanfocu01
1975,2,23,CHI,ATF,r,esposto01,dumasmi01
2001,12,8,ANA,CAL,r,shielst01,gigueje01
1987,1,9,WIN,HAR,r,reddipo01,berthda01
1983,12,4,NJD,DET,r,lowro01,reschgl01
2011,2,2,PIT,NYI,r,johnsbr02,fleurma01
