type,code,fullname
Разделение,АД,Отделение Адама
Круг,Ф,Конец года
Плей-офф,ВФ,Потерянные финалы WCHL
Плей-офф,Ф,Лыжные гонки на Олимпийских играх 1924 года в Шамони включали в себя три соревнования — два для мужчин и одно для женщин.
Круг,SF,Полуфиналы
Круг,КФС,Полуфиналы конференции
Разделение,ВВ,Западное отделение
Разделение,НЕ,Северо-Восточный дивизион
Плей-офф,Н/Д,НД - Финалы Кубка Стэнли приостановлены (из-за эпидемии гриппа)
Плей-офф,КФ,Пропущенные матчи плей-офф НХЛ
Круг,СкФ,Финалы Кубка Стэнли
Плей-офф,АВЦ,Побеждать в Кубке АВКО
Разделение,Нет,Норрис Дивизион
Плей-офф,AVКФ,Потери Кубка АВКО в четвертьфинале
Круг,CFQ,Квартальные матчи чемпионата
Конференция,ЭК,Восточная конференция
Плей-офф,WSF,Пропущенные полуфиналы WCHL
Круг,ЧССФ,Половфиналы Кубка Стэнли
Плей-офф,НХЛФ,Потерянные финалы Кубка Стэнли
Плей-офф,CFQ,Пропуски плей-офф конференции НХЛ
Разделение,ПТ,Патрик Дивизион
Плей-офф,СЦ,Вон Стэнли Куб!
Разделение,СМ,Смит-дивизия
Разделение,АТ,Атлантический дивизион
Круг,WP,Западная плей-офф
Плей-офф,SF,Половина финала НХЛ
Круг,ДСДФ,Полуфиналы деления
Разделение,WD,Западный дивизион
Разделение,АМ,Американский дивизион
Плей-офф,Ф,"Уникальные команды, которые проиграли в финале Кубка Стэнли:

1967: Детройт Ред Уингз
1970: Нью-Йорк Рейнджерс
1972: Бостон Брюинз
1974: Нью-Йорк Рейнджерс
1975: Нью-Йорк Рейнджерс
1977: Монреаль Канадиенс
1978: Вашингтон Кэпиталз
1979: Монреаль Канадиенс
1980: Чикаго Блэкхокс
1981: Кливленд Баронс

1982: Калгари Флеймз
1983: Детройт Ред Уингз
1984: Нью-Йорк Айлендерс
1985: Питтсбург Пингвинз
1986: Бостон Брюинз
1987: Калгари Флеймз
1988: Монреаль Канадиенс
1989: Калгари Флеймз
1990: Калгари Флеймз
1991: Питтсбург Пингвинз

1992: Монреаль Канадиенс
1993: Монреаль Канадыенс
1994: Нью-Йорк Рейнджерс
1995: Нью-Йорк Рейнджерс
1996: Колорадо Эвеланш
1997: Детройт Ред Уингз
1998: Детройт Ред Уингз
1999: Нью-Джерси Девилз
2000: Нью-Джерси Девилз
2001: Колорадо Эвеланш

2002: Калгари Флеймз
2003: Нью-Йорк Айлендерс
2004: Кливленд Баронс
2005: Хьюстон Айсз
2006: Детройт Ред Уингз
2007: Оттава Сенаторз
2008: Детройт Ред Уингз
2009: Питтсбург Пингвинз
2010: Нью-Джерси Девилз
2011: Бостон Брюинз

2012: Лос-Анджелес Кингз
2013: Чикаго Блэкхокс
2014: Сан-Хосе Шаркс
2015: Чикаго Блэкхокс
2016: Питтсбург Пингвинз
2017: Питтсбург Пингвинз
2018: Вашингтон Кэпиталз
2019: Сент-Луис Блюз
2020: Даллас Старз
2021: Тампа-Бэй Лайтнинг

2022: Колорадо Эвеланш
2023: Нью-Йорк Рейнджерс"
Плей-офф,ПФ,ПХЧА
Конференция,ВВ,Западная конференция
Плей-офф,ЧССФ,Путь к полуфиналам Кубка Стэнли
Плей-офф,"Предложение: ""I love exploring new places and learning about different cultures.""",Пропущенные матчи предварительного раунда НХЛ
Плей-офф,AVПР,Потерянный Кубок АВКО предварительный раунд
Круг,АСС,Финал Кубка Авко
Конференция,КК,Конференция Кэмпбелла
Разделение,EW,Восточный дивизион WHA
Круг,КФ,Четвертьфиналы
Разделение,ЦВ,канадское отделение
Разделение,НВ,Северо-Западный Отдел
Разделение,ПК,Тихоокеанский дивизион
Плей-офф,WSG,Вызов серии Won
Плей-офф,CF,Пропущенные финалы Кубка Стэнли
Плей-офф,Авсф,Половина финала Кубка ЛАВКО
Плей-офф,LKS,Выиграл Кубок Стэнли / Проиграл Серию вызовов
Круг,Ф,Финал плей-офф
Плей-офф,НГФС,Потерянные финальные экзамены по НHA
Круг,CF,Финал конференции
Разделение,СЕ,Центральный дивизион
Разделение,Калифорния,Канадское отделение
Плей-офф,КФС,Пропущенные полуфиналы конференции НХЛ
Плей-офф,АВФ,Финал Кубка АВКО
Конференция,ВА,Конференция Уэльса
Разделение,СЕ,Юго-Восточный дивизион
Разделение,"Здравствуйте! Я профессионал в области перевода и готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Восточный дивизион
Плей-офф,ДСДФ,Уничтоженные плей-офф НХЛ
Круг,Предложение,Предварительный
