year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1928,КФ,С,TOR,NHL,DTC,NHL,2,0,0,7,2,ТГ
1975,SF,я,MTL,NHL,NYI,NHL,4,1,0,17,14,
1982,ДСДФ,"Добро пожаловать в мой мир! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите английский текст, который вы хотите перевести, и я предоставлю точный и плавный перевод. Если у вас есть какие-либо особые требования к стилю или тональности перевода, не стесняйтесь их указать. Я здесь, чтобы обеспечить лучшее возможное качество перевода для вашего текста.",BUF,NHL,MTL,NHL,3,0,0,8,2,
1973,Ф,,CHC,WHA,TOT,WHA,4,3,0,34,27,
1975,Предложение,С,LAK,NHL,ATF,NHL,2,0,0,3,1,
1979,Предложение,А,PHI,NHL,EDM,NHL,3,0,0,12,6,
1997,CFQ,"Добро пожаловать в Coral, ваш искусственный интеллект, готовый помочь вам в любое время! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",DAL,NHL,SJS,NHL,4,2,0,16,12,
1966,СкФ,С,TOR,NHL,MTL,NHL,4,2,0,17,16,
1980,Предложение,"Добро пожаловать в мой мир! Я готов помочь вам перевести любой текст с английского на русский язык. Просто введите английский текст, который вы хотите перевести, и я предоставлю точный и плавный перевод. Если у вас есть какие-либо особые требования к стилю или тональности перевода, не стесняйтесь их указать. Я здесь, чтобы обеспечить лучшее возможное качество перевода для вашего текста.",STL,NHL,PIT,NHL,3,2,0,20,21,
1938,СкФ,"Добро пожаловать в Coral, ваш искусственный интеллект, готовый помочь вам в любое время! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",BOS,NHL,TOR,NHL,4,1,0,12,6,
1962,СкФ,С,TOR,NHL,DET,NHL,4,1,0,17,10,
1980,SF,М,NYI,NHL,NYR,NHL,4,0,0,22,8,
1973,ДСДФ,,MFS,WHA,EDO,WHA,4,1,0,22,14,
1927,SF,С,MTM,NHL,MTL,NHL,1,0,1,3,2,ТГ
1985,Ф,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",CAL,NHL,EDM,NHL,4,3,0,25,24,
1959,SF,А,MTL,NHL,CHI,NHL,4,0,0,14,6,
1974,КФ,,SDM,WHA,TOT,WHA,4,2,0,29,27,
1978,SF,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",MTL,NHL,BOS,NHL,4,3,0,25,20,
