id,playerid,year,stint,tmid,lgid,gp,gs,minutes,points,orebounds,drebounds,rebounds,assists,steals,blocks,turnovers,pf,fgattempted,fgmade,ftattempted,ftmade,threeattempted,threemade,postgp,postgs,postminutes,postpoints,postorebounds,postdrebounds,postrebounds,postassists,poststeals,postblocks,postturnovers,postpf,postfgattempted,postfgmade,postftattempted,postftmade,postthreeattempted,postthreemade,note
112,adamsal01,1983,1,PHO,NBA,70,0,1452,670,118,201,319,219,73,32,117,195,582,269,160,132,4,0,17,0,312,142,27,60,87,42,17,11,34,53,126,53,53,36,0,0,
187,aguirma01,1987,1,DAL,NBA,77,0,2610,1932,182,252,434,278,70,57,203,223,1571,746,504,388,172,52,17,0,558,367,34,66,100,59,14,9,41,49,294,147,86,60,34,13,
590,archina01,1983,1,MIL,NBA,46,0,1038,340,16,60,76,160,33,0,78,78,279,136,101,64,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
712,arroyca01,2006,1,ORL,NBA,72,0,1304,552,31,103,134,202,39,2,90,131,478,203,166,132,51,14,3,0,41,12,2,3,5,6,1,0,1,4,14,5,2,2,2,0,
784,attleal01,1966,1,SFW,NBA,69,0,1764,512,0,0,321,269,0,0,0,265,467,212,151,88,0,0,15,0,237,46,0,0,62,38,0,0,0,45,46,20,16,6,0,0,
1231,barteed01,1949,2,NYK,NBA,2,0,0,4,0,0,0,0,0,0,0,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1361,beardbu01,1974,1,GSW,NBA,82,0,2521,1048,116,200,316,345,132,11,0,297,773,408,279,232,0,0,17,0,448,154,23,49,72,53,24,2,0,64,146,60,53,34,0,0,
1366,beardbu01,1978,1,NYK,NBA,7,0,85,22,1,9,10,19,7,0,10,13,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1761,birdsot01,1988,1,BOS,NBA,13,0,108,37,4,9,13,9,3,1,12,10,36,18,2,0,3,1,3,0,20,2,0,2,2,1,1,1,3,3,5,1,0,0,2,0,
1838,blaylmo01,1996,1,ATL,NBA,78,0,3056,1354,114,299,413,463,212,20,185,141,1159,501,174,131,604,221,10,0,441,164,12,58,70,65,21,2,35,15,154,61,21,14,85,28,
2676,brownmi01,1988,1,UTA,NBA,66,0,1051,300,92,166,258,41,25,17,77,133,248,104,130,92,0,0,2,0,11,0,0,2,2,0,0,0,0,3,2,0,0,0,0,0,
