playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
gervige01,Gervin,George,1981,West,NBA,1,27,12.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,3.0,14.0,5.0,2.0,2.0,0.0,0.0
jonessa01,Jones,Sam,1961,East,NBA,1,14,2.0,,,1.0,0.0,,,,,8.0,1.0,1.0,0.0,,
hagancl01,Hagan,Cliff,1957,West,NBA,1,99,,,,,,,,,,,,,,,
duncati01,Duncan,Tim,2008,West,NBA,1,18,6.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
stockjo01,Stockton,John,1999,West,NBA,1,11,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0
kenonla01,Kenon,Larry,1978,East,NBA,1,7,3.0,,,2.0,1.0,,,,,3.0,1.0,2.0,1.0,,
goodrga01,Goodrich,Gail,1972,West,NBA,1,16,2.0,,,2.0,1.0,,,,,7.0,1.0,0.0,0.0,,
gilmoar01,Gilmore,Artis,1972,East,ABA,1,31,10.0,5.0,11.0,16.0,0.0,0.0,2.0,6.0,5.0,8.0,3.0,8.0,4.0,0.0,0.0
mahafra01,Mahaffey,Randolph,1967,East,ABA,1,7,4.0,2.0,2.0,4.0,0.0,,,1.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0
anthoca01,Anthony,Carmelo,2006,West,NBA,1,25,20.0,3.0,6.0,9.0,1.0,0.0,2.0,1.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0
robinda01,Robinson,David,1989,West,NBA,1,25,15.0,,,10.0,1.0,,,,,12.0,7.0,2.0,1.0,,
roberos01,Robertson,Oscar,1965,East,NBA,1,25,17.0,,,10.0,8.0,,,,,12.0,6.0,6.0,5.0,,
mingya01,Ming,Yao,2005,West,NBA,1,19,5.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,0.0,0.0
onealsh01,O'Neal,Shaquille,1996,West,NBA,1,99,,,,,,,,,,,,,,,
jonessa01,Jones,Sam,1964,East,NBA,1,24,6.0,,,5.0,3.0,,,,,12.0,2.0,2.0,2.0,,
hillty01,Hill,Tyrone,1994,East,NBA,1,6,2.0,,,4.0,0.0,,,,,1.0,1.0,0.0,0.0,,
combsgl01,Combs,Glen,1971,West,ABA,1,18,2.0,0.0,0.0,0.0,3.0,,,2.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0
willigu01,Williams,Gus,1981,West,NBA,1,26,22.0,2.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0,19.0,9.0,4.0,4.0,1.0,0.0
wickssi01,Wicks,Sidney,1972,West,NBA,1,24,13.0,,,5.0,1.0,,,,,10.0,4.0,5.0,5.0,,
yardlge01,Yardley,George,1957,West,NBA,1,32,19.0,,,9.0,1.0,,,,,15.0,8.0,5.0,3.0,,
ewingpa01,Ewing,Patrick,1995,East,NBA,1,12,8.0,,,3.0,1.0,,,,,7.0,3.0,2.0,2.0,,
dantlad01,Dantley,Adrian,1980,West,NBA,1,21,8.0,,,5.0,0.0,,,,,9.0,3.0,2.0,2.0,,
huntele01,Hunter,Les,1967,East,ABA,1,21,7.0,6.0,2.0,8.0,1.0,,,4.0,4.0,7.0,2.0,5.0,3.0,0.0,0.0
wilkido01,Wilkins,Dominique,1988,East,NBA,1,15,9.0,,,2.0,0.0,,,,,8.0,3.0,3.0,3.0,,
wintebr01,Winters,Brian,1975,West,NBA,1,16,2.0,,,2.0,1.0,,,,,5.0,1.0,0.0,0.0,,
dukeswa01,Dukes,Walter,1960,West,NBA,1,17,8.0,,,4.0,1.0,,,,,6.0,3.0,2.0,2.0,,
hudsolo01,Hudson,Lou,1970,East,NBA,1,17,14.0,,,3.0,1.0,,,,,13.0,6.0,3.0,2.0,,
stockjo01,Stockton,John,1995,West,NBA,1,18,4.0,,,1.0,3.0,,,,,9.0,2.0,0.0,0.0,,
mingya01,Ming,Yao,2003,West,NBA,1,18,16.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,14.0,8.0,0.0,0.0,2.0,0.0
olajuha01,Olajuwon,Hakeem,1991,West,NBA,1,20,7.0,,,4.0,2.0,,,,,6.0,3.0,1.0,1.0,,
