yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1886,NL,DTN,DTN,,2,126,,87,36,,,Н,Н,829,4501,1260,176,81,53,374,426.0,194.0,,,,538,349,2,122,8,0,3309,995,20,270,592,373,,0,&lt; &lt; Детройт &gt; &gt;,Парк отдыха,,103,100,DTN,DTN,DTN
1932,AL,CLE,CLE,,4,153,77.0,87,65,,,Н,Н,845,5412,1544,310,74,78,566,454.0,52.0,54.0,,,747,630,4,94,6,8,4131,1506,70,446,439,189,129.0,0,Индейцы Кливленда,Парк II/Кливлендский стадион Лиги,468953.0,109,107,CLE,CLE,CLE
1962,NL,CIN,CIN,,3,162,81.0,98,64,,,Н,Н,802,5645,1523,252,40,167,498,903.0,66.0,39.0,,,685,608,3,51,13,35,4380,1397,149,567,964,143,144.0,0,Красные Цинциннати,Кросли Филд,982095.0,104,102,CIN,CIN,CIN
1923,AL,CLE,CLE,,3,153,78.0,82,71,,,Н,Н,888,5290,1594,301,75,59,633,384.0,79.0,77.0,,,746,598,3,77,10,11,4128,1517,36,465,407,227,143.0,0,Индейцы Кливленда,&lt; &lt; Парк II Лиги &gt; &gt;,558856.0,100,100,CLE,CLE,CLE
1920,NL,SLN,STL,,5,155,76.0,75,79,,,Н,Н,675,5495,1589,238,96,32,373,484.0,126.0,114.0,,,682,543,3,72,9,12,4278,1488,30,479,529,256,136.0,0,Кардиналы Сент-Луиса,Парк Робисон Филд/Спортсмены IV,326836.0,98,98,STL,SLN,SLN
1944,NL,SLN,STL,,1,157,77.0,105,49,,,Y,Y,772,5475,1507,274,59,100,544,473.0,37.0,,,,490,423,2,89,26,12,4281,1228,55,468,637,112,162.0,0,Кардиналы Сент-Луиса,Парк IV для спортсменов,461968.0,103,99,STL,SLN,SLN
1884,UA,BSU,BRD,,5,111,,58,51,,,Н,,636,3940,928,168,32,19,128,787.0,,,,,558,286,2,100,5,1,2859,885,17,110,753,633,,0,Бостонские красные,,,99,98,BOS,BSU,BSU
1924,AL,CHA,CHW,,8,154,77.0,66,87,,,Н,Н,793,5255,1512,254,58,41,604,418.0,138.0,86.0,,,858,722,4,76,1,11,4110,1635,52,512,360,230,136.0,0,Чикаго Уайт Сокс,Парк Комиски,606658.0,97,97,CHW,CHA,CHA
1932,NL,NY1,SFG,,6,154,77.0,72,82,,,Н,Н,755,5530,1527,263,54,116,348,391.0,31.0,,,,706,585,3,57,3,16,4125,1533,112,387,506,191,143.0,0,Нью-Йорк Гиганты,Поло Земля IV,484868.0,98,96,NYG,NY1,NY1
1905,NL,PHI,PHI,,4,155,76.0,83,69,,,Н,Н,708,5243,1362,187,82,16,406,,180.0,,,,602,436,2,119,12,5,4194,1303,21,411,516,275,99.0,0,Филадельфия Филадельфия,Кубок Бейкера,317932.0,96,97,PHI,PHI,PHI
1904,NL,PHI,PHI,,8,155,73.0,52,100,,,Н,,571,5103,1268,170,54,23,377,,159.0,,,,784,504,3,131,10,2,4017,1418,22,425,469,401,93.0,0,Филадельфия Филадельфия,Кубок Бейкера,140771.0,99,100,PHI,PHI,PHI
1930,AL,BOS,BOS,,8,154,76.0,52,102,,,Н,Н,612,5286,1393,257,68,47,358,552.0,42.0,35.0,,,814,707,4,78,4,5,4080,1515,75,488,356,194,161.0,0,Бостонский ред Сокс,Парк Фенвей I,444045.0,96,99,BOS,BOS,BOS
1979,NL,MON,WSN,E,2,160,81.0,95,65,Н,,Н,Н,701,5465,1445,273,42,143,432,890.0,121.0,56.0,,,581,505,3,33,18,39,4341,1379,116,450,813,131,123.0,0,Монреальские выставки,Олимпийская система,2102173.0,99,98,MON,MON,MON
1906,AL,PHA,OAK,,4,149,73.0,78,67,,,Н,Н,561,4883,1206,213,49,32,385,,165.0,,,,543,382,2,107,19,4,3966,1135,9,425,749,267,86.0,0,Филадельфия Атлетика,Колумбийский парк,489129.0,103,101,PHA,PHA,PHA
1888,AA,BL2,BLO,,5,137,,57,80,,,Н,Н,653,4656,1068,162,70,19,298,479.0,326.0,,,,779,504,3,130,3,0,3600,1162,23,419,525,461,,0,Балтимор Ориолс,Парк Ориол,,98,98,BAL,BL2,BL2
2012,AL,SEA,SEA,W,4,162,81.0,75,87,Н,Н,Н,Н,619,5494,1285,241,27,149,466,1259.0,104.0,35.0,30.0,35.0,651,608,3,8,6,43,4370,1359,166,449,1166,72,153.0,0,Морские пехотинцы Сиэтла,Поле Safeco,1721920.0,90,91,SEA,SEA,SEA
1996,AL,CAL,ANA,W,4,161,81.0,70,91,Н,Н,Н,Н,762,5686,1571,256,24,192,527,974.0,53.0,39.0,,,943,849,5,12,8,38,4317,1546,219,662,1052,128,156.0,0,Калифорнийские ангелы,Анахаймский стадион,1820521.0,98,98,CAL,CAL,CAL
1991,AL,NYA,NYY,E,5,162,81.0,71,91,Н,,Н,Н,674,5541,1418,249,19,147,473,861.0,109.0,36.0,,,777,709,4,3,11,37,4332,1510,152,506,936,133,181.0,0,Нью-Йорк Янкиз,Стадион &lt; &lt; Янки &gt; &gt; II,1863733.0,100,101,NYY,NYA,NYA
1939,AL,DET,DET,,5,155,78.0,81,73,,,Н,Н,849,5326,1487,277,67,124,620,592.0,88.0,38.0,,,762,652,4,64,8,16,4101,1430,104,574,633,198,147.0,0,&lt; &lt; Тигры Детройта &gt; &gt;,Стадион Бриггс,836279.0,107,106,DET,DET,DET
1934,AL,PHA,OAK,,5,153,76.0,68,82,,,Н,Н,764,5317,1491,236,50,144,491,584.0,57.0,35.0,,,838,744,5,68,8,8,4011,1429,84,693,480,196,166.0,0,Филадельфия Атлетика,Парк Шиве,305847.0,96,98,PHA,PHA,PHA
2002,AL,CHA,CHW,C,2,162,81.0,81,81,Н,Н,Н,Н,856,5502,1475,289,29,217,555,952.0,75.0,31.0,49.0,53.0,798,716,4,7,7,35,4269,1422,190,528,945,97,157.0,0,Чикаго Уайт Сокс,Парк Комиски II,1676911.0,102,101,CHW,CHA,CHA
1907,NL,CHN,CHC,,1,155,76.0,107,45,,,Y,Y,574,4892,1224,162,48,13,435,,235.0,,,,390,264,1,114,32,8,4119,1054,11,402,586,211,110.0,0,Чикаго Кабс,Вестсайдский парк II,422550.0,106,101,CHC,CHN,CHN
1998,NL,CHN,CHC,C,2,163,82.0,90,73,Н,Y,Н,Н,831,5649,1494,250,34,212,601,1223.0,65.0,44.0,,,792,739,4,7,7,56,4431,1528,180,575,1207,101,107.0,0,Чикаго Кабс,Филд Уригли,2623194.0,103,103,CHC,CHN,CHN
1946,AL,PHA,OAK,,8,155,78.0,49,105,,,Н,Н,529,5200,1317,220,51,40,482,594.0,39.0,30.0,,,680,582,3,61,10,5,4026,1371,83,577,562,167,141.0,0,Филадельфия Атлетика,Парк Шиве,621793.0,98,100,PHA,PHA,PHA
1961,AL,LAA,ANA,,8,162,82.0,70,91,,,Н,Н,744,5424,1331,218,22,189,681,1068.0,37.0,28.0,,,784,689,4,25,5,34,4314,1391,180,713,973,192,154.0,0,Лос-Анджелесские ангелы,Уригли Филд (ЛА),603510.0,111,112,LAA,LAA,LAA
1927,AL,WS1,MIN,,3,157,79.0,85,69,,,Н,Н,782,5389,1549,268,87,29,498,359.0,133.0,52.0,,,730,618,3,62,10,23,4206,1434,53,491,497,194,125.0,0,Сенаторы Вашингтона,Стадион Гриффита I,528976.0,99,98,WSH,WS1,WS1
1873,,BR2,BRA,,6,55,,17,37,,,Н,,366,2210,588,60,27,6,53,43.0,18.0,9.0,,,549,221,3,52,1,0,1500,737,8,42,15,505,,0,Бруклинские Атлантики,Союзные земли,,90,94,BRA,BR2,BR2
1903,NL,CHN,CHC,,3,139,73.0,82,56,,,Н,Н,695,4733,1300,191,62,9,422,,259.0,,,,599,382,2,117,6,6,3720,1182,14,354,451,314,78.0,0,Чикаго Кабс,Вестсайдский парк II,386205.0,97,96,CHC,CHN,CHN
1987,AL,BAL,BAL,E,6,162,82.0,67,95,Н,,Н,Н,729,5576,1437,219,20,211,524,939.0,69.0,45.0,,,880,801,5,17,6,30,4317,1555,226,547,870,109,174.0,0,Балтимор Ориолс,Памятный стадион,1835692.0,97,98,BAL,BAL,BAL
