id,lgid,teamid,franchid,name,park
290,NL,WAS,WAS,Сенаторы Вашингтона,Поле границы
47,AL,CAL,ANA,Калифорнийские ангелы,Анахаймский стадион
195,NL,CIN,CIN,Красные Цинциннати,Кросли Филд
283,NL,SLN,STL,Кардиналы Сент-Луиса,Парк IV для спортсменов
203,NL,CL4,CLV,Кливленд Паук,Парк I Лиги
193,NL,CIN,CIN,Красные ножки Цинциннати,Кросли Филд
111,AL,WS1,MIN,Сенаторы Вашингтона,Парк I Американской лиги
75,AL,LAA,ANA,Лос-Анджелесские ангелы Анахейма,Анахаймский стадион Ангела
29,AA,RC2,ROC,Рочестер Бронкос,Поле Калвера I
98,AL,SEA,SEA,Морские пехотинцы Сиэтла,Поле Safeco
247,NL,PHI,PHI,Филадельфия &lt; &lt; Голубой Джейс &gt; &gt;,Парк Шиве
117,FL,BLF,BLT,Балтиморские террапины,
308,UA,KCU,KCU,Канзас Сити Ковбои,
240,NL,NY1,SFG,Нью-Йорк Гиганты,Поло Земля III/Поло Земля IV
182,NL,CHN,CHC,Чикагские кольты,Парк &lt; &lt; Саутсайд I &gt; &gt;
126,FL,PTF,PBS,Питтсбургские повстанцы,
271,NL,SFN,SFG,Сан-Франциско Гиганты,Парк слоновой палочки
69,AL,KCA,KCR,Канзас-Сити Роялс,Стадион Кауффмана
130,,BR1,ECK,Бруклин Экфордс,Союзные земли
191,NL,CHN,CHC,Белые чулки Чикаго,Парк &lt; &lt; Лэйк фронт &gt; &gt; II
58,AL,CLE,CLE,Индейцы Кливленда,&lt; &lt; Парк II Лиги &gt; &gt;
164,NL,BRO,LAD,Бруклинские женихи,Вашингтон Парк III
97,AL,SEA,SEA,Морские пехотинцы Сиэтла,Полевое поле Королевства/ &lt; &lt; Сейфко &gt; &gt;
295,PL,BFP,BFB,Баффало Бизонс,
7,AA,BR3,LAD,Бруклинские серые,Вашингтон Парк I
147,,RC1,ROK,Рокфордские лесные города,Сельскохозяйственное общество
197,NL,CIN,CIN,Красные Цинциннати,Большой американский парк мячей
312,UA,SPU,STP,Белые капсулы Святого Пола,
222,NL,IN3,IND,Индианаполис Хусье,Атлетический парк II
15,AA,CN3,CKK,Убийца Цинциннати Келли,Ист-Энд Парк
313,UA,WIL,WIL,Уилмингтон Быстрые шаги,
286,NL,SR1,SYR,Звезды Сиракуз,Парк Ньюэлла
43,AL,BOS,BOS,Бостонские американцы,Земля Хантингтон-авеню
216,NL,HOU,HOU,Хьюстон Астрос,Астродом
230,NL,MIL,MIL,Милуоки Брюэрс,Окружной стадион
217,NL,HOU,HOU,Хьюстон Астрос,Энронное поле
268,NL,SDN,SDP,Сан-Диего Падрес,Стадион Qualcomm
