awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1956,NL,loganjo01,1,336,0.0
MVP,1980,AL,bellbu01,7,392,0.0
MVP,1925,NL,friscfr01,13,80,
Rookie of the Year,1991,AL,gomezle02,1,140,0.0
MVP,1986,NL,mcdowro01,5,336,0.0
MVP,1974,AL,jenkife01,118,336,3.0
MVP,2001,NL,gonzalu01,261,448,0.0
MVP,1961,AL,howarel01,30,280,0.0
MVP,1974,AL,dobsopa01,1,336,0.0
MVP,1958,AL,lollash01,57,336,0.0
MVP,1965,AL,fregoji01,5,280,0.0
MVP,1961,AL,mantlmi01,198,280,6.0
MVP,1992,NL,glavito02,18,336,0.0
MVP,1940,NL,garmsde01,28,336,0.0
Rookie of the Year,1952,NL,blackjo02,19,24,19.0
MVP,1978,AL,jacksre01,18,392,0.0
MVP,1976,NL,ziskri01,3,336,0.0
MVP,1932,AL,leveyji01,5,80,0.0
MVP,1970,NL,torrejo01,15,336,0.0
MVP,1933,AL,cochrmi01,5,80,0.0
Cy Young,1999,AL,wettejo01,3,140,0.0
MVP,1976,NL,luzingr01,49,336,0.0
MVP,2006,AL,ortizda01,193,392,0.0
MVP,1937,NL,hubbeca01,52,80,1.0
MVP,1996,NL,burksel01,186,392,0.0
MVP,2001,AL,sweenmi01,2,392,0.0
MVP,1997,AL,alomaro01,4,392,0.0
MVP,2003,AL,wellsve01,84,392,1.0
MVP,1973,NL,bryanro01,5,336,0.0
MVP,1999,NL,gonzalu01,12,448,0.0
MVP,2002,AL,kochbi01,8,392,0.0
Cy Young,1978,AL,guidrro01,140,140,28.0
MVP,1949,AL,parneme01,151,336,1.0
MVP,1941,AL,bentoal01,8,336,0.0
MVP,1952,AL,raschvi01,12,336,0.0
MVP,1941,AL,travice01,101,336,0.0
MVP,1913,AL,bakerfr01,21,64,
MVP,1985,AL,ripkeca01,9,392,0.0
MVP,1974,AL,cuellmi01,42,336,0.0
MVP,1947,AL,rosarbu01,6,336,0.0
Rookie of the Year,1994,AL,anderbr02,4,140,0.0
MVP,1961,NL,mayswi01,70,224,0.0
MVP,1943,AL,wolffro01,4,336,0.0
MVP,1931,NL,bartedi01,2,80,0.0
MVP,1948,AL,stephve01,121,336,0.0
MVP,1937,NL,danniha01,10,80,1.0
MVP,1932,AL,walkege02,1,80,0.0
MVP,1960,NL,pinsova01,6,336,0.0
MVP,1933,AL,cronijo01,62,80,2.0
MVP,1937,AL,moseswa01,12,80,0.0
MVP,2006,NL,wrighda03,70,448,0.0
MVP,1999,AL,garcino01,137,392,0.0
Cy Young,2005,NL,willido03,112,160,11.0
MVP,1912,NL,murrare01,5,64,0.0
MVP,2008,AL,sizemgr01,42,392,0.0
Rookie of the Year,1960,AL,hansero02,22,24,22.0
Rookie of the Year,1964,NL,allendi01,18,20,18.0
MVP,1953,NL,ennisde01,14,336,0.0
Rookie of the Year,1993,NL,stockke01,4,140,0.0
