franchid,franchname,active,naassoc
NYP,Города Нью-Йорка,Н,
KEK,Форт Уэйн Кекионгас,,
ROK,Рокфордские лесные города,,
BRA,Бруклинские Атлантики,,
PRO,Провидцы Грей,Н,
KCR,Канзас-Сити Роялс,Y,
NYI,Нью-Йорк Гиганты,Н,
TRT,Тройские троянцы,Н,
TOR,Торонтские синие джеи,Y,
BNA,Бостонские красные чулки,,АТЛ
BFL,Баффало Бизонс,Н,
BFB,Баффало Бизонс,Н,
FLA,Флорида Марлинс,Y,
OLY,Олимпийские игры в Вашингтоне,,
CHP,Чикагские пираты,Н,
BUF,Баффало Бизонс,Н,
COR,Красные цициннати,Н,
CKK,Убийца Цинциннати Келли,Н,
BLC,Балтиморские канареи,,
CIN,Красные Цинциннати,Y,
CNA,Белые чулки Чикаго,,CHC
SYR,Звезды Сиракуз,Н,
IHO,Индианаполис Хусье,Н,
PNA,Филадельфия Атлетика,,ATH
CLE,Индейцы Кливленда,Y,
PHQ,Филадельфия Атлетика,Н,
MAR,Балтимор Мэрилендс,,
COL,Колорадо Скалистые горы,Y,
SLR,Красные чулки Сент-Луиса,,
BLT,Балтиморские террапины,Н,
LGR,Луисвилл Грейс,Н,
SYS,Звезды Сиракуз,Н,
BWW,Чудеса Бруклина Уорда,Н,
MIL,Милуоки Брюэрс,Y,
TEX,Техасские рейнджеры,Y,
BOS,Бостонский ред Сокс,Y,
PIT,Питтсбургские пираты,Y,
ARI,Аризона Даймондбэкс,Y,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
SEA,Морские пехотинцы Сиэтла,Y,
MLU,Милуоки Брюэрс,Н,
CLV,Кливленд Паук,Н,
WBL,Голубые ноги Вашингтона,,
PBS,Питтсбургские повстанцы,Н,
ECK,Бруклин Экфордс,,
WST,Вашингтон,Н,
LOU,Полковники Луисвиля,Н,
PHA,Филадельфия Атлетика,Н,
KCN,Канзас Сити Ковбои,Н,
TLM,Толедо Маумес,Н,
KCU,Канзас Сити Ковбои,Н,
HNA,Хартфорд Тёмный Блюз,,HAR
SDP,Сан-Диего Падрес,Y,
TRO,Трой Хеймерс,,
NYY,Нью-Йорк Янкиз,Y,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
KCC,Канзас Сити Ковбои,Н,
BAL,Балтимор Ориолс,Y,
ROC,Рочестер Бронкос,Н,
CLI,Кливлендские младенцы,Н,
MIN,Близнецы из Миннесоты,Y,
CHH,Чикагские киты,Н,
SLM,Сент-Луис Марунс,Н,
TBD,Tampa Bay Rays,Y,
RIC,Ричмондские вирджинцы,Н,
STP,Святой Павел Апостолы,Н,
BRG,Бруклинские гладиаторы,Н,
IND,Индианаполис Хусье,Н,
MAN,Мидлтаун Мэнсфилдс,,
PHI,Филадельфия Филадельфия,Y,
BLO,Балтимор Ориолс,Н,
IBL,Индианаполис Блюз,Н,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
PHK,Критерии Филадельфии,Н,
NYM,Нью-Йорк Метс,Y,
PBB,Питтсбургские бургеры,Н,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
CBL,Блюз Кливленда,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
SNA,Сент-Луис Браун Шеллингс,,ПС
CHC,Чикаго Кабс,Y,КНА
PWS,Белые чулки Филадельфии,,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
CLS,Колумб Солоны,Н,
CFC,Кливлендские лесные города,,
WOR,Вихревые рубиновые ножки,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
STL,Кардиналы Сент-Луиса,Y,
ATH,Филадельфия Атлетика,Н,PNA
WAS,Сенаторы Вашингтона,Н,
WIL,Уилмингтон Быстрые шаги,Н,
BLU,Памятные памятники Балтимора,Н,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
NHV,Нью-Хейвен-Элм-Сити,,
MLA,Милуоки Брюэрс,Н,
CBK,Колумб Бакейс,Н,
NEW,Ньюарк Пеппер,Н,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
CNR,Красные Цинциннати,Н,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
CEN,Столетия Филадельфии,,
CHW,Чикаго Уайт Сокс,Y,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
MLG,Милуоки Грейс,Н,
LAD,Лос-Анджелес Доджерс,Y,
HOU,Хьюстон Астрос,Y,
OAK,Аклендская атлетика,Y,
WES,Кеокук Вестерн,,
KCP,Канзас Сити Пакерс,Н,
TOL,Синие чулки Толедо,Н,
BRD,Бостонские красные,Н,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
BTT,Бруклинские таблетки,Н,
HAR,Хартфорд Тёмный Блюз,Н,ХНА
NYU,Нью-Йорк Взаимная связь,Н,ННА
RES,Элизабет Резолютес,,
BRS,Бостонские красные,Н,
ALT,Горный город Альтоона,Н,
ATL,Атланты Храбрые храбрые,Y,БНА
SFG,Сан-Франциско Гиганты,Y,
