managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
gardnbi02m,1981,MIN,AL,2,73,30,43,4,Н
mcclojo99m,1896,LS3,NL,1,19,2,17,12,Н
hanlone01m,1889,PIT,NL,3,46,26,18,5,Y
mackco01m,1906,PHA,AL,1,149,78,67,4,Н
harribu01m,1926,WS1,AL,1,152,81,69,4,Y
friscfr01m,1934,SLN,NL,1,154,95,58,1,Y
griffcl01m,1916,WS1,AL,1,159,76,77,7,Н
fergubo01m,1884,PT1,AA,2,42,11,31,10,Y
showabu99m,2003,TEX,AL,1,162,71,91,4,Н
lopezal01m,1954,CLE,AL,1,156,111,43,1,Н
barnibi01m,1890,BL3,AA,1,38,15,19,6,Н
terrybi01m,1936,NY1,NL,1,154,92,62,1,Y
yostne01m,2007,MIL,NL,1,162,83,79,2,Н
irwinar01m,1896,NY1,NL,1,90,36,53,7,Н
mageele01m,1915,BRF,FL,1,118,53,64,7,Y
hattogr01m,1966,HOU,NL,1,163,72,90,8,Н
aloufe01m,1998,MON,NL,1,162,65,97,4,Н
larusto01m,1982,CHA,AL,1,162,87,75,3,Н
mackco01m,1947,PHA,AL,1,156,78,76,5,Н
tebeapa01m,1894,CL4,NL,1,130,68,61,6,Y
tannech01m,1982,PIT,NL,1,162,84,78,4,Н
harribu01m,1941,WS1,AL,1,156,70,84,6,Н
garcida99m,1978,CAL,AL,1,45,25,20,2,Н
bladera01m,1948,BRO,NL,2,1,1,0,3,Н
oneilst01m,1953,PHI,NL,1,156,83,71,4,Н
cochrmi01m,1936,DET,AL,1,53,29,24,2,Y
mauchge01m,1962,PHI,NL,1,161,81,80,7,Н
joycebi01m,1898,NY1,NL,3,92,46,39,7,Y
mckecbi01m,1924,PIT,NL,1,153,90,63,3,Н
gordojo01m,1960,CLE,AL,1,95,49,46,4,Н
bragabo01m,1965,ML1,NL,1,162,86,76,5,Н
lillibo01m,1983,HOU,NL,1,162,85,77,3,Н
fanniji01m,1982,MON,NL,1,162,86,76,3,Н
schalra01m,1928,CHA,AL,1,75,32,42,5,Y
willidi02m,1983,SDN,NL,1,163,81,81,4,Н
bowala01m,2004,PHI,NL,1,160,85,75,2,Н
dorgami01m,1879,SR1,NL,1,43,17,26,7,Y
austiji01m,1913,SLA,AL,2,8,2,6,8,Y
mcgrajo01m,1919,NY1,NL,1,140,87,53,2,Н
stanked01m,1954,SLN,NL,1,154,72,82,6,Н
friscfr01m,1933,SLN,NL,2,63,36,26,5,Y
tebbebi01m,1954,CIN,NL,1,154,74,80,5,Н
seleefr99m,1896,BSN,NL,1,132,74,57,4,Н
mcraeha01m,2001,TBA,AL,2,148,58,90,5,Н
maddojo99m,2008,TBA,AL,1,162,97,65,1,Н
oatesjo01m,1996,TEX,AL,1,163,90,72,1,Н
clarkfr01m,1908,PIT,NL,1,155,98,56,2,Y
mccarjo99m,1927,CHN,NL,1,153,85,68,4,Н
dykesji01m,1959,DET,AL,2,137,74,63,4,Н
hoffmgl01m,1998,LAN,NL,2,88,47,41,3,Н
virdobi01m,1978,HOU,NL,1,162,74,88,5,Н
cubbami01m,1991,NYN,NL,2,7,3,4,5,Н
mccarjo99m,1949,BOS,AL,1,155,96,58,2,Н
stanked01m,1952,SLN,NL,1,154,88,66,3,Y
gomezpr01m,1970,SDN,NL,1,162,63,99,6,Н
kuennha01m,1983,ML4,AL,1,162,87,75,5,Н
cayloop99m,1887,NY4,AA,3,100,35,60,7,Н
mileyda99m,2004,CIN,NL,1,162,76,86,4,Н
bluegos01m,1944,WS1,AL,1,154,64,90,8,Н
williji99m,1884,SL4,AA,1,85,51,33,4,Н
streega01m,1930,SLN,NL,1,154,92,62,1,Н
boonebo01m,2002,CIN,NL,1,162,78,84,3,Н
killebi01m,1931,SLA,AL,1,154,63,91,5,Н
mcgrajo01m,1916,NY1,NL,1,155,86,66,4,Н
tannech01m,1978,PIT,NL,1,161,88,73,2,Н
mccarjo99m,1944,NYA,AL,1,154,83,71,3,Н
dykesji01m,1946,CHA,AL,1,30,10,20,5,Н
fergubo01m,1887,NY4,AA,1,30,6,24,7,Н
runneto01m,1992,MON,NL,1,37,17,20,2,Н
hornsro01m,1952,CIN,NL,3,51,27,24,6,Н
harrilu01m,1968,ATL,NL,1,163,81,81,5,Н
jonesfi01m,1917,SLA,AL,1,155,57,97,7,Н
lasorto01m,1994,LAN,NL,1,115,58,56,1,Н
ottme01m,1942,NY1,NL,1,154,85,67,3,Y
paborch01m,1871,CL1,,1,29,10,19,8,Y
davisge01m,1901,NY1,NL,1,141,52,85,7,Y
dunlafr01m,1889,PIT,NL,2,17,7,10,5,Y
boyerke01m,1979,SLN,NL,1,163,86,76,3,Н
