playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
avilabo01,1954,0,ALS195407130,CLE,AL,1.0,4.0
martiti01,1983,0,ALS198307060,BAL,AL,0.0,
jeterde01,2002,0,NLS200207090,NYA,AL,1.0,
coopewa01,1946,0,ALS194607090,NY1,NL,1.0,2.0
cruzjo01,1985,0,ALS198507160,HOU,NL,1.0,
mayle01,1969,0,ALS196907230,CIN,NL,1.0,
berrayo01,1952,0,NLS195207080,NYA,AL,1.0,2.0
wilsobr01,2011,0,NLS201107120,SFN,NL,1.0,
berrayo01,1954,0,ALS195407130,NYA,AL,1.0,2.0
stanlmi02,1995,0,ALS199507110,NYA,AL,1.0,
ordonma01,2006,0,NLS200607110,DET,AL,1.0,
dentbu01,1981,0,ALS198108090,NYA,AL,1.0,6.0
hallaro01,2008,0,ALS200807150,TOR,AL,1.0,
casege01,1939,0,ALS193907110,WS1,AL,0.0,
simmote01,1983,0,ALS198307060,ML4,AL,1.0,2.0
fainfe01,1950,0,ALS195007110,PHA,AL,1.0,
walkedi02,1943,0,ALS194307130,BRO,NL,1.0,
boggswa01,1993,0,ALS199307130,NYA,AL,1.0,5.0
brettge01,1984,0,NLS198407100,KCA,AL,1.0,5.0
robinbr01,1960,2,ALS196007130,BAL,AL,1.0,
raineti01,1984,0,NLS198407100,MON,NL,1.0,
parkeda01,1980,0,NLS198007080,PIT,NL,1.0,9.0
trachst01,1996,0,NLS199607090,CHN,NL,1.0,
seaveto01,1973,0,ALS197307240,NYN,NL,1.0,
musiast01,1949,0,NLS194907120,SLN,NL,1.0,8.0
robinfr02,1967,0,ALS196707110,BAL,AL,0.0,
molitpa01,1994,0,NLS199407120,TOR,AL,1.0,
gwynnto01,1997,0,ALS199707080,SDN,NL,1.0,10.0
quiseda01,1982,0,NLS198207130,KCA,AL,1.0,
francti01,1961,2,ALS196107310,CLE,AL,0.0,
rudijo01,1975,0,ALS197507150,OAK,AL,1.0,7.0
seaveto01,1969,0,ALS196907230,NYN,NL,0.0,
sasakka01,2001,0,ALS200107100,SEA,AL,1.0,
niekrph01,1969,0,ALS196907230,ATL,NL,1.0,
schoere01,1954,0,ALS195407130,SLN,NL,1.0,
stalege01,1960,2,ALS196007130,CHA,AL,1.0,
schumha02,1933,0,ALS193307060,NY1,NL,0.0,
sciosmi01,1989,0,ALS198907110,LAN,NL,1.0,
mcgeewi01,1988,0,NLS198807120,SLN,NL,1.0,
wakefti01,2009,0,NLS200907140,BOS,AL,0.0,
berrayo01,1959,2,NLS195908030,NYA,AL,1.0,2.0
kellge01,1954,0,ALS195407130,CHA,AL,0.0,
busbyst01,1974,0,NLS197407230,KCA,AL,0.0,
campabe01,1977,0,ALS197707190,TEX,AL,1.0,
ashbyan01,1998,0,NLS199807070,SDN,NL,1.0,
francju01,1990,0,NLS199007100,TEX,AL,1.0,
rosebjo01,1958,0,ALS195807080,LAN,NL,0.0,
robinja02,1953,0,NLS195307140,BRO,NL,1.0,
maricju01,1971,0,ALS197107130,SFN,NL,1.0,
bondsbo01,1973,0,ALS197307240,SFN,NL,1.0,
molitpa01,1980,0,NLS198007080,ML4,AL,0.0,
martipe02,1996,0,NLS199607090,MON,NL,1.0,
ruizca01,2012,0,ALS201207100,PHI,NL,1.0,
alexado01,1988,0,NLS198807120,DET,AL,0.0,
henrybi01,1960,2,ALS196007130,CIN,NL,1.0,
saitota01,2007,0,NLS200707100,LAN,NL,1.0,
foxne01,1955,0,NLS195507120,CHA,AL,1.0,4.0
howelro02,1978,0,NLS197807110,TOR,AL,1.0,
mayswi01,1956,0,ALS195607100,NY1,NL,1.0,
foxne01,1959,1,NLS195907070,CHA,AL,1.0,4.0
gwynnto01,1989,0,ALS198907110,SDN,NL,1.0,9.0
puckeki01,1994,0,NLS199407120,MIN,AL,1.0,9.0
linceti01,2011,0,NLS201107120,SFN,NL,,
ryanno01,1973,0,ALS197307240,CAL,AL,1.0,
rhoderi01,1986,0,NLS198607150,PIT,NL,0.0,
millafe01,1971,0,ALS197107130,ATL,NL,1.0,
santibe01,1991,0,ALS199107090,SDN,NL,1.0,2.0
carewro01,1969,0,ALS196907230,MIN,AL,1.0,4.0
cedence01,1974,0,NLS197407230,HOU,NL,1.0,
gaettga01,1988,0,NLS198807120,MIN,AL,1.0,
sexsori01,2002,0,NLS200207090,MIL,NL,1.0,
rowesc01,1935,0,ALS193507080,DET,AL,0.0,
howsedi01,1961,1,NLS196107110,KC1,AL,1.0,
posadjo01,2000,0,NLS200007110,NYA,AL,1.0,
matheed01,1953,0,NLS195307140,ML1,NL,1.0,5.0
altmage01,1961,2,ALS196107310,CHN,NL,1.0,
kellge01,1952,0,NLS195207080,BOS,AL,0.0,
lombaer01,1945,0,,NY1,NL,0.0,
dobyla01,1954,0,ALS195407130,CLE,AL,1.0,
mattido01,1985,0,ALS198507160,NYA,AL,1.0,
russebi01,1973,0,ALS197307240,LAN,NL,1.0,
aparilu01,1970,0,NLS197007140,CHA,AL,1.0,6.0
wilheho01,1953,0,NLS195307140,NY1,NL,0.0,
jeterde01,1999,0,ALS199907130,NYA,AL,1.0,
fordwh01,1955,0,NLS195507120,NYA,AL,1.0,
monbobi01,1960,2,ALS196007130,BOS,AL,0.0,
nagych01,1996,0,NLS199607090,CLE,AL,1.0,1.0
eckerde01,1988,0,NLS198807120,OAK,AL,1.0,
hermabi01,1939,0,ALS193907110,CHN,NL,1.0,
doerrbo01,1947,0,NLS194707080,BOS,AL,1.0,
woodwi01,1972,0,NLS197207250,CHA,AL,1.0,
lopatst01,1955,0,NLS195507120,PHI,NL,1.0,
sabatcc01,2010,0,ALS201007130,NYA,AL,0.0,
heltoto01,2001,0,ALS200107100,COL,NL,1.0,3.0
cramedo01,1938,0,NLS193807060,BOS,AL,1.0,
pearsmo01,1936,0,NLS193607070,NYA,AL,0.0,
kellech01,1943,0,ALS194307130,NYA,AL,0.0,
mizejo01,1949,0,NLS194907120,NY1,NL,1.0,3.0
javieju01,1963,0,ALS196307090,SLN,NL,1.0,4.0
santoro01,1968,0,NLS196807090,CHN,NL,1.0,5.0
hendrge01,1975,0,ALS197507150,CLE,AL,1.0,
wrighda03,2012,0,ALS201207100,NYN,NL,1.0,
valvejo01,2011,0,NLS201107120,DET,AL,,
howarel01,1962,1,ALS196207100,NYA,AL,0.0,
chapmbe01,1933,0,ALS193307060,NYA,AL,1.0,7.0
bridgto01,1934,0,NLS193407100,DET,AL,0.0,
kessido01,1969,0,ALS196907230,CHN,NL,1.0,6.0
kentje01,1999,0,ALS199907130,SFN,NL,1.0,
scarbra01,1950,0,ALS195007110,CHA,AL,0.0,
riverma01,2006,0,NLS200607110,NYA,AL,1.0,
shawje01,2001,0,ALS200107100,LAN,NL,1.0,
griffke02,1999,0,ALS199907130,SEA,AL,1.0,8.0
montgje01,1996,0,NLS199607090,KCA,AL,0.0,
rosepe01,1969,0,ALS196907230,CIN,NL,1.0,
willite01,1940,0,NLS194007090,BOS,AL,1.0,7.0
whitebi03,1961,1,NLS196107110,SLN,NL,1.0,3.0
robined01,1951,0,ALS195107100,CHA,AL,1.0,
mayswi01,1964,0,NLS196407070,SFN,NL,1.0,8.0
sheffga01,1999,0,ALS199907130,LAN,NL,1.0,
guarded01,2002,0,NLS200207090,MIN,AL,1.0,
kurowwh01,1944,0,NLS194407110,SLN,NL,1.0,
valenel01,1977,0,ALS197707190,MON,NL,1.0,
luzingr01,1977,0,ALS197707190,PHI,NL,1.0,7.0
carpech01,2005,0,ALS200507120,SLN,NL,1.0,1.0
drysddo01,1967,0,ALS196707110,LAN,NL,1.0,
castilu01,2003,0,ALS200307150,FLO,NL,1.0,
smoltjo01,2005,0,ALS200507120,ATL,NL,1.0,
gehrilo01,1939,0,ALS193907110,NYA,AL,0.0,
grantmu01,1963,0,ALS196307090,CLE,AL,0.0,
pujolal01,2008,0,ALS200807150,SLN,NL,1.0,10.0
garvest01,1984,0,NLS198407100,SDN,NL,1.0,3.0
chalkda01,1974,0,NLS197407230,CAL,AL,1.0,
treshto01,1962,2,NLS196207300,NYA,AL,1.0,
rolfere01,1940,0,NLS194007090,NYA,AL,0.0,
saberbr01,1987,0,ALS198707140,KCA,AL,1.0,1.0
pepitjo01,1963,0,ALS196307090,NYA,AL,1.0,3.0
richabo01,1966,0,NLS196607120,NYA,AL,1.0,
rosepe01,1980,0,NLS198007080,PHI,NL,1.0,
lombaer01,1940,0,NLS194007090,CIN,NL,1.0,2.0
