year,hofid,name,category
2006,duffdi01h,Dick Duff,Player
1972,belivje01h,Jean Beliveau,Player
1962,roddemi01h,Mike Rodden,Referee/Linesman
1973,harvedo01h,Doug Harvey,Player
1958,conneal01h,Alec Connell,Player
1965,hewitfo01h,Foster Hewitt,Builder
1965,lockhth01h,Tommy Lockhart,Builder
1985,mariujo01h,John Mariucci,Builder
1978,bickejo01h,John Bickell,Builder
2009,yzermst01h,Steve Yzerman,Player
1978,tuttwi01h,William Tutt,Builder
1950,triheha01h,Harry Trihey,Player
1990,perregi01h,Gilbert Perreault,Player
1961,appssy01h,Syl Apps,Player
1981,stanlal01h,Allan Stanley,Player
1972,holmeha01h,Hap Holmes,Player
1985,olmstbe01h,Bert Olmstead,Player
1990,barbebi01h,Bill Barber,Player
1969,leadeal01h,Al Leader,Builder
1947,shoreed01h,Eddie Shore,Player
1959,thompti01h,Tiny Thompson,Player
1967,colvine01h,Neil Colville,Player
1962,greensh01h,Shorty Green,Player
1962,smithal03h,Alf Smith,Player
1964,diliofr01h,Francis Dilio,Builder
1965,benedcl01h,Clint Benedict,Player
1984,milfoja01h,Jake Milford,Builder
1950,grantmi01h,Mike Grant,Player
2001,hawerda01h,Dale Hawerchuk,Player
1971,sawchte01h,Terry Sawchuk,Player
1947,roberjo02h,John Robertson,Builder
2007,gregoji01h,Jim Gregory,Builder
2007,macinal01h,Al MacInnis,Player
1989,bauerda01h,David Bauer,Builder
1958,clancki01h,King Clancy,Player
1988,laflegu01h,Guy Lafleur,Player
2003,lafonpa01h,Pat LaFontaine,Player
1992,allenke01h,Keith Allen,Builder
1958,fredrfr01h,Frank Fredrickson,Player
1962,mcgimbi01h,Billy McGimsie,Player
1950,drinkgr01h,Graham Drinkwater,Player
1961,stuarbr02h,Bruce Stuart,Player
1993,lapoigu01h,Guy Lapointe,Player
2006,brookhe01h,Herb Brooks,Builder
1947,nighbfr01h,Frank Nighbor,Player
1984,imlacpu01h,Punch Imlach,Builder
1992,mathefr01h,Frank Mathers,Builder
1950,malonjo01h,Joe Malone,Player
1984,esposph01h,Phil Esposito,Player
1995,cookbu01h,Bun Cook,Player
1976,bowerjo01h,Johnny Bower,Player
1974,mooredi01h,Dickie Moore,Player
1952,johnsmo01h,Moose Johnson,Player
1992,dionnma01h,Marcel Dionne,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1945,gardich01h,Charlie Gardiner,Player
1981,bucykjo01h,John Bucyk,Player
1993,smithbi01h,Billy Smith,Player
1987,pavelma03h,Matt Pavelich,Referee/Linesman
2004,bourqra01h,Raymond Bourque,Player
1975,baileac01h,Ace Bailey,Player
1976,rossph01h,Philip Ross,Builder
1993,pagefr01h,Fred Page,Builder
1950,davidal01h,Scotty Davidson,Player
1987,clarkbo01h,Bobby Clarke,Player
1949,bainda01h,Dan Bain,Player
1964,campban01h,Angus Campbell,Builder
2007,francro01h,Ron Francis,Player
1950,lalonne01h,Newsy Lalonde,Player
1959,adamsja01h,Jack Adams,Player
1958,bouchfr01h,Frank Boucher,Player
1945,gerared01h,Eddie Gerard,Player
1973,udvarfr01h,Frank Udvari,Referee/Linesman
1979,orrbo01h,Bobby Orr,Player
1966,kennete01h,Ted Kennedy,Player
1961,loicqpa01h,Paul Loicq,Builder
2010,seamado01h,Doc Seaman,Builder
1996,arboual01h,Al Arbour,Builder
1990,flamafe01h,Fern Flaman,Player
2001,gartnmi01h,Mike Gartner,Player
1947,northwi01h,William Northey,Builder
1971,jacksbu01h,Busher Jackson,Player
1985,pilouru01h,Rudy Pilous,Builder
1947,bowieru01h,Russell Bowie,Player
1999,gretzwa01h,Wayne Gretzky,Player
1962,walshma01h,Marty Walsh,Player
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1962,westwha01h,Harry Westwick,Player
2002,neilsro01h,Roger Neilson,Builder
1962,lavioja01h,Jack Laviolette,Player
1952,cookbi01h,Bill Cook,Player
2007,messima01h,Mark Messier,Player
1965,marshja02h,Jack Marshall,Player
1958,raymodo01h,Donat Raymond,Builder
1980,patrily01h,Lynn Patrick,Player
1968,hendyji01h,Jim Hendy,Builder
1962,whitcfr01h,Fred Whitcroft,Player
1984,parenbe01h,Bernie Parent,Player
1947,nelsofr01h,Francis Nelson,Builder
1996,bauerbo01h,Bobby Bauer,Player
1974,vossca01h,Carl Voss,Builder
1962,hylanha01h,Harry Hyland,Player
1977,delveal01h,Alex Delvecchio,Player
1970,gadsbbi01h,Bill Gadsby,Player
1969,wortero01h,Roy Worters,Player
1973,molsoha01h,Hartland Molson,Builder
2008,chynoed01h,Ed Chynoweth,Builder
1994,oneilbr01h,Brian O'Neill,Builder
1991,bossymi01h,Mike Bossy,Player
