year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1991,NHL,STL,STL,CC,NO,3,DSF,80,36,33,11.0,,83,,,279,266,St. Louis Blues,2041,12,69,359,12,64,389,16
1974,WHA,IND,IND,,EW,4,,78,18,57,3.0,,39,,,216,338,Indianapolis Racers,970,,45,290,14,55,256,4
2005,NHL,PHO,PHO,WC,PC,5,,82,38,39,,5,81,4,3,246,271,Phoenix Coyotes,1511,18,96,541,11,98,513,9
1967,NHL,LAK,LAK,,WD,2,QF,74,31,33,10.0,,72,,,200,224,Los Angeles Kings,808,,33,241,3,54,274,5
1988,NHL,PIT,PIT,WA,PT,2,DF,80,40,33,7.0,,87,,,347,349,Pittsburgh Penguins,2670,16,119,491,16,111,482,21
1951,NHL,BOS,BOS,,,4,SF,70,25,29,16.0,,66,,,162,176,Boston Bruins,601,,,,,,,
1997,NHL,NYR,NYR,EC,AT,5,,82,25,39,18.0,,68,,,197,231,New York Rangers,1548,12,62,351,13,55,376,0
1954,NHL,BOS,BOS,,,4,SF,70,23,26,21.0,,67,,,169,188,Boston Bruins,863,,,,,,,
1976,NHL,DET,DET,WA,NO,5,,80,16,55,9.0,,41,,,183,309,Detroit Red Wings,1332,10,37,294,10,73,317,10
1932,NHL,NYR,NYR,,AM,3,SC,48,23,17,8.0,,54,,,135,107,New York Rangers,599,,,,,,,
1933,NHL,DET,DET,,AM,1,F,48,24,14,10.0,,58,,,113,98,Detroit Red Wings,368,,,,,,,
1916,NHA,OT1,STE,,,1,NHAF,20,15,5,0.0,,30,,,119,63,Ottawa Senators,,,,,,,,
1956,NHL,TOR,TOR,,,5,,70,21,34,15.0,,57,,,174,192,Toronto Maple Leafs,829,,,,,,,
1966,NHL,DET,DET,,,5,,70,27,39,4.0,,58,,,212,241,Detroit Red Wings,719,,46,230,7,46,246,6
2007,NHL,ATL,WPG,EC,SE,4,,82,34,40,,8,76,9,6,216,272,Atlanta Thrashers,1077,20,52,316,10,75,354,13
1980,NHL,COR,NJD,CC,SM,5,,80,22,45,13.0,,57,,,258,344,Colorado Rockies,1418,36,76,373,8,70,286,5
2003,NHL,SJS,SJS,WC,PC,1,CF,82,43,21,12.0,6,104,,,219,183,San Jose Sharks,1091,18,56,337,9,47,319,9
1971,NHL,MTL,MTL,,ED,3,QF,78,46,16,16.0,,108,,,307,205,Montreal Canadiens,783,12,72,266,4,41,245,14
2006,NHL,AND,ANA,WC,PC,1,SC,82,48,20,,14,110,4,10,258,208,Anaheim Ducks,1457,30,89,398,4,61,410,4
2007,NHL,CBS,CBS,WC,CE,4,,82,34,36,,12,80,3,8,193,218,Columbus Blue Jackets,1325,22,53,356,5,63,378,8
1973,WHA,CHC,CHC,,EW,4,AVF,78,38,35,5.0,,81,,,271,273,Chicago Cougars,1041,26,51,245,8,45,289,7
1999,NHL,NAS,NAS,WC,CE,4,,82,28,40,7.0,7,70,,,199,240,Nashville Predators,946,14,41,304,11,46,309,9
1970,NHL,PIT,PIT,,WD,6,,78,21,37,20.0,,62,,,221,240,Pittsburgh Penguins,1079,6,56,318,9,48,276,5
1981,NHL,COR,NJD,CC,SM,5,,80,18,49,13.0,,49,,,241,362,Colorado Rockies,1138,20,46,305,15,63,268,4
1934,NHL,TOR,TOR,,CA,1,F,48,30,14,4.0,,64,,,157,111,Toronto Maple Leafs,444,,,,,,,
