year,lgid,tmid,oppid,w,l,t,otl
1989,NHL,NYR,MTL,0,3,0.0,
1973,WHA,LAS,TOT,2,4,0.0,
2001,NHL,LAK,CHI,2,2,0.0,0
1917,NHL,OTS,TOA,3,7,0.0,
1998,NHL,BOS,OTT,3,2,0.0,
1986,NHL,MTL,PHI,0,2,1.0,
1993,NHL,PHI,TBL,3,1,1.0,
2009,NHL,FLO,COL,1,1,,0
1970,NHL,BOS,CHI,2,3,1.0,
1930,NHL,DTF,TOR,2,1,1.0,
1997,NHL,EDM,PHI,0,2,0.0,
2003,NHL,CHI,TBL,0,1,0.0,0
2006,NHL,COL,FLO,1,0,,0
1986,NHL,WAS,CHI,1,1,1.0,
1978,NHL,ATF,PIT,3,0,1.0,
1975,WHA,IND,SDM,0,3,3.0,
2005,NHL,COL,PIT,0,1,,0
1938,NHL,MTL,BOS,2,6,0.0,
1998,NHL,SJS,NAS,2,2,0.0,
2000,NHL,SJS,MIN,3,1,0.0,0
1999,NHL,MTL,TBL,3,1,0.0,0
2011,NHL,CAR,VAN,1,0,,0
1981,NHL,PHI,QUE,1,1,1.0,
1972,WHA,MFS,OTN,3,3,0.0,
1985,NHL,HAR,MTL,3,4,1.0,
2010,NHL,STL,DET,2,3,,1
1995,NHL,NJD,DAL,1,1,0.0,
1997,NHL,DET,PIT,0,1,1.0,
1990,NHL,STL,HAR,3,0,0.0,
1981,NHL,COR,MTL,0,2,1.0,
1995,NHL,CAL,NYR,1,1,0.0,
2002,NHL,PIT,STL,1,0,0.0,0
1990,NHL,WAS,DET,3,0,0.0,
2001,NHL,NYR,PIT,2,1,0.0,2
2008,NHL,PHO,NYI,1,1,,0
1984,NHL,BUF,PIT,2,0,1.0,
1999,NHL,CHI,NYR,0,1,0.0,0
2002,NHL,EDM,ATL,1,0,1.0,0
1930,NHL,NYA,MTL,0,5,1.0,
1996,NHL,EDM,NYR,1,0,1.0,
2001,NHL,LAK,NJD,1,0,0.0,0
1977,NHL,CHI,MNS,5,0,1.0,
1916,NHA,MOW,MOC,1,4,0.0,
2009,NHL,CHI,TBL,1,0,,0
1931,NHL,MTM,NYR,2,3,1.0,
1975,NHL,VAN,BOS,1,2,1.0,
1985,NHL,PHI,STL,2,1,0.0,
1988,NHL,EDM,NYR,2,1,0.0,
1978,NHL,NYR,BOS,2,3,0.0,
1983,NHL,TOR,HAR,1,2,0.0,
1992,NHL,LAK,HAR,2,0,0.0,
1973,NHL,VAN,MNS,0,4,1.0,
1999,NHL,ATL,EDM,0,2,0.0,0
1988,NHL,HAR,CAL,1,2,0.0,
1992,NHL,CAL,WIN,2,3,2.0,
1939,NHL,NYA,BOS,1,7,0.0,
1987,NHL,TOR,WAS,1,1,1.0,
1994,NHL,PHI,FLO,2,1,1.0,
1993,NHL,TOR,EDM,2,1,1.0,
1962,NHL,TOR,NYR,8,5,1.0,
2003,NHL,CAR,ANA,0,2,0.0,0
2007,NHL,NJD,BOS,3,1,,0
2002,NHL,CBS,NYR,1,1,0.0,0
2007,NHL,FLO,STL,1,0,,0
1988,NHL,WIN,LAK,2,2,4.0,
1914,NHA,QU1,MOW,3,1,0.0,
1994,NHL,NYI,QUE,1,2,0.0,
2000,NHL,PHI,TOR,2,2,0.0,0
2011,NHL,COL,PIT,0,2,,0
1989,NHL,PHI,NJD,2,4,1.0,
1932,NHL,BOS,OTS,3,1,2.0,
2002,NHL,OTT,NYI,2,1,1.0,0
1997,NHL,STL,NYI,0,1,1.0,
2005,NHL,TBL,OTT,0,4,,0
2000,NHL,TBL,OTT,0,4,0.0,0
1976,NHL,BOS,DET,4,1,0.0,
1980,NHL,COR,QUE,2,2,0.0,
2007,NHL,AND,DET,2,1,,1
1973,WHA,EDO,VAB,4,6,0.0,
1990,NHL,MNS,CHI,2,5,1.0,
2003,NHL,TOR,WAS,2,0,2.0,0
1967,NHL,TOR,CHI,4,5,1.0,
1926,NHL,PIP,MTL,0,3,1.0,
1973,NHL,CHI,TOR,3,1,1.0,
1994,NHL,NYR,MTL,1,2,1.0,
1938,NHL,NYR,NYA,5,2,1.0,
2005,NHL,NYI,OTT,0,4,,0
1996,NHL,VAN,PIT,1,1,0.0,
1982,NHL,STL,WIN,1,2,0.0,
1933,NHL,DET,NYR,3,3,0.0,
1993,NHL,DAL,NYI,0,1,1.0,
1989,NHL,PHI,CHI,0,3,0.0,
1977,WHA,SOV,QUN,0,0,1.0,
1990,NHL,LAK,MTL,1,1,1.0,
2002,NHL,NYR,ATL,0,3,0.0,1
2005,NHL,ANA,LAK,5,1,,2
1998,NHL,EDM,FLO,0,1,0.0,
2011,NHL,AND,CHI,1,2,,1
1973,NHL,ATF,LAK,1,5,0.0,
2001,NHL,BUF,NJD,1,2,1.0,0
1995,NHL,CAL,VAN,3,2,1.0,
1997,NHL,MTL,OTT,3,2,1.0,
1971,NHL,VAN,MNS,2,3,1.0,
1967,NHL,STL,MTL,0,3,1.0,
1997,NHL,LAK,SJS,3,2,0.0,
1982,NHL,CAL,EDM,2,4,2.0,
