year,url
1950,"Сезон 1950 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленным и управляемым организацией «Федерация Автомобильного Вопроса» (FIA). Сезон состоял из 8 гонок и начался 13 мая и закончился 18 сентября."
1951,"Сезон 1951 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», проводимом под эгидой FIA. Сезон состоял из пяти гонок и начался 25 марта и закончился 28 октября. В сезоне приняли участие 34 гонщика, разделившись на 7 команд. Победителем сезона стал итальянский гонщик Алессандро Паззанини, выступавший за команду Maserati."
1952,"Сезон 1952 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», проведенным под эгидой ФИА. Он начался 13 апреля и закончился 6 сентября, включив в себя пять гонок."
1953,Сезон 1953 года в Формуле-1
1954,"Сезон 1954 года в Формуле-1 был первым сезоном чемпионата мира по автогонкам в классе «Формула-1», установленного Международной ассоциацией гонщиков автомобилей (FIA). Сезон состоял из семи Гран-при, и за его победу боролись только три гонщика."
1955,"Сезон 1955 года в Формуле-1 был первым полным сезоном чемпионата мира по автогонкам в классе «Формула-1», который проходил под эгидой FIA, и состоял из пяти Гран-при. В сезоне приняли участие 37 гонщиков, в том числе восемь женщин. Сезон начался 13 марта и закончился 4 сентября."
1956,"Сезон 1956 года в Формуле-1 — шестой сезон Чемпионата мира по автогонкам в классе «Формула-1», который проведениями был Международной автомобильной федерацией (МЧФ). Сезон начался 13 мая и закончился 28 октября после восьми гонок."
1957,"Сезон 1957 года в Формуле-1 был одним из самых драматичных и запоминающихся в истории этого вида спорта. Он начался с трагической смерти легендарного пилота Хуана Мануэля Фангия во время Гран-при Монако и продолжился напряженной борьбой между двумя ведущими командами - ""Виллис"" и ""Маруся"".

Чемпионом 1957 года стал пилот ""Маруся"" Майк Хоторн, который, несмотря на более медленную машину, продемонстрировал невероятное мастерство и упорство. Он выиграл четыре этапа сезона, в том числе два последних Гран-при США и Италии, которые решили судьбу титула.

В борьбе за титул Хоторн опередил своего напарника по ""Маруся"" Джека Брейла, а также пилотов ""Виллиса"" - Фангия (который погиб до начала сезона) и Тони Брукса. Ничья в очной борьбе между Хоторном и Брейлом на Гран-при Бельгии сделала титул возможным для обоих, но из-за технических проблем у Брейла Майк Хоторн стал чемпионом с преимуществом в два очка.

Сезон 1957 года также запомнился дебютом молодых талантов, таких как Фил Хилл и Нино Фарраго, которые в будущем стали одними из лидеров спорта. Кроме того, этот сезон стал свидетелем первых выступлений гонщиков из Азии, включая индийца Нараяна Гунаджеса и малазийца Томми Сохла.

В целом, сезон 1957 года в Формуле-1 был полон драматичных событий, неожиданных побед и трагических потерь, что сделало его одним из самых запоминающихся в истории этого вида спорта."
1958,"Сезон 1958 года в Формуле-1 — это автогоночный сезон, который включал в себя Гран-при Формулы-1, проводимые под эгидой Федеральной автомобильной ассоциации (FISA) и признаваемые Международной ассоциацией автогонок (FIA). Это был первый полный сезон чемпионата мира Формулы-1, включавший в себя девять гонок."
1959,Сезон 1959 года в Формуле-1
1963,"Сезон 1963 года в Формуле-1 стал пятым сезоном чемпионата мира в классе «Формула-1», который проводился под эгидой Федеральной автомобильной ассоциации (ФИА). Сезон охватил период с 13 января по 20 октября 1963 года."
1964,"Сезон 1964 года в Формуле-1 был одиннадцатым сезоном чемпионата мира по автогонкам в классе «Формула-1», который проводится под эгидой FIA. Сезон начался 28 марта и закончился 25 октября после проведения 10 гонок."
1965,Сезон 1965 года в Формуле-1
1966,Сезон 1966 года в Формуле-1
1967,Сезон 1967 года в Формуле-1
1968,Сезон 1968 года в Формуле-1
1969,Сезон 1969 года в Формуле-1
1970,"Сезон 1970 года в Формуле-1 — шестой сезон чемпионата мира в Формуле-1, организованный ФИА и проводимый с 1 января по 28 ноября 1970 года. В чемпионате приняли участие 15 команд, 30 пилотов и 74 гонки."
1971,"Сезон 1971 года в Формуле-1 был 26-м сезоном чемпионата мира Формулы-1, установленного Fédération Internationale de l'Automobile (FIA). В этом сезоне впервые с 1950 года было проведено 11 Гран-при. Джеки Стюарт стал чемпионом мира среди пилотов в третий раз в своей карьере, а Tyrrell завоевала свой первый Кубок Конструкторов."
1972,Сезон 1972 года в Формуле-1
1973,Сезон 1973 года в Формуле-1 стал шестым сезоном чемпионата мира по автоспорту в классе «Формула-1». Сезон начался 18 марта и закончился 28 октября 16 гонками.
1974,Сезон 1974 года в Формуле-1
1975,Сезон 1975 года в Формуле-1
1976,"Сезон 1976 года в Формуле-1 был 37-м сезоном чемпионата мира по автогонкам в классе «Формула-1», который проведён под эгидой FIA (Федерации Автомобильного Спортива Международной). В 1976 году в календаре было 15 гонок, и все они были проведены. Чемпионом среди пилотов стал Джеймс Хант, а среди конструкторов — команда «Макларен»."
