qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767
324,33,2,2,3,16,1:18.835,,
345,34,6,3,8,17,1:36.863,,
424,38,5,4,4,12,1:33.467,1:32.935,
459,40,13,6,5,3,1:16.786,1:16.034,1:15.967
610,46,29,12,21,22,1:23.774,,
774,54,23,7,7,10,1:35.214,1:34.586,
826,56,26,5,21,18,1:25.437,,
846,57,24,5,20,16,1:32.651,1:31.728,
946,62,35,2,17,6,1:12.114,1:11.724,1:12.479
1048,66,33,13,18,20,1:29.901,,
1232,81,2,3,8,14,1:22.117,,
1257,82,31,1,10,19,,,
1385,89,14,9,14,7,1:35.428,,
1431,109,49,15,10,13,1:38.291,,
1544,160,60,18,21,20,1:28.161,,
1757,200,14,1,7,14,1:32.399,,
1816,207,55,22,7,8,1:32.593,,
1822,207,21,17,12,14,1:33.552,,
1866,209,78,15,17,14,1:27.690,,
2032,224,30,6,1,4,1:33.125,,
2039,224,44,27,9,11,1:35.330,,
2075,226,77,22,4,5,1:31.262,,
2086,226,63,25,19,16,1:32.903,,
2170,230,84,17,12,15,1:23.438,,
2173,230,83,18,20,18,1:25.274,,
2180,240,77,6,28,5,1:20.906,,
2207,241,55,6,27,6,1:54.637,,
2250,242,93,31,11,23,1:33.965,,
2328,245,90,28,22,23,1:34.000,,
2551,255,14,3,6,6,1:39.155,,
2620,258,102,3,2,1,1:10.218,,
2719,262,109,22,6,20,1:28.993,,
2846,267,44,27,26,17,2:26.079,,
3164,9,10,7,10,19,1:32.423,,
3292,16,3,3,16,7,1:22.828,1:20.368,1:20.326
3855,112,2,15,9,14,1:19.646,,
3910,115,49,15,10,10,1:16.939,,
4207,96,22,6,2,7,1:29.353,,
4370,105,14,1,5,10,1:35.029,,
4389,106,35,4,7,9,1:36.274,,
4448,72,14,9,14,8,1:33.809,1:35.891,
4525,76,14,9,14,7,1:15.329,1:18.538,
4760,850,808,4,10,9,1:33.187,1:31.985,1:32.187
4844,854,816,166,25,22,1:52.363,,
4908,857,813,3,12,14,1:26.829,1:26.537,
4926,858,30,131,7,8,1:42.605,1:40.554,1:40.662
5136,867,154,208,10,4,1:39.530,1:38.489,1:38.505
5231,871,8,208,9,4,1:49.546,1:48.414,1:48.205
5242,871,818,5,17,15,1:49.763,1:49.354,
5379,877,154,208,10,10,1:42.046,1:41.620,1:41.778
5645,890,8,208,7,6,1:20.867,1:20.243,1:19.851
5734,894,13,6,4,7,1:38.884,1:38.295,1:38.223
5978,904,4,6,14,7,1:28.329,1:27.602,1:27.140
6045,907,8,6,7,8,1:10.285,1:09.657,1:10.795
6199,914,18,1,22,8,1:35.150,1:34.648,1:34.317
6240,916,4,6,14,6,1:38.349,1:38.010,1:37.610
6439,932,831,15,12,15,1:16.968,1:16.620,
6768,951,836,209,94,20,1:39.399,,
6896,957,18,1,22,17,1:32.788,,
6933,959,821,210,21,11,1:15.987,1:15.883,
7078,966,817,9,3,4,1:19.713,1:19.553,1:19.133
7170,970,832,5,55,11,1:34.567,1:34.150,
7187,971,13,3,19,8,1:31.373,1:30.677,1:30.074
7220,973,1,131,44,1,1:20.511,1:20.210,1:19.149
7408,982,838,1,2,9,1:42.222,1:41.227,1:41.398
