circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-парк,Гран-при Альберт-Парка,Мельбурн,Австралия,-37.8497,144.968,10.0,"Мельбурнский Гран-при (English: Melbourne Grand Prix Circuit) — автодром в Мельбурне, Австралия, который используется для проведения Гран-при Австралии по Formel 1 и других гоночных мероприятий."
2,Sepанг,Сепанг Интернэшнл Циркит,Кuala-Лумпур,Малайзия,2.76083,101.738,,Сепангская международная трасса
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,https://ru.wikipedia.org/wiki/Бахрейнский_могильник
4,Каталански,Шоссе Барселоны-Каталонии,Монмело,Испания,41.57,2.26111,,Каталанский автодром
5,Стамбул,Парк Стамбула,Стамбул,Турция,40.9517,29.405,,Парк Стамбула
6,Монако,Шоссе Монако,Монако,Монако,43.7347,7.42056,,Circuit de Monaco
7,Виллегэнвиль,Шоссе Жиля Вильнева,Монреаль,Канада,45.5,-73.5228,,Википедия: Кик-Сёркет Гийом Вильнёв
8,Магни-Курс,"Кирьят-Гат, Израиль",Магни-Курс,Франция,46.8642,3.16361,,Циркуит де Неверс Магни-Курс
9,Сильверстоун,Силверстоун,Сильверстоун,Великобритания,52.0786,-1.01694,,"Киркстен — это круговая трасса для гонок на автомобилях, расположенная в городе Киркстон, графство Нортгемптоншир, Англия."
10,Хоккенхаймриндж,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Хунгаро́ринг,Венгрия,Будапешт,Венгрия,47.5789,19.2486,,Хунгароринг
12,Валенсия,"Трасса ""Валенсия""",Валенсия,Испания,39.4589,-0.331667,,Круговая трасса Валенсия
13,спа,Штуль-Флекенштейн,Спа,Бельгия,50.4372,5.97139,,Спа-Франкоршам
14,Монца,"Автоодом ""Национальная Монца""",Монца,Италия,45.6156,9.28111,,Автовокзал Монцы
15,Марина-Бэй,Марина-Бэй-Стрит-Кёрт,Марина-Бэй,Сингапур,1.2914,103.864,,Круговая дорога Марина-Бэй
16,фудзи,Фудзи Спидвей,Ояма,Япония,35.3717,138.927,,Фудзи-Скоростная трасса
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,интерлагос,Автомагистраль Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автоход Жозе Карлос Пейс
19,Индианаполис,Индианаполисский автодром,Индианаполис,США,39.795,-86.2347,,Индианаполис Мотор Спидвей
20,Нюрнбургинг,Нюрбургринг,Нюрбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автоход-собрание Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автофридмо Энзо и Дино Феррари
22,Сузука,Сузука-циркуит,Сузука,Япония,34.8431,136.541,,"Шикаку-сикрет - это автодром в Японии, расположенный в городе Шикаку-си, префектура Тиба. Он известен тем, что принимает Гран-при Японии по Формуле-1 и другие важные автоспортивные мероприятия. Автодром имеет длину 5,807 км и 16 поворотов."
23,Австро-венгерский грошень,А1-Ринг,Шпильберг,Австрия,47.2197,14.7647,,А1-Ринг
24,я́сная ма́рина,Яс Марина,Абу-Даби,UAE — Объединённые Арабские Эмираты,24.4672,54.6031,,Яс-Марина
25,Галвез,Автовооружение Хуана и Оскара Гальвеса,Буэнос-Айрес,Аргентина,-34.6943,-58.4593,,Автоодом Оскар Альфредо Гальвес
26,Херес,Циркито де Херес,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,"Кирхерштадт, permanentная трасса в Херезе"
