constructorid,constructorref,name,nationality,url
1,Макларен,Макларен,Британский,Макларен
2,БएमВ-Саубер,БМВ Саубер,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",BMW-Заубер
3,Уилмса,Уильямс,Британский,https://ru.wikipedia.org/wiki/Уильямс_Гран-при_Инжиниринг
4,Рено,Рено,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",https://ru.wikipedia.org/wiki/Рено_(Ф1)
5,Торо Россо,Торо Россо,Итальянский,Скудерия Торо Россо
6,Феррари,Феррари,Итальянский,Скудерия Феррари
7,Toyota,Тойота,Японский,"Википедия. ""Toyota Racing"""
8,Супер-Агури,Супер Агури,Японский,Википедия: Супер Агури F1
9,ред-болл,Ред Булл,Австрийский,"""Red Bull Racing"""
10,Форс Индия,Форс Индия,Индийский,Формулы
11,Хонда,Хонда,Японский,Хонда Расинг Ф1
12,Спайкер,Спайкер,Нидерландский,Спайкер Ф1
13,МФ1,МФ1,"Здравствуйте! Я - профессиональный переводчик. Я могу перевести текст с английского на русский. Пожалуйста, предоставьте текст для перевода.",Википедия: Midland F1 Racing
14,Spyker MF1,Спайкер МФ1,Нидерландский,Википедия: Midland F1 Racing
15,Чистота,Чистый,Швейцария,Сабер
16,бар,BAR,Британский,https://ru.wikipedia.org/wiki/Британско-американская_гоночная_конструкция
17,Иордания,Иордания,ирландский,Гран-при Иордании
18,Миниарди,Минарди,Итальянский,Минарди
19,Ягуар,Ягуар,Британский,Джагуар Рेсинг
20,прости,Да,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.","Википедия: ""Prost Grand Prix"""
21,стрілки,Стрелки,Британский,Википедия: Арроу Гранд-при Интернэшнл
22,Бенеттон,Бенеттон,Итальянский,https://ru.wikipedia.org/wiki/Бенеттон_(Формулы_1)
28,форти,Форти,Итальянский,Форти
35,Даллара,Даллада,Итальянский,Даллара
36,фондметал,Фондметал,Итальянский,Фондметалл
38,мода,Андреа Мода,Итальянский,"Формула Андреа Мода — это серия уравнений, описывающих модули эллиптических функций и используемых для расчета арифметико-геометрических свойств эллипсов. Эти уравнения были впервые приведены Андреа Модой в его работе «De quadratura parabolis» (О квадратуре параболы), опубликованной в 1543 году."
40,Ламбо,Ламбо,Итальянский,"""Модена"" (гоночная команда)"
42,колони,Колони,Итальянский,Зено Колони Расинг Ка Системс
44,евро-коричневый,Евро Браун,Итальянский,Евро-Брун
45,Оселла,Оселла,Итальянский,Оселла
47,жизнь,Жизнь,Итальянский,Жизнь (гоночная команда)
51,Альфа,Альфа-Ромео,Итальянский,Альфа Ромео (Формулы 1)
54,а́тс,ATS,Итальянский,https://ru.wikipedia.org/wiki/ATS_(колеса)
60,Мерзарио,Мерцарио,Итальянский,Мерзарио
81,Техно,Техно,Итальянский,Техно
86,Томасо,Дэ Томасо,Итальянский,"Дьотома́со — это итальянский производитель спортивных автомобилей, основанный в 1955 году Гари Де Томасо в Маранелло, Италия. Компания известна своими высококачественными спортивными автомобилями и гоночными автомобилями, которые участвовали в различных автоспортивных соревнованиях на протяжении многих лет."
104,Бехра-Порше,Бехра-Порше,Итальянский,Бехра-Пورشе
105,Мaserati,Масерати,Итальянский,"Мазерати — это итальянский производитель автомобилей класса люкс с долгой историей, уходящей корнями в начало XX века. Компания известна своими элегантными и высококачественными автомобилями, которые сочетают в себе итальянское мастерство и немецкое инженерное мастерство.

Википедия: https://ru.wikipedia.org/wiki/Maserati"
174,De Tomaso Osca,Дэ Томасо-Оска,Итальянский,"Дьотома́со — это итальянский производитель спортивных автомобилей, основанный в 1955 году Гари Де Томасо в Маранелло, Италия. Компания известна своими высококачественными спортивными автомобилями и гоночными автомобилями, которые участвовали в различных автоспортивных соревнованиях на протяжении многих лет."
175,De Tomaso-Alfa Romeo,Де Томасо-Альфа Ромео,Итальянский,"Дьотома́со — это итальянский производитель спортивных автомобилей, основанный в 1955 году Гари Де Томасо в Маранелло, Италия. Компания известна своими высококачественными спортивными автомобилями и гоночными автомобилями, которые участвовали в различных автоспортивных соревнованиях на протяжении многих лет."
179,Дэмиан-Томасо-Феррари,Детомасо-Феррари,Итальянский,"Дьотома́со — это итальянский производитель спортивных автомобилей, основанный в 1955 году Гари Де Томасо в Маранелло, Италия. Компания известна своими высококачественными спортивными автомобилями и гоночными автомобилями, которые участвовали в различных автоспортивных соревнованиях на протяжении многих лет."
