provider_no,provider_name,street,city,state_prov,mail_code,country,phone_no,issue_dt,expr_dt,region_no,provider_code
15,Prov. Boston Op, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
20,Prov. Boston Tr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
22,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,5,
24,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
36,Prov. Driven Pe, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
38,Prov. Driven Re, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
42,Prov. Expert Li, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
55,Prov. Famous Op, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,5,
71,Prov. Humble Ke, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,8,
89,Prov. Imperial, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,6,
92,Prov. Just Ligh, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,8,
101,Prov. Apex Key, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,7,
106,Prov. Apex Petr, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,5,
107,Prov. Apex Ques, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,9,
108,Prov. Apex Rest, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,9,
110,Prov. Apex Tran, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,9,
111,Prov. Boston Ke, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,8,
123,Prov. Computer, , ,,,,,13.10.1999 10:41,2000-10-12 10:41:19,9,
132,Prov. Driven Li, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,8,
141,Prov. Expert Ke, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,
156,Prov. Famous Pe, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,8,
159,Prov. Famous Sa, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,
166,Prov. Giant Pet, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,8,
168,Prov. Giant Res, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,5,
172,Prov. Humble Li, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,
187,Prov. Imperial, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,4,
192,Prov. Just Ligh, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,8,
201,Prov. Apex Key, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,
217,Prov. Boston Qu, , ,,,,,"13.10.1999 г., 10:41",12.10.2000 10:41,9,
221,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
245,Prov. Expert Op, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
250,Prov. Expert Tr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
257,Prov. Famous Qu, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
259,Prov. Famous Sa, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
299,Prov. Just Sail, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
302,Prov. Apex Ligh, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
311,Prov. Boston Ke, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,5,
318,Prov. Boston Re, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
327,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
329,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
345,Prov. Expert Op, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
350,Prov. Expert Tr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,6,
353,Prov. Famous Ma, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
358,Prov. Famous Re, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
359,Prov. Famous Sa, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
379,Prov. Humble Sa, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
386,Prov. Imperial, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
389,Prov. Imperial, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
392,Prov. Just Ligh, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
417,Prov. Boston Qu, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
424,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,4,
425,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
426,Prov. Computer, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
444,Prov. Expert Ne, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
446,Prov. Expert Pe, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,7,
460,Prov. Famous Tr, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,6,
462,Prov. Giant Lig, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
467,Prov. Giant Que, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
483,Prov. Imperial, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
490,Prov. Imperial, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,6,
491,Prov. Just Key, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,9,
493,Prov. Just Mach, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
499,Prov. Just Sail, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
500,Prov. Just Tran, , ,,,,,13.10.1999 10:41,12.10.2000 10:41,8,
