statusid,status
1,Да
2,Отменено
3,Авария
4,Авария
7,Передача
8,Клапан
11,Плюс один
12,+2 кругов
13,+3 кругов
17,+7 кругов
18,+8 кругов
19,+9 кругов
21,radатор
22,Приостановка
23,Бре́ки
26,Механический
28,Водительское сиденье
29,Пунктуация
30,Хи́бридный вали́
31,Выход на пенсию
32,Точное давление топлива
34,Водное давление
35,Заправка
37,Клапан
38,Управление
39,Технический
41,Расколотое крыло
44,Нефтяной утечки
47,Протечка воды
49,Стойка рулевая
50,17 вплёт
51,Давление в масляном кольце
55,Двенадцать кругов
60,Бесполезный
61,Шайба
62,Не классифицировано
63,Пнеуматики
64,Обработка
65,Задняя крыло
66,Пожар
67,Подшипник колеса
69,Система питания топлива
71,Пожарные платформы
72,Запусковая система
74,топлива
75,Потребительское общество
76,Вибрации
77,Правило 107-процента
78,Безопасность
80,Запуск
84,Батарея
85,Стопор
87,Карандаш
88,Десять кругов
90,Не перезапустил
91,Альтернативный генератор
92,Недовес
94,Нефтяной насос
95,Пожар на топливе
96,Исключен
97,Не прошли предварительный отбор
99,Дистрибьютор
100,Водитель не в порядке
101,Туранто
103,Водонагреватель
104,Серьезная авария
105,Спарки
106,Пищевая труба
109,Осе́ль
110,Водопроводная труба
111,+14 кругов
112,+15 кругов
113,+25 кругов
116,+16 кругов
117,24 Лапы
118,29 ласов
120,21 кругов
122,44 лэпов
123,30 лап
124,19 laps
125,+46 Лапсы
126,Суперкомпрессор
127,+20 кругов
128,+42 кругов
129,Неисправность двигателя
131,Двигательный узел
134,38 лап
135,Труба тормозная
