driverid,driverref,number,code,forename,surname,dob,nationality,url
4,Алонсо,14.0,Ало,Фернάντο,Алонсо,1981-07-29,Traducción: Español,Фернандо Алонсо Виейра де Кастро
6,Назима,,НЕДОСТАТОЧНО,Казуки,Накадзима,1985-01-11,Японский,Казуки Накаджима
10,Глок,,ГЛ,Тимо,Глок,1982-03-18,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Тимо Глок
13,массу,19.0,МАС,Фелипе,Мassa,1981-04-25,Бразилия,Филипе Масса
20,Веттель,5.0,вет,Себастьян,Феттель,1987-07-03,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Себастьян Феттель
47,Бауманн,,,Зсолт,Баумгартнер,1981-01-01,Угорский,Золт Баумгартнер
50,Верстаппен,,,Жозе,Вёртеман,1972-03-04,Нидерландский,Джо Зорф
56,Ирвин,,,Эди,Ирвин,1965-11-10,Британский,Эдди Ирвин
59,Бернолди,,,Энрике,Берноди,1978-10-19,Бразилия,Энрике Бернольди
75,Накано,,,Шинджи,Накано,1971-04-01,Японский,Шинджи Накано
80,сопири,,,Винченцо,Сопири,1966-10-07,Итальянский,Винченцо Соспири
85,монтерминини,,,Андреа,Монтерминни,1964-05-30,Итальянский,Андреа Монтемартини
88,Сузуки,,,Агури,Сузуки,1960-09-08,Японский,Агури Сузуки
108,Белондо,,,Пау́л,Белонго,1963-04-23,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Паль Белондо
115,Нода,,,Хидэаки,Нода,1969-03-07,Японский,Хидэки Нода
117,прости,,,Ален,Да,1955-02-24,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Alain Prost
120,Барбяза,,,Фабрицио,Барбазза,1963-04-02,Итальянский,Фабрицио Барбаза
132,амати,,,Джованна,Амати,1959-07-20,Итальянский,Джованна Аматти
139,Пирр,,,Эмануэле,Пирро,1962-01-12,Итальянский,Эмануэле Пирро
141,Бейли,,,Юлиан,Бейли,1961-10-09,Британский,Джулиан Байли
173,Ангелос,,,Элио,де Ангелис,1958-03-26,Итальянский,Элио де Анджелис
191,Тэквелл,,,Майк,Тэквел,1961-03-30,Новой Зеландией,Майк Тэктвелл
209,lees,,,Гэфф,Лейс,1951-05-01,Британский,Гэффри Лиес
219,Жабуло,,,Жан-Пьер,Жабуле,1942-10-01,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Жан-Пьер Жабуи
233,Привязаться,,,Ханс-Йоахим,Привязаться,1951-01-01,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Ханс-Йоахим Стукк
240,Оنگай,,,Дэнни,Онгай,1942-05-21,Американский,Дэни Ongais
276,Эванс,,,Боб,Эванс,1947-06-11,Британский,Боб Эванс
278,амон,,,Крис,Амон,1943-07-20,Новой Зеландией,Хрис Амон
294,бриза,,,Тони,Брис,1952-03-28,Британский,Тони Брис
297,пальма,,,Торстен,Пальма,1947-07-23,Шведский,Торстен Палм
308,Робертс,,,Ричард,Ро́бертс,1944-09-22,Британский,Ричард Робартс
318,Ярко,,,Бертиль,Роос,1943-10-12,Шведский,Бертиль Рёос
354,кустарь,,,Крис,Крафт,1939-11-17,Британский,Хрис Крафт
359,Гэвин,,,Джонни,Серво-Гавен,1942-01-18,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Джонни Сервоз-Гавин
371,Пожалуйста,,,Ал,Пожалуйста,1921-10-15,Канадский,Ал Пейс
382,Солана,,,Моисей,Солана,1935-12-26,Мексиканский,МоисÉс Солана
393,Том Джонс,,,Том,Джонс,1943-04-26,Американский,Том Джонс (авторазгонщик)
409,Блокдык,,,Тревор,Блокдик,1935-11-30,Южно-Африканская,Тревор Блочдик
430,Буфорт,,,Карел Годин,Дебуффо,1934-04-10,Нидерландский,Карел Годин де Боффур
434,остро,,,Хап,Крепкий,1928-01-01,Американский,Хап Шарп
441,Пэрнелл,,,Тим,Парнелл,1932-06-25,Британский,Тим Парнелл
445,Сифферт,,,Гюнтер,Сифферт,1937-10-18,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Гюнтер Зейферт
453,Льюис,,,Джекки,Лев,1936-11-01,Британский,Джекки Льюис
473,Хокинг,,,Гарри,Хокинг,1937-09-30,Родезийский,Гарри Хочкин
483,Скарлатти,,,Георгий,Скарлатти,1921-10-02,Итальянский,Джоржо Скарлатти
488,Монтеверди,,,Питер,Монтевердэ,1934-06-07,Швейцария,Пьетро Монтевerdi
519,домойер,,,Билл,Домейер,1918-08-31,Американский,Билл Хоумьер
543,кабинет,,,Юлий,Кабинца,1923-02-19,Итальянский,Джулио Кабианка
559,Флэхерти,,,Пэт,Флетчер,1926-01-06,Американский,Пат Флаттерхи
574,Константин,,,Джордж,Константин,1918-02-22,Американский,Джордж Константин
576,каде,,,Фил,Кейд,1916-06-12,Американский,"Филип ""Фил"" Кэйд (родился 23 мая 1942 года) — бывший американский футболист, играющий на позиции ресивера в американском футболе. Он провел всю свою карьеру в Национальной футбольной лиге за команду «Нью-Ингленд Пэтриотс». Кэйд был включен в Зал славы профессионального футбола в 1995 году."
578,чернечник,,,Майк,Хвойная смола,1929-04-10,Британский,Майк Хавьорт
597,Кэнор,,,Пэт,О'Коннор,1928-10-09,Американский,"Пат О'Коннор (род. 19 декабря 1935 года) — американский гонщик, выступавший в гонках «индикар». В 1960-х и 1970-х годах он участвовал в таких престижных соревнованиях, как «Индианаполис 500» и «Милуоки 100», а также одержал одну победу на Гран-при в Спокане."
609,Симон,,,Андрей,Симон,1920-01-05,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Андре Саймон
631,Андрюсы,,,Китх,Эндрюс,1920-06-15,Американский,Кит Андервуд
669,Пиво,,,Принц,Пиво,1914-07-15,Тхай,Принц Бира
671,лёйер,,,Роджер,Лойер,1907-08-05,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Роже Лояр
677,Вебб,,,Трейвис,Вебб,1910-10-08,Американский,Трейвис Вебб
678,Дункан,,,Лен,Дункан,1911-07-25,Американский,Лен Дункэн
682,Бео-ман,,,Дон,Бэуман,1928-07-26,Британский,Дон Бэуман
687,Уайтхед,,,Питер,Уайтхед,1914-11-12,Британский,Питер Уайтхед
691,Английский,,,Герман,Язык,1909-04-06,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.","Герман Ланг (31 мая 1895, Мюнхен — 2 июня 1970, Мюнхен) — немецкий врач и ортопед, один из пионеров современной ортопедии и протезирования."
711,Карч,,,Озальд,Карч,1917-03-06,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Освальд Карч
719,Шерер,,,Альберт,Шерер,1908-02-28,Швейцария,Альберт Шерер
742,Поре,,,Деннис,Пуор,1916-08-19,Британский,Деннис Поур
749,астон,,,Билл,Астон,1900-03-29,Британский,Билл Астон
778,шоу-тайлор,,,Брайан,Шейв Тейлор,1915-01-28,Британский,Брайан Шаве Тейлор
784,Хэмспшир,,,Дэвид,Гэмпшир,1917-12-29,Британский,Дэвид Хэмпшир
787,Гаррисон,,,Кут,Гаррисон,1906-07-06,Британский,Кут Харрисон
801,Поззи,,,Чарльз,Поззи,1909-08-27,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Чарльз Поззи
836,Вайхлер,94.0,ВЭХ,Пассаль,Вейхлеин,1994-10-18,"Я не могу переводить на немецкий, потому что я настроен только на английский и русский языки.",Паскаль Вейрхен
839,Окон,31.0,ОКО,Эстебан,Окон,1996-09-17,"Извините, но я не говорю по-французски. Я могу перевести текст только с английского на русский.",Эстебан Окон
