playerid,usefirst,firstname,middlename,lastname,namegiven,fullgivenname,namesuffix,namenick,pos,firstseason,lastseason,height,weight,college,collegeother,birthdate,birthcity,birthstate,birthcountry,highschool,hscity,hsstate,hscountry,deathdate,race
abdulka01,Карим,Карим,,Абдул-Джаббар,,Фердинанд Льюис Алсиндор младший.,,"Лью, кэп",C,0,0,85.0,225,ОАКЛА,,1947-04-16,Нью-Йорк,Нью-Йорк,США,Мемориал &lt; &lt; Пауэр мемориал &gt; &gt;,Нью-Йорк,Нью-Йорк,США,0000-00-00,B
abdursh01,Ареф,Юлий,Shareef,Абдур-Рахим,,,,"Ареф, риф",F,0,0,81.0,225,Калифорния,,1976-12-11,Мариетта,GA,США,Уиллер,Мариетта,GA,США,0000-00-00,B
adamsal01,Альван,Альван,Leigh,Адамс,,,,"Двойной А, Кид Оклахомы",С-Ф,0,0,81.0,210,Оклахома,,1954-07-19,Лоуренс,KS,США,Город Путнам,Город Путнам,Хорошо.,США,0000-00-00,W
adamsmi01,Майкл,Майкл,,Адамс,,,,,G,0,0,70.0,162,Бостонский колледж,,1963-01-19,Хартфорд,КТ,США,Hartford Public ( &lt; &lt; Общественность Хартфорда &gt; &gt; ),Хартфорд,КТ,США,0000-00-00,B
aguirma01,Марк,Марк,Anthony,Агирр,,,,,Ф-Г,0,0,78.0,232,Де Поль,,1959-12-10,Чикаго,Ил,США,Остин/Вестингхаус Вок.,Чикаго,Ил,США,0000-00-00,B
aingeda01,Дэнни,Дэниел,Ray,Ainge,,,,Дэнни,G-F,0,0,76.0,175,Бригам Янг,,1959-03-17,Юджин,ИЛИ,США,Северный Юджин,Северный Юджин,ИЛИ,США,0000-00-00,W
allenra02,Рэй,Уолтер,Ray,Аллен,,,,Рэй,G,0,0,77.0,205,Коннектикут,,1975-07-20,Мерсед,КА,США,Хиллкрест,Дальцелл,ПК,США,0000-00-00,B
anderke01,Кенни,Кеннет,,Андерсон,,,,Кенни,G,0,0,72.0,168,Джорджия Технология,,1970-10-09,Корона,Нью-Йорк,США,Архиепископ Моллой,Бриарвуд,Нью-Йорк,США,0000-00-00,B
anthoca01,Кармело,Кармело,Kyam,Энтони,,,,Мело,F,0,0,80.0,220,Сиракуз,,1984-05-29,Бруклин,Нью-Йорк,США,Католическая академия &quot; Тоусон &quot; / &quot; Ок Хилл академика &quot;,Тоусон / Маус Уилсона,MD/VA,США,0000-00-00,B
archina01,Нейт,Натаниэль,,Арчибальд,,,,"Нейт, маленький",G,0,0,73.0,150,UTEP,&lt; &lt; Аризона &gt; &gt;,1948-09-02,Нью-Йорк,Нью-Йорк,США,ДеВитт Клинтон,Бронкс,Нью-Йорк,США,0000-00-00,B
arenagi01,Гилберт,Гилберт,Jay,Арена,,,,Агент Зеро,G,0,0,75.0,191,Аризона,,1982-01-06,Тампа,ФЛ,США,Грант,Ван-Найс,КА,США,0000-00-00,B
arizipa01,Пол,Пол,Joseph,Аризин,,,,Пичкает Полом,Ф-Г,0,0,74.0,190,Вильянова,,1928-04-09,Филадельфия,ПА,США,ЛаСалле (ДНП),Филадельфия,ПА,США,2006-12-12,W
armstbj01,Би Джей.,Бенджамин,Roy,Армстронг,,,Младший.,"Би Джей, ""Кид""",G,0,0,74.0,175,Айова,,1967-09-09,Детройт,МИ,США,Брат Райс,Бирмингем,МИ,США,0000-00-00,B
artesro01,Метта,Метта,,Мир во всем мире,,Рональд Уильям Артест,,Рон,G-F,0,0,78.0,244,Сент-Джонс (НЙ),,1979-11-13,Квинсбридж,Нью-Йорк,США,Академия &lt; &lt; ЛаСалле &gt; &gt;,Нью-Йорк,Нью-Йорк,США,0000-00-00,B
bakervi01,Вин,Винсент,Lamont,Бейкер,,,,Вин,F,0,0,82.5,232,Хартфорд,,1971-11-23,озеро Уэльс,ФЛ,США,Старый Сайбрук,Старый Сайбрук,КТ,США,0000-00-00,B
barklch01,Чарльз,Чарльз,Wade,Баркли,,,,"Сэр Чарльз, Чак, Чак, Чакстер.",F,0,0,77.0,250,Оберн,,1963-02-20,Лидс,AL,США,Лидс,Лидс,AL,США,0000-00-00,B
barksdo01,Дон,Дональд,Argee,Барксдейл,,,,,Ф-С,0,0,78.0,200,ОАКЛА,Мэрин Дж.К.,1923-03-31,Окленд,КА,США,Беркли,Беркли,КА,США,1993-03-08,B
barnedi01,Дик,Ричард,,Барнетт,,,,"Дик, Череп, Падай назад, детка",G-F,0,0,76.0,190,Теннессийский штат,,1936-10-02,Гэри,ВНУТРЕННИЕ,США,Рузвельт,Гэри,ВНУТРЕННИЕ,США,0000-00-00,B
barnema01,Марвин,Марвин,Jerome,Барнс,,,,"Хорошие новости, Великолепные",Ф-С,0,0,80.0,210,Провидение,,1952-07-27,Провидение,РИ,США,Центральный,Провидение,РИ,США,0000-00-00,B
barnhle01,Лео,Лео,A.,Барнхорст,,,,Барни,Ф-Г,0,0,76.0,190,Нотр-Дам,,1924-05-17,Бич Гроув,ВНУТРЕННИЕ,США,Собор,Индианаполис,ВНУТРЕННИЕ,США,2000-08-25,W
barroda01,Дана,Дана,Bruce,Баррос,,,,,G,0,0,71.0,163,Бостонский колледж,,1967-04-13,Бостон,МЭТ,США,Ксавериан,Вествуд,МЭТ,США,0000-00-00,B
barryri01,Рик,Ричард,Francis  Dennis,Барри,,,III,Рик,F,0,0,79.0,205,Майами (ФЛ),,1944-03-28,Элизабет,NJ,США,Парк Розель,Парк Розель,NJ,США,0000-00-00,W
bayloel01,Элгин,Элгин,Gay,Бэйлор,,,,Кролик,F,0,0,77.0,225,Сиэтл,Колледж Айдахо,1934-09-16,Вашингтон,РС,США,Спингарн/Фелпс,Вашингтон,РС,США,0000-00-00,B
beardbu01,Бутч,Альфред,,Борода,,,Младший.,Бутч,G,0,0,75.0,185,Луисвилль,,1947-05-04,Хардинсбург,KY,США,Округ Брекенридж,Хардинсбург,KY,США,0000-00-00,B
