id,year,coachid,award,lgid,note
2,1963,hannual01,НБА Тренер года,NBA,
3,1964,auerbre01,НБА Тренер года,NBA,
4,1965,schaydo01,НБА Тренер года,NBA,
5,1966,kerrjo01,НБА Тренер года,NBA,
6,1967,cazzevi01,АБА Тренер года,ABA,
7,1967,gueriri01,НБА Тренер года,NBA,
8,1968,hannual01,АБА Тренер года,ABA,
13,1970,biancal01,АБА Тренер года,ABA,
15,1971,nissato01,АБА Тренер года,ABA,
20,1973,mullajo01,АБА Тренер года,ABA,галстук
21,1973,scottra01,НБА Тренер года,NBA,
22,1974,brownla01,АБА Тренер года,ABA,
23,1974,johnsph01,НБА Тренер года,NBA,
24,1975,brownla01,АБА Тренер года,ABA,
25,1975,fitchbi01,НБА Тренер года,NBA,
26,1976,nissato01,НБА Тренер года,NBA,
30,1980,mckinja01,НБА Тренер года,NBA,
31,1981,shuege01,НБА Тренер года,NBA,
32,1982,nelsodo01,НБА Тренер года,NBA,
33,1983,laydefr01,НБА Тренер года,NBA,
34,1984,nelsodo01,НБА Тренер года,NBA,
35,1985,fratemi01,НБА Тренер года,NBA,
36,1986,schulmi01,НБА Тренер года,NBA,
37,1987,moedo01,НБА Тренер года,NBA,
38,1988,fitzsco01,НБА Тренер года,NBA,
39,1989,rileypa01,НБА Тренер года,NBA,
40,1990,chanedo01,НБА Тренер года,NBA,
42,1992,rileypa01,НБА Тренер года,NBA,
45,1995,jacksph01,НБА Тренер года,NBA,
46,1996,rileypa01,НБА Тренер года,NBA,
47,1997,birdla01,НБА Тренер года,NBA,
49,1999,riverdo01,НБА Тренер года,NBA,
50,2000,brownla01,НБА Тренер года,NBA,
51,2001,carliri01,НБА Тренер года,NBA,
52,2002,popovgr01,НБА Тренер года,NBA,
54,2004,dantomi01,НБА Тренер года,NBA,
55,2005,johnsav01,НБА Тренер года,NBA,
56,2006,mitchsa01,НБА Тренер года,NBA,
57,2007,scottby01,НБА Тренер года,NBA,
58,2008,brownmi02,НБА Тренер года,NBA,
61,2011,popovgr01,НБА Тренер года,NBA,
