year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1973,ABA,SAA,SAS,,WD,3,0,DS,San Antonio Spurs,3343,7347,1462,1878,51,241,1236,2645,3881,1808,2197,600,1326,225,8199,3149,6964,1721,107,372,2268,1054,2557,3611,1764,1970,601,1383,409,8126,0,0,27,15,18,24,0,0,0,0,24,20,0,45,39,84,20360.0,HemisFair Arena,32767,SAN
1980,NBA,DAL,DAL,WC,MW,6,12,,Dallas Mavericks,3204,6928,1868,2487,46,165,1109,2177,3286,1984,2008,561,1439,214,8322,3622,7060,1731,36,137,2297,1173,2498,3671,2098,2187,713,1433,480,9011,0,0,11,30,4,37,0,0,12,48,5,25,0,15,67,82,19780.0,Reunion Arena,32767,DAL
1988,NBA,MIL,MIL,EC,CD,4,5,CS,Milwaukee Bucks,3399,7167,1955,2382,179,567,1133,2272,3405,2071,1953,821,1305,323,8932,3301,6901,1838,196,533,2369,1094,2335,3429,2109,1935,707,1522,425,8636,0,0,31,10,18,23,0,0,29,27,11,19,0,49,33,82,19755.0,Bradley Center,32767,MIL
2007,NBA,HOU,HOU,WC,SW,3,5,C1,Houston Rockets,3003,6698,1342,1848,583,1707,1002,2659,3661,1757,1609,598,1071,420,7931,2852,6594,1410,433,1186,1912,894,2441,3335,1548,1615,622,1061,379,7547,0,0,31,10,24,17,0,0,33,19,8,8,92,55,27,82,19730.0,Toyota Center,32767,
1987,NBA,SAS,SAS,WC,MW,5,8,C1,San Antonio Spurs,3706,7559,1769,2412,133,412,1184,2335,3519,2344,1991,739,1418,468,9314,3851,7678,1855,157,450,2390,1292,2513,3805,2470,1969,690,1427,537,9714,0,0,23,18,8,33,0,0,25,35,12,18,0,31,51,82,19805.0,HemisFair Arena,32767,SAN
1979,NBA,UTA,UTA,WC,MW,5,11,,Utah Jazz,3382,6817,1571,1943,59,185,967,2359,3326,2005,2006,656,1543,362,8394,3559,7182,1702,67,211,2205,1159,2288,3447,1997,1782,710,1274,398,8887,0,0,17,24,7,34,0,0,17,43,9,15,0,24,58,82,19805.0,Salt Palace,32767,UTA
2005,NBA,MIN,MIN,WC,NW,4,14,,Minnesota Timberwolves,2888,6340,1436,1895,310,942,811,2422,3233,1716,1889,559,1189,471,7522,2852,6474,1525,447,1229,2072,974,2411,3385,1554,1736,539,1139,374,7676,0,0,24,17,9,32,0,0,20,32,6,10,0,33,49,82,19855.0,Target Center,32767,MIN
2004,NBA,CHA,CHA,EC,SE,4,14,,Charlotte Bobcats,2961,6859,1487,2096,320,881,1083,2335,3418,1794,1894,695,1192,440,7729,3015,6507,1748,442,1224,2279,959,2586,3545,1768,1858,624,1297,446,8220,0,0,14,27,4,37,0,0,11,41,7,9,0,18,64,82,19880.0,Charlotte Coliseum,32767,CHB
1941,NBL,CHB,CHF,,,6,0,,Chicago Bruins,340,0,198,0,0,0,0,0,0,0,0,0,0,0,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,4,6,3,8,0,0,0,0,0,0,0,8,15,23,,,0,CHB
2000,NBA,CHH,NOH,EC,CD,3,6,CS,Charlotte Hornets,2800,6501,1599,2146,340,984,1033,2608,3641,1900,1753,665,1183,455,7539,2767,6501,1444,389,1081,1910,892,2436,3328,1748,1768,616,1204,375,7367,0,0,28,13,18,23,0,0,37,17,20,8,0,46,36,82,19880.0,Charlotte Coliseum,32767,CHA
1997,NBA,IND,IND,EC,CD,2,3,CF,Indiana Pacers,2921,6223,1631,2136,401,1029,874,2348,3222,1889,1859,645,1168,368,7874,2788,6451,1525,274,867,2096,1114,2254,3368,1591,1847,644,1237,366,7375,0,0,32,9,26,15,0,0,41,13,19,9,0,58,24,82,19830.0,Market Square Arena,32767,IND
1986,NBA,CHI,CHI,EC,CD,5,8,C1,Chicago Bulls,3382,7155,1754,2254,78,299,1248,2400,3648,2143,1922,677,1257,438,8596,3337,6910,1734,115,337,2255,1027,2317,3344,2028,1844,583,1269,492,8523,0,0,29,12,11,30,0,0,30,28,17,12,0,40,42,82,19830.0,Chicago Stadium,32767,CHI
1962,ABL1,PGR,PGR,,,3,0,,Pittsburgh Rens,860,2026,528,701,37,119,0,0,1200,325,721,0,0,0,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,47,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22,5280.0,Pittsburgh Civic Arena,0,
1939,NBL,DTE,DTE,,EA,2,0,CF,Detroit Eagles,389,0,296,0,0,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,12,2,5,8,0,0,0,0,0,0,0,17,10,27,,,0,DTE
1963,NBA,LAL,LAL,,WD,3,0,DS,Los Angeles Lakers,3272,7438,2230,2910,0,0,0,0,5025,1676,1997,0,0,0,8774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8692,629,0,24,12,15,21,3,5,0,0,24,22,0,42,38,80,19275.0,Los Angeles Memorial Sports Arena,32767,LAL
2006,NBA,GSW,GSW,WC,PC,2,8,CS,Golden State Warriors,3261,7048,1515,2113,700,1966,941,2455,3396,1950,1933,750,1309,466,8737,3171,6870,1814,609,1664,2419,1074,2733,3807,2023,1832,680,1525,399,8765,0,0,30,11,12,29,0,0,28,24,6,10,0,42,40,82,19755.0,Oracle Arena,32767,
2003,NBA,ATL,ATL,EC,CD,7,12,,Atlanta Hawks,2829,6529,1534,1976,419,1249,996,2507,3503,1648,1826,627,1350,408,7611,2968,6740,1574,482,1345,2072,1048,2485,3533,1803,1699,731,1151,416,7992,0,0,18,23,10,31,0,0,19,35,10,18,0,28,54,82,19905.0,Philips Arena,32767,ATL
2009,NBA,IND,IND,EC,CD,4,0,,Indiana Pacers,3020,6823,1564,2019,659,1896,785,2618,3403,1730,1848,585,1232,439,8263,3113,6875,1774,510,1405,2346,969,2852,3821,1694,1709,654,1227,414,8510,0,0,0,0,0,0,0,0,0,0,0,0,99,32,50,0,,,0,
1967,ABA,NOB,MMS,,WD,1,0,F,New Orleans Buccaneers,3207,7521,2245,3000,53,220,0,0,4453,1355,1839,0,1416,0,8712,3144,7784,1951,95,341,2699,0,0,4328,1084,2043,0,1372,0,8334,0,0,23,6,14,20,11,4,0,0,34,14,0,48,30,78,18820.0,Loyola Field House,0,NOB
1978,NBA,CLE,CLE,EC,CD,4,9,,Cleveland Cavaliers,3556,7602,1620,2103,0,0,1229,2256,3485,1796,2027,688,1376,334,8732,3600,7150,1837,0,0,2423,1123,2587,3710,2062,2001,658,1557,503,9037,0,0,20,21,10,31,0,0,15,25,6,14,0,30,52,82,19680.0,Coliseum at Richfield,32767,CLE
1974,ABA,UTS,UTS,,WD,4,0,DS,Utah Stars,3375,7136,1665,2162,94,300,1274,2698,3972,1774,1921,593,1668,373,8509,3503,7611,1549,90,360,2027,1338,2438,3776,1849,2029,783,1295,360,8645,0,0,29,13,9,33,0,0,0,0,18,26,0,38,46,84,20260.0,Salt Palace,0,UTS
1978,NBA,GSW,GSW,WC,PC,6,9,,Golden State Warriors,3627,7453,1367,1872,0,0,1169,2513,3682,2064,2023,774,1500,420,8621,3493,7255,1604,0,0,2155,1147,2533,3680,2094,1854,637,1580,362,8590,0,0,23,18,15,26,0,0,15,25,8,12,0,38,44,82,19780.0,Oakland-Alameda County Coliseum Arena,32767,GSW
1982,NBA,DAL,DAL,WC,MW,4,8,,Dallas Mavericks,3674,7550,1852,2462,43,185,1296,2381,3677,2227,2067,552,1348,348,9243,3758,7481,1708,53,202,2347,1217,2433,3650,2291,2227,607,1383,562,9277,0,0,23,18,15,26,0,0,32,28,15,15,0,38,44,82,19730.0,Reunion Arena,32767,DAL
1970,NBA,ATL,ATL,EC,CD,2,4,CS,Atlanta Hawks,3614,7779,2120,2975,0,0,0,0,4472,1906,1958,0,0,0,9348,3801,8525,1893,0,0,2515,0,0,4279,1996,2074,0,0,0,9495,0,0,21,20,14,26,1,0,21,17,9,7,0,36,46,82,19755.0,Alexander Memorial Coliseum,32767,ATL
1942,NBL,OSH,OSH,,,3,0,CS,Oshkosh All-Stars,366,0,289,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,7,5,4,7,0,0,0,0,0,0,0,11,12,23,,,0,OSH
1989,NBA,WSB,WAS,EC,AT,4,10,,Washington Bullets,3598,7581,1599,2093,37,197,1198,2450,3648,2214,1929,561,1201,424,8832,3511,7403,1845,142,474,2376,1198,2503,3701,1952,1780,644,1200,430,9009,0,0,20,21,11,30,0,0,20,34,10,16,0,31,51,82,19830.0,Capital Centre,32767,WAS
1973,ABA,CAR,SSL,,ED,3,0,DS,Carolina Cougars,3714,7659,1825,2447,25,140,1362,2465,3827,2027,2275,1005,1644,317,9278,3557,7529,1787,86,334,2338,1363,2514,3877,1811,2110,752,1829,424,8987,0,0,29,13,18,24,0,0,0,0,29,15,0,47,37,84,20360.0,Greensboro Coliseum,0,CAR
1948,NBL,DAY,DAY,,EA,4,0,,Dayton Rens,857,0,553,900,0,0,0,0,0,0,0,0,0,0,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,0,0,4,5,9,18,1,3,0,0,0,0,0,14,26,40,,,0,DAY
1942,NBL,CHF,CHF,,,4,0,CS,Chicago Studebaker Flyers,407,0,295,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,5,6,3,9,0,0,0,0,0,0,0,8,15,23,,,0,CHF
1980,NBA,DET,DET,EC,CD,6,11,,Detroit Pistons,3236,6986,1689,2330,13,84,1201,2111,3312,1819,2125,884,1759,492,8174,3499,6869,1663,31,127,2217,1090,2396,3486,2033,2095,793,1797,585,8692,0,0,14,27,7,34,0,0,16,42,9,21,0,21,61,82,19755.0,Pontiac Silverdome,32767,DET
1972,NBA,LAL,LAL,WC,PC,1,2,F,Los Angeles Lakers,3740,7819,1679,2264,0,0,0,0,4562,2302,1636,0,0,0,9159,3646,8409,1167,0,0,1583,0,0,4101,1963,1941,0,0,0,8459,0,0,30,11,28,11,2,0,40,10,22,4,0,60,22,82,19755.0,The Forum,32767,LAL
1961,ABL1,WNY,PHT,,EA,4,0,CF,Washington/New York Tapers,2945,7515,2172,2955,154,537,0,0,3868,1157,2079,0,0,0,8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8571,141,0,0,0,0,0,0,0,0,0,0,0,0,31,50,81,19490.0,Washington Coliseum/Long Island Arena,0,
1947,PBLA,OKD,OKD,,SO,6,0,,Oklahoma City Drillers,79,0,58,93,0,0,0,0,0,0,91,0,0,0,216,80,0,64,108,0,0,0,0,0,0,71,0,0,0,224,0,0,1,1,1,1,0,1,0,0,0,0,0,2,3,5,,Municipal Auditorium,0,
1989,NBA,LAL,LAL,WC,PC,1,1,CS,Los Angeles Lakers,3434,7010,1902,2417,309,841,1097,2460,3557,2232,1737,655,1226,445,9079,3382,7247,1584,175,519,2111,1131,2243,3374,2009,1909,669,1200,426,8523,0,0,37,4,26,15,0,0,44,12,22,6,0,63,19,82,19855.0,Great Western Forum,32767,LAL
1992,NBA,UTA,UTA,WC,MW,3,6,C1,Utah Jazz,3336,6828,1907,2491,130,414,1041,2463,3504,2177,1965,746,1270,344,8709,3258,6970,1743,272,836,2343,1120,2314,3434,1928,1970,648,1291,468,8531,0,0,28,13,19,22,0,0,29,25,16,10,0,47,35,82,19755.0,Delta Center,32767,UTA
2004,NBA,WAS,WAS,EC,SE,2,5,CS,Washington Wizards,2966,6794,1795,2476,514,1498,1133,2374,3507,1563,1807,716,1172,347,8241,3099,6748,1549,521,1432,2034,1017,2510,3527,1885,1995,586,1306,412,8268,0,0,29,12,16,25,0,0,28,24,10,6,0,45,37,82,19780.0,MCI Center,32767,WSW
1962,ABL1,OAO,OAO,,,4,0,,Oakland Oaks,973,2337,522,729,36,126,0,0,1477,457,650,0,0,0,2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581,58,0,0,0,0,0,0,0,0,0,0,0,0,11,14,25,6000.0,Oakland Auditorium,0,
1985,NBA,LAC,LAC,WC,PC,3,10,,Los Angeles Clippers,3388,7165,2067,2683,64,229,1159,2258,3417,1968,1931,694,1506,501,8907,3849,7588,1704,73,261,2280,1268,2458,3726,2469,2113,760,1396,457,9475,0,0,22,19,10,31,0,0,25,35,10,20,0,32,50,82,19755.0,Los Angeles Memorial Sports Arena,32767,LAC
1991,NBA,CLE,CLE,EC,CD,2,3,CF,Cleveland Cavaliers,3427,7025,1819,2259,253,708,1041,2450,3491,2260,1556,616,1073,621,8926,3496,7435,1294,193,581,1683,1236,2376,3612,2156,1874,649,1150,417,8479,0,0,35,6,22,19,0,0,42,14,21,7,0,57,25,82,19805.0,Coliseum at Richfield,32767,CLE
1970,NBA,MIL,MIL,WC,MW,1,1,F,Milwaukee Bucks,3972,7803,1766,2379,0,0,0,0,4344,2249,1847,0,0,0,9710,3489,8224,1727,0,0,2322,0,0,4004,1923,1770,0,0,0,8705,0,0,34,2,28,13,4,1,36,8,14,4,0,66,16,82,19780.0,Milwaukee Arena,32767,MIL
2009,NBA,MEM,MEM,WC,SW,4,0,,Memphis Grizzlies,3223,6875,1614,2202,344,1020,1070,2496,3566,1543,1655,645,1248,399,8404,3277,6849,1402,572,1618,1858,907,2349,3256,1875,1840,635,1165,501,8528,0,0,0,0,0,0,0,0,0,0,0,0,96,40,42,0,,,0,
1971,ABA,DLC,SAS,,WD,3,0,DS,Dallas Chaparrals,3362,7502,1943,2498,103,307,1331,2660,3991,1486,2315,0,1216,0,8770,3267,7255,2105,121,426,2781,1347,2761,4108,1631,2087,0,1454,0,8760,0,0,25,15,15,25,2,2,0,0,25,23,0,42,42,84,20410.0,Moody Coliseum,32767,DLC
1995,NBA,DAL,DAL,WC,MW,5,13,,Dallas Mavericks,3124,7431,1426,1975,735,2039,1408,2379,3787,1913,1836,642,1270,342,8409,3403,6921,1535,470,1193,2097,1087,2726,3813,1978,1841,702,1348,531,8811,0,0,16,25,10,31,0,0,19,33,10,14,0,26,56,82,19930.0,Reunion Arena,32767,DAL
2005,NBA,DAL,DAL,WC,SW,2,4,F,Dallas Mavericks,2948,6375,1818,2322,416,1113,1030,2431,3461,1473,1834,593,1112,488,8130,2801,6319,1626,404,1120,2163,935,2209,3144,1433,1958,536,1151,400,7632,0,0,34,7,26,15,0,0,37,15,13,3,0,60,22,82,19880.0,American Airlines Center,32767,DAL
1955,NBA,FTW,DET,,WD,1,0,F,Fort Wayne Pistons,2396,6174,2002,2729,0,0,0,0,3974,1752,1789,0,0,0,6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6743,346,0,19,8,10,17,8,10,0,0,19,17,0,37,35,72,17430.0,War Memorial Coliseum,32767,FWP
1995,NBA,MIN,MIN,WC,MW,5,12,,Minnesota Timberwolves,2974,6481,1797,2314,279,857,985,2271,3256,1867,1994,650,1426,481,8024,3086,6586,1761,530,1393,2368,1036,2317,3353,1966,1940,725,1343,498,8463,0,0,17,24,9,32,0,0,17,35,10,14,0,26,56,82,19780.0,Target Center,32767,MIN
1960,NBA,DET,DET,,WD,3,0,DS,Detroit Pistons,3481,8357,2408,3240,0,0,0,0,5813,1866,2157,0,0,0,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9558,910,0,20,11,3,19,11,15,0,0,18,21,0,34,45,79,19035.0,Detroit Olympia,32767,DET
2003,NBA,WAS,WAS,EC,AT,6,13,,Washington Wizards,2758,6556,1579,2211,433,1269,1115,2392,3507,1537,1712,733,1439,406,7528,3061,6740,1444,424,1238,1874,1048,2520,3568,1966,1783,786,1321,448,7990,0,0,17,24,8,33,0,0,16,38,3,21,0,25,57,82,19830.0,MCI Center,32767,WSW
1947,PBLA,BIR,BIR,,SO,3,0,,Birmingham Skyhawks,139,0,110,172,0,0,0,0,0,0,115,0,0,0,388,139,0,80,130,0,0,0,0,0,0,146,0,0,0,358,0,0,5,0,0,2,0,0,0,0,0,0,0,5,2,7,,Municipal Auditorium,0,
1939,NBL,INK,INJ,,EA,4,0,,Indianapolis Kautskys,431,0,301,0,0,0,0,0,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,6,8,3,11,0,0,0,0,0,0,0,9,19,28,,,0,INK
2001,NBA,BOS,BOS,EC,AT,2,3,CF,Boston Celtics,2852,6731,1498,1960,699,1946,891,2570,3461,1722,1776,793,1114,292,7901,2797,6579,1612,514,1511,2091,954,2806,3760,1802,1734,623,1335,476,7720,0,0,27,14,22,19,0,0,35,19,17,7,0,49,33,82,19830.0,FleetCenter,32767,BOS
1946,NBA,CLR,CLR,,WD,3,0,R1,Cleveland Rebels,1674,5699,903,1428,0,0,0,0,0,494,1246,0,0,0,4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,0,0,17,13,13,17,0,0,0,0,10,14,0,30,30,60,14600.0,Cleveland Arena,0,CLR
1991,NBA,IND,IND,EC,CD,4,7,C1,Indiana Pacers,3498,7079,1868,2364,333,940,1083,2564,3647,2398,2137,705,1402,393,9197,3425,7312,1976,216,640,2627,1241,2325,3566,2165,1984,816,1247,386,9042,0,0,26,15,14,27,0,0,27,29,13,15,0,40,42,82,19955.0,Market Square Arena,32767,IND
1979,NBA,LAL,LAL,WC,PC,1,1,NC,Los Angeles Lakers,3898,7368,1622,2092,20,100,1085,2653,3738,2413,1784,774,1639,546,9438,3723,7921,1430,78,274,1884,1312,2242,3554,2324,1860,797,1420,382,8954,0,0,37,4,23,18,0,0,42,18,19,11,0,60,22,82,19880.0,The Forum,32767,LAL
1953,NBA,MNL,LAL,,WD,1,0,NC,Minneapolis Lakers,2184,5803,1512,2067,0,0,0,0,3752,1323,1918,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5660,298,0,21,4,13,15,12,7,0,0,19,13,0,46,26,72,17405.0,Minneapolis Auditorium,0,MNL
1991,NBA,DAL,DAL,WC,MW,5,12,,Dallas Mavericks,3120,7104,1499,1999,268,797,1194,2439,3633,1630,1867,536,1202,349,8007,3314,7051,1823,183,599,2368,1157,2631,3788,1936,1735,723,1054,456,8634,0,0,15,26,7,34,0,0,15,39,11,15,0,22,60,82,19755.0,Reunion Arena,32767,DAL
1986,NBA,SAS,SAS,WC,MW,6,11,,San Antonio Spurs,3532,7456,1701,2292,117,403,1285,2347,3632,2220,1930,786,1406,325,8882,3704,7310,1786,106,379,2364,1100,2461,3561,2375,1844,699,1417,463,9300,0,0,21,20,7,34,0,0,20,40,9,21,0,28,54,82,19805.0,HemisFair Arena,32767,SAN
1999,NBA,ATL,ATL,EC,CD,7,14,,Atlanta Hawks,3000,6807,1477,1987,258,814,1146,2570,3716,1548,1718,500,1266,461,7735,3211,7060,1381,373,1015,1796,1052,2474,3526,1886,1830,655,1001,404,8176,0,0,21,20,7,34,0,0,20,34,11,17,0,28,54,82,19830.0,Philips Arena,32767,ATL
1953,NBA,ROC,SAC,,WD,2,0,DF,Rochester Royals,2010,5451,1722,2518,0,0,0,0,3494,1454,1904,0,0,0,5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5567,194,0,18,10,12,15,14,3,0,0,22,10,0,44,28,72,17505.0,Edgerton Park Arena,32767,ROC
2008,NBA,MEM,MEM,WC,SW,5,12,,Memphis Grizzlies,2865,6311,1570,2077,398,1106,847,2337,3184,1423,1777,615,1252,385,7698,3018,6378,1574,536,1510,2043,842,2431,3273,1735,1786,632,1194,443,8146,0,0,16,25,8,33,0,0,14,38,5,11,92,24,58,82,19805.0,FedExForum,32767,
1983,NBA,WSB,WAS,EC,AT,5,8,C1,Washington Bullets,3344,6907,1664,2201,71,282,1027,2387,3414,2192,1989,556,1448,320,8423,3465,7086,1693,37,172,2218,1037,2381,3418,2038,2021,706,1277,492,8660,0,0,25,16,10,31,0,0,23,35,8,16,0,35,47,82,19905.0,Capital Centre,32767,WAS
1979,NBA,BOS,BOS,EC,AT,1,1,CF,Boston Celtics,3617,7387,1907,2449,162,422,1227,2457,3684,2198,1974,809,1539,308,9303,3439,7313,1712,74,259,2222,1168,2294,3462,1867,2059,686,1635,419,8664,0,0,35,6,26,15,0,0,45,15,17,7,0,61,21,82,19880.0,Boston Garden,32767,BOS
1992,NBA,DET,DET,EC,CD,6,10,,Detroit Pistons,3267,7211,1426,1957,292,908,1293,2315,3608,1941,1747,580,1152,249,8252,3321,6906,1463,261,769,1987,1099,2442,3541,2048,1804,623,1219,363,8366,0,0,28,13,12,29,0,0,31,25,12,16,0,40,42,82,19780.0,The Palace of Auburn Hills,32767,DET
1945,NBL,SHE,SHE,,WE,1,0,LC,Sheboygan Redskins,656,0,423,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,0,0,12,6,9,7,0,0,0,0,0,0,0,21,13,34,,,0,SHE
1973,NBA,PHI,PHI,EC,AT,4,8,,Philadelphia 76ers,3331,7702,1633,2118,0,0,1182,2626,3808,1799,1964,756,1665,220,8295,3600,7685,1617,0,0,2066,1311,3107,4418,1930,1991,755,1830,446,8817,0,0,14,23,9,30,2,4,13,33,5,17,0,25,57,82,19730.0,The Spectrum,32767,PHI
1995,NBA,POR,POR,WC,PC,3,6,C1,Portland Trail Blazers,3064,6688,1537,2321,480,1358,1160,2577,3737,1760,1859,594,1377,417,8145,2953,6677,1574,472,1355,2127,932,2316,3248,1817,1996,708,1192,409,7952,0,0,26,15,18,23,0,0,29,23,11,13,0,44,38,82,19905.0,Rose Garden Arena,32767,POR
1970,ABA,TEX,SAS,,WD,4,0,DS,Texas Chaparrals,3964,8938,2038,2661,241,776,0,0,4697,1901,2093,0,1475,0,10207,4135,8962,2006,182,575,2633,0,0,4875,2213,2118,0,1564,0,10458,0,0,18,24,11,26,1,4,0,0,16,32,0,30,54,84,20385.0,Moody Coliseum,32767,TEX
1974,NBA,NYK,NYK,EC,AT,3,5,C1,New York Knicks,3359,7464,1518,1967,0,0,981,2652,3633,1675,2001,652,1374,300,8236,3361,7357,1615,0,0,2082,1070,2856,3926,1668,1912,572,1493,369,8337,0,0,23,18,17,24,0,0,22,24,9,17,0,40,42,82,19730.0,Madison Square Garden (IV),32767,NYK
1961,ABL1,CLP,CLP,,EA,1,0,WC,Cleveland Pipers,3234,7251,2260,2894,128,418,0,0,4050,1303,2095,0,0,0,8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8613,148,0,0,0,0,0,0,0,0,0,0,0,0,45,36,81,19490.0,Cleveland Arena,0,
