playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
abdulka01,Abdul-Jabbar,Kareem,1969,East,NBA,1,18,10.0,,,11.0,4.0,,,,,8.0,4.0,2.0,2.0,,
abdulka01,Abdul-Jabbar,Kareem,1970,West,NBA,1,30,19.0,,,14.0,1.0,,,,,16.0,8.0,4.0,3.0,,
abdulka01,Abdul-Jabbar,Kareem,1971,West,NBA,1,19,12.0,,,7.0,2.0,,,,,10.0,5.0,2.0,2.0,,
abdulka01,Abdul-Jabbar,Kareem,1972,West,NBA,1,98,,,,,,,,,,,,,,,
allenra02,Allen,Ray,1999,East,NBA,1,17,14.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,13.0,4.0,6.0,5.0,6.0,1.0
allenra02,Allen,Ray,2000,East,NBA,1,19,15.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,7.0,0.0,0.0,7.0,1.0
allenra02,Allen,Ray,2004,West,NBA,1,22,17.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,16.0,6.0,0.0,0.0,11.0,5.0
archina01,Archibald,Nate,1972,West,NBA,1,27,17.0,,,1.0,5.0,,,,,12.0,6.0,5.0,5.0,,
arenagi01,Arenas,Gilbert,2004,East,NBA,1,14,7.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,3.0,1.0
bakervi01,Baker,Vin,1994,East,NBA,1,11,2.0,,,2.0,0.0,,,,,2.0,0.0,4.0,2.0,,
bakervi01,Baker,Vin,1995,East,NBA,1,14,6.0,,,2.0,2.0,,,,,5.0,2.0,2.0,2.0,,
bakervi01,Baker,Vin,1996,East,NBA,1,24,19.0,7.0,5.0,12.0,1.0,0.0,0.0,0.0,2.0,12.0,8.0,4.0,3.0,0.0,0.0
bakervi01,Baker,Vin,1997,West,NBA,1,21,8.0,6.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,12.0,3.0,2.0,2.0,0.0,0.0
barklch01,Barkley,Charles,1994,West,NBA,1,23,15.0,,,9.0,2.0,,,,,12.0,7.0,0.0,0.0,,
barklch01,Barkley,Charles,1995,West,NBA,1,16,8.0,,,0.0,1.0,,,,,6.0,4.0,0.0,0.0,,
barklch01,Barkley,Charles,1996,West,NBA,1,99,,,,,,,,,,,,,,,
barroda01,Barros,Dana,1994,East,NBA,1,11,5.0,,,1.0,3.0,,,,,5.0,2.0,0.0,0.0,,
barryri01,Barry,Rick,1969,West,ABA,1,27,16.0,,,7.0,7.0,,,,0.0,12.0,7.0,2.0,2.0,0.0,0.0
barryri01,Barry,Rick,1970,East,ABA,1,17,14.0,0.0,2.0,2.0,2.0,,,2.0,3.0,6.0,4.0,6.0,6.0,0.0,0.0
barryri01,Barry,Rick,1971,East,ABA,1,26,4.0,4.0,8.0,12.0,8.0,,,1.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0
barryri01,Barry,Rick,1972,West,NBA,1,99,,,,,,,,,,,,,,,
bayloel01,Baylor,Elgin,1969,West,NBA,1,26,9.0,,,7.0,3.0,,,,,9.0,2.0,7.0,5.0,,
beardbu01,Beard,Butch,1971,East,NBA,1,7,3.0,,,1.0,0.0,,,,,4.0,1.0,1.0,1.0,,
beasljo01,Beasley,John,1969,West,ABA,1,18,11.0,,,8.0,0.0,,,,5.0,7.0,5.0,0.0,0.0,1.0,1.0
beatyze01,Beatty,Zelmo,1970,West,ABA,1,27,12.0,2.0,6.0,8.0,3.0,,,4.0,4.0,11.0,5.0,3.0,2.0,0.0,0.0
beatyze01,Beatty,Zelmo,1971,West,ABA,1,27,15.0,3.0,4.0,7.0,0.0,,,4.0,4.0,11.0,7.0,1.0,1.0,0.0,0.0
beatyze01,Beatty,Zelmo,1972,West,ABA,1,15,6.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
beckear01,Becker,Arthur,1971,West,ABA,1,9,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
bingda01,Bing,Dave,1970,West,NBA,1,19,4.0,,,2.0,2.0,,,,,7.0,2.0,0.0,0.0,,
bingda01,Bing,Dave,1972,West,NBA,1,19,2.0,,,3.0,0.0,,,,,4.0,0.0,2.0,2.0,,
blockjo01,Block,John,1972,East,NBA,1,5,4.0,,,2.0,0.0,,,,,4.0,2.0,0.0,0.0,,
boonero01,Boone,Ron,1970,West,ABA,1,4,6.0,0.0,2.0,2.0,0.0,,,1.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0
bradlbi01,Bradley,Bill,1972,East,NBA,1,12,4.0,,,1.0,0.0,,,,,5.0,2.0,0.0,0.0,,
brandte01,Brandon,Terrell,1995,East,NBA,1,20,11.0,,,1.0,3.0,,,,,10.0,4.0,2.0,2.0,,
brandte01,Brandon,Terrell,1996,East,NBA,1,17,10.0,1.0,2.0,3.0,8.0,2.0,0.0,0.0,2.0,11.0,4.0,0.0,0.0,4.0,2.0
bridgbi01,Bridges,Bill,1969,West,NBA,1,15,5.0,,,4.0,2.0,,,,,2.0,2.0,5.0,1.0,,
briskjo01,Brisker,John,1970,East,ABA,1,27,15.0,6.0,11.0,17.0,1.0,,,2.0,3.0,19.0,5.0,7.0,5.0,1.0,0.0
briskjo01,Brisker,John,1971,East,ABA,1,21,8.0,3.0,2.0,5.0,3.0,,,1.0,1.0,10.0,3.0,3.0,2.0,1.0,0.0
brownla01,Brown,Larry,1969,West,ABA,1,15,3.0,,,3.0,3.0,,,,1.0,2.0,0.0,3.0,3.0,0.0,0.0
brownro01,Brown,Roger,1969,East,ABA,1,28,15.0,,,6.0,2.0,,,,4.0,10.0,5.0,6.0,5.0,0.0,0.0
brownro01,Brown,Roger,1970,West,ABA,1,28,12.0,1.0,2.0,3.0,3.0,,,4.0,4.0,11.0,3.0,8.0,6.0,2.0,0.0
brownro01,Brown,Roger,1971,West,ABA,1,25,4.0,1.0,5.0,6.0,2.0,,,2.0,3.0,7.0,2.0,1.0,0.0,2.0,0.0
bryanko01,Bryant,Kobe,1997,West,NBA,1,22,18.0,2.0,4.0,6.0,1.0,2.0,0.0,1.0,1.0,16.0,7.0,2.0,2.0,3.0,2.0
bryanko01,Bryant,Kobe,1999,West,NBA,1,28,15.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,16.0,7.0,0.0,0.0,4.0,1.0
bryanko01,Bryant,Kobe,2000,West,NBA,1,30,19.0,2.0,2.0,4.0,7.0,1.0,0.0,3.0,3.0,17.0,9.0,0.0,0.0,2.0,1.0
bryanko01,Bryant,Kobe,2004,West,NBA,1,29,16.0,3.0,3.0,6.0,7.0,3.0,1.0,4.0,5.0,14.0,7.0,0.0,0.0,5.0,2.0
caldwjo01,Caldwell,Joe,1969,West,NBA,1,19,13.0,,,7.0,1.0,,,,,11.0,5.0,4.0,3.0,,
caldwjo01,Caldwell,Joe,1970,East,ABA,1,32,21.0,3.0,5.0,8.0,3.0,,,1.0,3.0,19.0,10.0,3.0,1.0,0.0,0.0
caldwjo01,Caldwell,Joe,1972,East,ABA,1,23,7.0,0.0,5.0,5.0,2.0,1.0,1.0,7.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0
calvima01,Calvin,Mack,1970,East,ABA,1,20,8.0,1.0,3.0,4.0,4.0,,,0.0,2.0,7.0,2.0,7.0,3.0,2.0,1.0
calvima01,Calvin,Mack,1971,East,ABA,1,14,10.0,0.0,2.0,2.0,4.0,,,2.0,4.0,7.0,4.0,2.0,2.0,0.0,0.0
calvima01,Calvin,Mack,1972,East,ABA,1,23,13.0,2.0,0.0,2.0,8.0,1.0,0.0,4.0,5.0,8.0,3.0,7.0,7.0,0.0,0.0
carrida01,Carrier,Darel,1969,East,ABA,1,10,2.0,,,1.0,0.0,,,,2.0,4.0,0.0,3.0,2.0,2.0,0.0
cartege01,Carter,George,1970,East,ABA,1,8,4.0,0.0,2.0,2.0,0.0,,,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0
cartevi01,Carter,Vince,1999,East,NBA,1,28,12.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,11.0,6.0,0.0,0.0,2.0,0.0
cartevi01,Carter,Vince,2000,East,NBA,1,24,16.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,18.0,7.0,1.0,1.0,4.0,1.0
cartevi01,Carter,Vince,2004,East,NBA,1,18,11.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,8.0,4.0,0.0,0.0,5.0,3.0
cebalce01,Ceballos,Cedric,1994,West,NBA,1,99,,,,,,,,,,,,,,,
chambwi01,Chamberlain,Wilt,1970,West,NBA,1,18,2.0,,,8.0,5.0,,,,,1.0,1.0,0.0,0.0,,
chambwi01,Chamberlain,Wilt,1971,West,NBA,1,24,8.0,,,10.0,3.0,,,,,3.0,3.0,8.0,2.0,,
chambwi01,Chamberlain,Wilt,1972,West,NBA,1,22,2.0,,,7.0,3.0,,,,,2.0,1.0,0.0,0.0,,
clarkar01,Clark,Archie,1971,East,NBA,1,21,8.0,,,1.0,6.0,,,,,5.0,2.0,4.0,4.0,,
combsgl01,Combs,Glen,1969,West,ABA,1,12,10.0,,,3.0,1.0,,,,2.0,6.0,4.0,0.0,0.0,4.0,2.0
combsgl01,Combs,Glen,1970,West,ABA,1,17,2.0,0.0,1.0,1.0,2.0,,,0.0,2.0,7.0,1.0,2.0,0.0,2.0,0.0
combsgl01,Combs,Glen,1971,West,ABA,1,18,2.0,0.0,0.0,0.0,3.0,,,2.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0
cowenda01,Cowens,Dave,1971,East,NBA,1,32,14.0,,,20.0,1.0,,,,,12.0,5.0,5.0,4.0,,
cowenda01,Cowens,Dave,1972,East,NBA,1,30,15.0,,,13.0,1.0,,,,,15.0,7.0,1.0,1.0,,
cunnibi01,Cunningham,Billy,1969,East,NBA,1,28,19.0,,,4.0,2.0,,,,,13.0,7.0,5.0,5.0,,
cunnibi01,Cunningham,Billy,1970,East,NBA,1,19,5.0,,,4.0,3.0,,,,,8.0,2.0,2.0,1.0,,
cunnibi01,Cunningham,Billy,1971,East,NBA,1,24,14.0,,,10.0,3.0,,,,,13.0,4.0,8.0,6.0,,
havlijo01,Havlicek,John,1967,East,NBA,1,22,26.0,,,5.0,4.0,,,,,15.0,9.0,11.0,8.0,,
roberos01,Robertson,Oscar,1963,East,NBA,1,42,26.0,,,14.0,8.0,,,,,23.0,10.0,10.0,6.0,,
vergabo01,Verga,Bob,1969,East,ABA,1,16,14.0,,,5.0,2.0,,,,1.0,14.0,6.0,2.0,1.0,3.0,1.0
jonesri01,Jones,Rich,1972,West,ABA,1,14,0.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
duncati01,Duncan,Tim,1999,West,NBA,1,33,24.0,7.0,7.0,14.0,4.0,1.0,1.0,2.0,3.0,14.0,12.0,0.0,0.0,0.0,0.0
