coachid,award,year,lgid,note
martija02c,Jack Adams,1998,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
francbo01c,Jack Adams,2001,NHL,
keenami01c,Jack Adams,1984,NHL,
rossar01c,Second Team All-Star,1942,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
hartce01c,Second Team All-Star,1936,NHL,
irvindi01c,First Team All-Star,1943,NHL,
murrabr01c,Jack Adams,1983,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
barbebi01c,Jack Adams,2000,NHL,
patrile01c,First Team All-Star,1930,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
quinnpa01c,Jack Adams,1979,NHL,
thomppa01c,First Team All-Star,1939,NHL,
bowmasc01c,Jack Adams,1976,NHL,
patrile01c,First Team All-Star,1933,NHL,
dayha01c,Second Team All-Star,1943,NHL,
arboual01c,Jack Adams,1978,NHL,
quennjo01c,Jack Adams,1999,NHL,
rossar01c,First Team All-Star,1938,NHL,
dineebi01c,Schmertz,1976,WHA,
berenre01c,Jack Adams,1980,NHL,
irvindi01c,First Team All-Star,1945,NHL,
burnspa01c,Jack Adams,1997,NHL,
pulfobo01c,Jack Adams,1974,NHL,
weilaco01c,First Team All-Star,1940,NHL,
vigneal01c,Jack Adams,2006,NHL,
brophjo01c,Schmertz,1978,WHA,
hartce01c,Second Team All-Star,1936,NHL,
pulfobo01c,Jack Adams,1974,NHL,
suttebr01c,Jack Adams,1990,NHL,
patrile01c,First Team All-Star,1931,NHL,
duttore01c,Second Team All-Star,1938,NHL,
kelleja01c,Baldwin,1972,WHA,
demerja01c,Jack Adams,1987,NHL,
patrile01c,First Team All-Star,1932,NHL,
irvindi01c,First Team All-Star,1943,NHL,
hitchke01c,Jack Adams,2011,NHL,
dayha01c,Second Team All-Star,1943,NHL,
rossar01c,Second Team All-Star,1942,NHL,
bylsmda01c,Jack Adams,2010,NHL,
berenre01c,Jack Adams,1980,NHL,
dineebi01c,Schmertz,1977,WHA,
burnspa01c,Jack Adams,1997,NHL,
patrile01c,First Team All-Star,1933,NHL,
demerja01c,Jack Adams,1986,NHL,
irvindi01c,First Team All-Star,1944,NHL,
adamsja01c,First Team All-Star,1936,NHL,
patrile01c,First Team All-Star,1937,NHL,
patrile01c,First Team All-Star,1935,NHL,
krommbo01c,Schmertz,1975,WHA,
rossar01c,Second Team All-Star,1937,NHL,
sathegl01c,Jack Adams,1985,NHL,
ruffli01c,Jack Adams,2005,NHL,
adamsja01c,First Team All-Star,1936,NHL,
hitchke01c,Jack Adams,2011,NHL,
patrile01c,First Team All-Star,1930,NHL,
burnspa01c,Jack Adams,1992,NHL,
dayha01c,Second Team All-Star,1943,NHL,
demerja01c,Jack Adams,1987,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
demerja01c,Jack Adams,1986,NHL,
suttebr01c,Jack Adams,1990,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
patrile01c,First Team All-Star,1933,NHL,
quinnpa01c,Jack Adams,1979,NHL,
tippeda01c,Jack Adams,2009,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
adamsja01c,First Team All-Star,1942,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,First Team All-Star,1943,NHL,
bowmasc01c,Jack Adams,1995,NHL,
patrile01c,First Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1934,NHL,
murrabr01c,Jack Adams,1983,NHL,
rossar01c,Second Team All-Star,1942,NHL,
barbebi01c,Jack Adams,2000,NHL,
pulfobo01c,Jack Adams,1974,NHL,
