year,hofid,name,category
1958,cleghsp01h,Sprague Cleghorn,Player
1962,westwha01h,Harry Westwick,Player
2000,savarde01h,Denis Savard,Player
1958,moranpa01h,Paddy Moran,Player
1968,cowlebi01h,Bill Cowley,Player
1945,vezinge01h,Georges Vezina,Player
1962,hoopeto01h,Tom Hooper,Player
1950,triheha01h,Harry Trihey,Player
1963,gormato01h,Tommy Gorman,Builder
1972,howego01h,Gordie Howe,Player
1973,molsoha01h,Hartland Molson,Builder
1966,bouchbu01h,Butch Bouchard,Player
1962,darraja01h,Jack Darragh,Player
1992,gainebo01h,Bob Gainey,Player
1962,norrija03h,James Norris,Builder
1960,adamsch01h,Charles Adams,Builder
2003,lafonpa01h,Pat LaFontaine,Player
1966,lindste01h,Ted Lindsay,Player
1977,ahearbu01h,Bunny Ahearne,Builder
2005,kharlva01h,Valeri Kharlamov,Player
1992,dionnma01h,Marcel Dionne,Player
2010,granaca01h,Cammi Granato,Player
1995,robinla01h,Larry Robinson,Player
1990,perregi01h,Gilbert Perreault,Player
1962,ruttaja01h,Jack Ruttan,Player
2003,ilitcmi01h,Mike Illitch,Builder
1969,abelsi01h,Sid Abel,Player
1964,stewaja01h,Jack Stewart,Player
2001,hawerda01h,Dale Hawerchuk,Player
1947,hewitwi01h,William Hewitt,Builder
1965,scanlfr01h,Fred Scanlon,Player
1991,pulfobo01h,Bob Pulford,Player
1994,conacli01h,Lionel Conacher,Player
2002,neilsro01h,Roger Neilson,Builder
2002,langwro01h,Rod Langway,Player
1958,fredrfr01h,Frank Fredrickson,Player
1958,mcnamge02h,George McNamara,Player
1962,obrieja01h,Ambrose O'Brien,Builder
1985,ratelje01h,Jean Ratelle,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1959,thompti01h,Tiny Thompson,Player
1962,smithal03h,Alf Smith,Player
1981,mahovfr01h,Frank Mahovlich,Player
1962,watsoha01h,Harry Watson,Player
1970,lebelro01h,Bob LeBel,Builder
1969,kellyre01h,Red Kelly,Player
2001,patricr01h,Craig Patrick,Builder
2009,robitlu01h,Luc Robitaille,Player
1997,lemiema01h,Mario Lemieux,Player
1963,hewitbo01h,Bobby Hewitson,Referee/Linesman
1958,irvindi01h,Dick Irvin,Player
1950,lalonne01h,Newsy Lalonde,Player
1990,poilebu01h,Bud Poile,Builder
1958,duttore01h,Red Dutton,Player
2007,stevesc01h,Scott Stevens,Player
1975,bucklfr01h,Frank Buckland,Builder
2005,costemu01h,Murray Costello,Builder
1988,hayesge01h,George Hayes,Referee/Linesman
1947,shoreed01h,Eddie Shore,Player
1960,kilpajo01h,John Kilpatrick,Builder
1952,boondi01h,Dickie Boon,Player
1988,snideed01h,Edward Snider,Builder
1968,dunnji01h,Jimmy Dunn,Builder
1958,gardihe01h,Herb Gardiner,Player
1961,ionmi01h,Mickey Ion,Referee/Linesman
2006,duffdi01h,Dick Duff,Player
1967,brodatu01h,Turk Broda,Player
1950,richage01h,George Richardson,Player
1958,bouchfr01h,Frank Boucher,Player
1977,ballaha01h,Harold Ballard,Builder
1986,boivile01h,Leo Boivin,Player
1947,roberjo02h,John Robertson,Builder
1994,oneilbr01h,Brian O'Neill,Builder
1963,seibeea01h,Earl Seibert,Player
1981,ashlejo01h,John Ashley,Referee/Linesman
1962,broadpu01h,Punch Broadbent,Player
1958,foystfr01h,Frank Foyston,Player
2004,fletccl01h,Cliff Fletcher,Builder
1975,hallgl01h,Glenn Hall,Player
1996,arboual01h,Al Arbour,Builder
1988,laflegu01h,Guy Lafleur,Player
1962,greensh01h,Shorty Green,Player
1989,sittlda01h,Darryl Sittler,Player
1982,ullmano01h,Norm Ullman,Player
1993,knoxse01h,Seymour Knox,Builder
1997,sathegl01h,Glen Sather,Builder
1972,geoffbe01h,Bernie Geoffrion,Player
1965,howesy01h,Syd Howe,Player
1962,wilsoph01h,Phat Wilson,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
1990,flamafe01h,Fern Flaman,Player
1980,lumleha01h,Harry Lumley,Player
1965,benedcl01h,Clint Benedict,Player
1960,manthsy01h,Sylvio Mantha,Player
1982,cournyv01h,Yvan Cournoyer,Player
1945,gardich01h,Charlie Gardiner,Player
1978,pollosa01h,Sam Pollock,Builder
1975,baileac01h,Ace Bailey,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1982,francem01h,Emile Francis,Builder
1993,lapraed01h,Edgar Laprade,Player
1966,brimsfr01h,Frank Brimsek,Player
1960,selkefr01h,Frank Selke,Builder
1952,johnsmo01h,Moose Johnson,Player
1947,nighbfr01h,Frank Nighbor,Player
1945,allanmo01h,Montagu Allan,Builder
1993,lapoigu01h,Guy Lapointe,Player
1977,delveal01h,Alex Delvecchio,Player
1945,gerared01h,Eddie Gerard,Player
1976,bowerjo01h,Johnny Bower,Player
1992,dumarwo01h,Woody Dumart,Player
1970,dyeba01h,Babe Dye,Player
1992,johnsbo02h,Bob Johnson,Builder
1947,clappdi01h,Dit Clapper,Player
1988,parkbr01h,Brad Park,Player
2011,gilmodo01h,Doug Gilmour,Player
1959,adamsja01h,Jack Adams,Player
1978,plantja01h,Jacques Plante,Player
1961,richama01h,Maurice Richard,Player
1980,worslgu01h,Gump Worsley,Player
1962,humefr01h,Fred Hume,Builder
1950,malonjo01h,Joe Malone,Player
1986,hanlebi01h,Bill Hanley,Builder
1982,gilbero01h,Rod Gilbert,Player
1973,harvedo01h,Doug Harvey,Player
1962,stanlba01h,Barney Stanley,Player
1961,lesuepe01h,Percy LeSueur,Player
1961,halljo01h,Joe Hall,Player
2008,andergl01h,Glenn Anderson,Player
1985,mariujo01h,John Mariucci,Builder
1993,damicjo01h,John D'Amico,Referee/Linesman
1968,hendyji01h,Jim Hendy,Builder
1950,griffsi01h,Si Griffis,Player
1958,hayge01h,George Hay,Player
1978,pronoma01h,Marcel Pronovost,Player
1962,maxwest01h,Steamer Maxwell,Player
1964,campban01h,Angus Campbell,Builder
1962,simpsjo01h,Joe Simpson,Player
1996,salmibo01h,Borje Salming,Player
2001,fetisvi01h,Viacheslav Fetisov,Player
1962,camerha01h,Harry Cameron,Player
1983,mikitst01h,Stan Mikita,Player
1965,barryma01h,Marty Barry,Player
2002,gillicl01h,Clark Gillies,Player
1947,bowieru01h,Russell Bowie,Player
1993,shuttst01h,Steve Shutt,Player
1995,cookbu01h,Bun Cook,Player
1962,hernri01h,Riley Hern,Player
1984,lemaija01h,Jacques Lemaire,Player
