name,id,award,year,lgid,note
Phil Housley,houslph01,Patrick,2007,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Jim Devellano,,Patrick,2008,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Bruce McNall,,Patrick,1992,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Bruce Norris,norribr01h,Patrick,1975,NHL,
George Leader,,Patrick,1975,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Fred Shero,sherofr01,Patrick,1979,NHL,
Hoby Baker,bakerho01h,Patrick,1986,NHL,posthumous
Jerry York,,Patrick,2009,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Gil Stein,,Patrick,1992,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Gary Bettman,,Patrick,2000,NHL,
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Fred Cusick,,Patrick,1987,NHL,
Mike Emrick,,Patrick,2003,NHL,
Joe Mullen,mullejo01,Patrick,1994,NHL,
Art Berglund,,Patrick,1991,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Bob Fleming,,Patrick,1994,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
Neal Broten,brotene01,Patrick,1997,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Frank Mathers,mathefr01,Patrick,1986,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Eddie Shore,shoreed01,Patrick,1969,NHL,
Dave Andrews,,Patrick,2009,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Wayne Gretzky,gretzwa01,Patrick,1993,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Bill Cleary,,Patrick,1996,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Ray Miron,,Patrick,2003,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Jack Parker,,Patrick,2009,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
Ted Lindsay,lindste01,Patrick,2007,NHL,
George Gund,,Patrick,1995,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Robert Ridder,,Patrick,1993,NHL,
Raymond Bourque,bourqra01,Patrick,2002,NHL,
John Bucyk,bucykjo01,Patrick,1976,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
1960 U.S. Olympic Hockey Team,,Patrick,2001,NHL,
Donald Clark,,Patrick,1974,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Stan Fischler,,Patrick,2006,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
John MacInnes,,Patrick,1985,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
William Tutt,tuttwi01h,Patrick,1977,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Bob Naegele,,Patrick,2007,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Lou Vairo,,Patrick,1999,NHL,
Tony Rossi,,Patrick,2010,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
John Mayasich,,Patrick,1997,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Larry Pleau,pleaula01,Patrick,2001,NHL,
David Poile,,Patrick,2000,NHL,
