year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1996,NHL,STL,STL,WC,CE,4,CQF,82,36,35,11.0,,83,,,236,239,St. Louis Blues,1336.0,24.0,50.0,327.0,8.0,55.0,332.0,9.0
2002,NHL,FLO,FLO,EC,SE,4,,82,24,36,13.0,9.0,70,,,176,237,Florida Panthers,1127.0,26.0,49.0,347.0,9.0,66.0,356.0,7.0
2003,NHL,CHI,CHI,WC,CE,5,,82,20,43,11.0,8.0,59,,,188,259,Chicago Blackhawks,1318.0,18.0,55.0,349.0,14.0,63.0,383.0,5.0
1993,NHL,CHI,CHI,WC,CE,5,CQF,84,39,36,9.0,,87,,,254,240,Chicago Blackhawks,2125.0,24.0,67.0,383.0,10.0,71.0,427.0,15.0
1926,NHL,TRS,TOR,,CA,5,,44,15,24,5.0,,35,,,79,94,Toronto St. Patricks,546.0,,,,,,,
2002,NHL,OTT,OTT,EC,NE,1,CF,82,52,21,8.0,1.0,113,,,263,182,Ottawa Senators,1135.0,22.0,83.0,391.0,8.0,50.0,332.0,4.0
2008,NHL,DAL,DAL,WC,PC,3,,82,36,35,,11.0,83,6.0,6.0,230,257,Dallas Stars,1144.0,10.0,54.0,351.0,4.0,70.0,327.0,2.0
1988,NHL,HAR,CAR,WA,AD,4,DSF,80,37,38,5.0,,79,,,299,290,Hartford Whalers,1672.0,10.0,87.0,418.0,18.0,70.0,377.0,3.0
2000,NHL,STL,STL,WC,CE,2,CF,82,43,22,12.0,5.0,103,,,249,195,St. Louis Blues,1345.0,14.0,72.0,385.0,7.0,57.0,389.0,15.0
1995,NHL,HAR,CAR,EC,NE,4,,82,34,39,9.0,,77,,,237,259,Hartford Whalers,1844.0,18.0,67.0,372.0,9.0,83.0,429.0,8.0
1968,NHL,TOR,TOR,,ED,4,QF,76,35,26,15.0,,85,,,234,217,Toronto Maple Leafs,950.0,,45.0,278.0,5.0,46.0,294.0,11.0
1935,NHL,TOR,TOR,,CA,2,F,48,23,19,6.0,,52,,,126,106,Toronto Maple Leafs,579.0,,,,,,,
2002,NHL,MIN,MIN,WC,NW,3,CF,82,42,29,10.0,1.0,95,,,198,178,Minnesota Wild,1063.0,28.0,52.0,366.0,5.0,43.0,308.0,9.0
1983,NHL,VAN,VAN,CC,SM,3,DSF,80,32,39,9.0,,73,,,306,328,Vancouver Canucks,1474.0,4.0,90.0,369.0,11.0,73.0,312.0,4.0
1965,NHL,CHI,CHI,,,2,SF,70,37,25,8.0,,82,,,240,187,Chicago Black Hawks,815.0,,70.0,281.0,4.0,40.0,251.0,8.0
2007,NHL,CBS,CBS,WC,CE,4,,82,34,36,,12.0,80,3.0,8.0,193,218,Columbus Blue Jackets,1325.0,22.0,53.0,356.0,5.0,63.0,378.0,8.0
2009,NHL,TBL,TBL,EC,SE,4,,82,34,36,,12.0,80,4.0,7.0,217,260,Tampa Bay Lightning,1377.0,20.0,63.0,326.0,6.0,67.0,336.0,2.0
1918,PCHA,VA2,VIC,,,3,,20,7,13,0.0,,14,,,44,81,Victoria Aristocrats,,,,,,,,
1972,NHL,PIT,PIT,,WD,5,,78,32,37,9.0,,73,,,257,265,Pittsburgh Penguins,866.0,6.0,52.0,301.0,7.0,49.0,264.0,10.0
1917,PCHA,VML,VMR,,,2,F,18,9,9,0.0,,18,,,70,60,Vancouver Millionaires,,,,,,,,
1918,NHL,MTL,MTL,,,2,ND,18,10,8,0.0,,20,,,88,78,Montreal Canadiens,253.0,,,,,,,
2006,NHL,NYI,NYI,EC,AT,4,CQF,82,40,30,,12.0,92,8.0,5.0,248,240,New York Islanders,1062.0,24.0,63.0,348.0,9.0,79.0,433.0,7.0
1967,NHL,PHI,PHI,,WD,1,QF,74,31,32,11.0,,73,,,173,179,Philadelphia Flyers,979.0,,33.0,269.0,2.0,49.0,290.0,7.0
2009,NHL,PHO,PHO,WC,PC,2,CQF,82,50,25,,7.0,107,14.0,6.0,225,202,Phoenix Coyotes,925.0,20.0,46.0,314.0,7.0,49.0,317.0,3.0
1932,NHL,OTS,STE,,CA,5,,48,11,27,10.0,,32,,,88,131,Ottawa Senators,398.0,,,,,,,
1941,NHL,NYR,NYR,,,1,SF,48,29,17,2.0,,60,,,177,143,New York Rangers,390.0,,,,,,,
2005,NHL,SJS,SJS,WC,PC,2,CSF,82,44,27,,11.0,99,1.0,7.0,266,242,San Jose Sharks,1058.0,14.0,91.0,500.0,11.0,77.0,399.0,10.0
1976,WHA,PHR,PHR,,WW,6,,80,28,48,4.0,,60,,,281,383,Phoenix Roadrunners,915.0,4.0,47.0,246.0,10.0,62.0,243.0,5.0
1942,NHL,TOR,TOR,,,3,SF,50,22,19,9.0,,53,,,198,159,Toronto Maple Leafs,421.0,,,,,,,
2008,NHL,EDM,EDM,WC,NW,4,,82,38,35,,9.0,85,6.0,4.0,234,248,Edmonton Oilers,1247.0,20.0,60.0,354.0,8.0,76.0,338.0,3.0
1993,NHL,PIT,PIT,EC,NE,1,CQF,84,44,27,13.0,,101,,,299,285,Pittsburgh Penguins,1624.0,20.0,76.0,404.0,11.0,72.0,401.0,6.0
1917,NHL,TOA,TOR,,,1,SC,22,13,9,0.0,,26,,,108,109,Toronto Arenas,355.0,,,,,,,
