year,lgid,tmid,oppid,w,l,t,otl
1978,WHA,BIR,EDO,4,10,1.0,
1999,NHL,PHO,EDM,1,2,0.0,1.0
1924,NHL,TRS,MTL,3,3,0.0,
1993,NHL,STL,DAL,2,3,1.0,
1993,NHL,SJS,BOS,0,1,1.0,
2003,NHL,LAK,CAR,0,0,0.0,1.0
2011,NHL,MTL,CAR,2,1,,1.0
1986,NHL,PIT,NYR,2,3,2.0,
1998,NHL,PIT,WAS,2,2,0.0,
1974,NHL,STL,LAK,0,3,1.0,
2008,NHL,OTT,AND,0,1,,0.0
2006,NHL,STL,COL,3,1,,0.0
1998,NHL,BOS,WAS,3,1,0.0,
1970,NHL,BOS,PIT,4,1,1.0,
2008,NHL,LAK,CAL,0,4,,0.0
2003,NHL,NYR,NYI,6,0,0.0,0.0
1987,NHL,QUE,STL,1,2,0.0,
1991,NHL,BUF,HAR,2,4,2.0,
1990,NHL,BOS,VAN,2,1,0.0,
1986,NHL,BUF,DET,2,0,1.0,
1999,NHL,CHI,OTT,0,1,0.0,0.0
2010,NHL,MIN,TOR,0,1,,0.0
1987,NHL,WAS,MNS,2,0,1.0,
1996,NHL,WAS,FLO,2,1,2.0,
1991,NHL,QUE,SJS,1,2,0.0,
1997,NHL,CAL,NYI,2,0,0.0,
1961,NHL,CHI,BOS,10,2,2.0,
1981,NHL,QUE,COR,2,1,0.0,
1995,NHL,WAS,FLO,1,3,1.0,
2003,NHL,BUF,NYI,0,4,0.0,0.0
1975,WHA,IND,DOT,1,3,0.0,
2003,NHL,FLO,NYI,1,3,0.0,0.0
2008,NHL,DAL,ATL,1,0,,0.0
1984,NHL,MTL,NYI,2,1,0.0,
1963,NHL,MTL,BOS,7,2,5.0,
1919,PCHA,VA2,VML,6,5,0.0,
2003,NHL,PHO,BUF,1,0,0.0,0.0
1972,NHL,NYI,LAK,1,4,0.0,
1987,NHL,PHI,QUE,2,0,1.0,
2000,NHL,WAS,COL,1,0,0.0,1.0
1988,NHL,TOR,DET,3,5,0.0,
1995,NHL,TBL,EDM,1,1,0.0,
1974,NHL,BOS,KCS,2,1,1.0,
2000,NHL,TOR,CHI,1,1,1.0,0.0
1992,NHL,PIT,BUF,3,1,0.0,
1972,WHA,HOU,MFS,5,2,1.0,
1992,NHL,QUE,WAS,0,2,1.0,
1924,WCHL,CAT,REG,3,2,0.0,
1975,NHL,NYI,VAN,0,3,2.0,
1989,NHL,QUE,NYI,2,1,0.0,
2011,NHL,EDM,BOS,0,1,,0.0
1975,WHA,SDM,MFS,6,3,1.0,
1996,NHL,PHO,WAS,1,1,0.0,
1978,WHA,CZE,CIN,1,0,0.0,
1972,WHA,ALB,MFS,4,4,0.0,
2010,NHL,DAL,MIN,3,1,,0.0
2007,NHL,MIN,CAR,0,1,,0.0
1967,NHL,DET,MTL,3,6,1.0,
1990,NHL,NYR,MNS,2,0,1.0,
2005,NHL,BOS,CAR,1,1,,2.0
1981,NHL,TOR,EDM,1,2,0.0,
1982,NHL,PIT,VAN,1,2,0.0,
2003,NHL,NAS,DAL,0,3,1.0,0.0
1989,NHL,WIN,HAR,2,1,0.0,
1993,NHL,TOR,FLO,2,0,1.0,
1997,NHL,BUF,CAL,2,0,0.0,
1980,NHL,BUF,LAK,2,1,1.0,
1975,WHA,EDO,DOT,0,1,0.0,
1978,NHL,BUF,PHI,0,3,2.0,
2010,NHL,WAS,TBL,4,1,,1.0
2009,NHL,MTL,CAR,2,2,,0.0
2000,NHL,FLO,CAL,0,0,1.0,0.0
2006,NHL,EDM,MTL,0,0,,1.0
1991,NHL,NYR,BUF,2,1,0.0,
1977,NHL,NYI,BUF,2,3,0.0,
1985,NHL,DET,PHI,1,2,0.0,
1994,NHL,BUF,PHI,1,2,0.0,
2011,NHL,CBS,MIN,2,2,,0.0
1983,NHL,PIT,BOS,0,3,0.0,
2011,NHL,LAK,VAN,2,2,,0.0
2009,NHL,ATL,BOS,0,3,,1.0
2008,NHL,CAL,TOR,1,1,,0.0
2006,NHL,CBS,EDM,1,3,,0.0
2009,NHL,VAN,CBS,3,1,,0.0
1926,NHL,BOS,TRS,1,3,0.0,
1979,NHL,PIT,NYR,2,2,0.0,
1977,NHL,MNS,NYR,0,3,2.0,
1981,NHL,DET,BUF,0,3,0.0,
1996,NHL,DAL,BUF,1,1,0.0,
2002,NHL,PIT,OTT,1,3,0.0,0.0
1947,NHL,DET,TOR,2,6,4.0,
2002,NHL,CAL,TOR,1,2,0.0,0.0
1996,NHL,HAR,CAL,1,1,0.0,
2003,NHL,LAK,VAN,0,3,1.0,0.0
1993,NHL,TOR,HAR,1,0,1.0,
1969,NHL,PHI,BOS,0,4,2.0,
