playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
fitzpma01,1997,2,TBL,NHL,34.0,1938.0,7.0,24.0,1.0,5.0,1.0,102.0,975.0,,,,,,,,,
sawchte01,1963,1,DET,NHL,53.0,3140.0,25.0,20.0,7.0,2.0,5.0,138.0,,13.0,677.0,6.0,5.0,,0.0,1.0,31.0,
hallgl01,1966,1,CHI,NHL,32.0,1664.0,19.0,5.0,5.0,0.0,2.0,66.0,,3.0,176.0,1.0,2.0,,0.0,0.0,8.0,
besteal01,1991,1,DET,NHL,1.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,,,,,,,,,
hasekdo01,1993,1,BUF,NHL,58.0,3358.0,30.0,20.0,6.0,3.0,7.0,109.0,1552.0,7.0,484.0,3.0,4.0,,1.0,2.0,13.0,261.0
elliobr01,2008,1,OTT,NHL,31.0,1667.0,16.0,8.0,3.0,3.0,1.0,77.0,786.0,,,,,,,,,
henrygo01,1952,1,BOS,NHL,,,,,,,,,,3.0,163.0,0.0,2.0,,,0.0,11.0,
woodwa01,1975,2,TOT,WHA,13.0,781.0,6.0,7.0,0.0,0.0,0.0,62.0,474.0,,,,,,,,,
hebersa01,1922,1,SAC,WCHL,18.0,1218.0,4.0,12.0,2.0,,0.0,79.0,,,,,,,,,,
stuarhe01,1925,1,EDE,WCHL,30.0,1800.0,19.0,11.0,0.0,,2.0,77.0,,2.0,120.0,0.0,1.0,1.0,,0.0,5.0,
corsiji01,1978,1,QUN,WHA,40.0,2291.0,16.0,20.0,1.0,4.0,3.0,126.0,1242.0,2.0,66.0,0.0,1.0,,0.0,0.0,7.0,
puppada01,1995,1,TBL,NHL,57.0,3189.0,29.0,16.0,9.0,2.0,5.0,131.0,1605.0,4.0,173.0,1.0,3.0,,0.0,0.0,14.0,86.0
whiddbo01,1974,1,CLC,WHA,29.0,1654.0,9.0,16.0,1.0,0.0,0.0,89.0,918.0,,,,,,,,,
melocgi01,1972,1,CLF,NHL,59.0,3473.0,12.0,32.0,14.0,1.0,1.0,235.0,,,,,,,,,,
