playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
rowebo01,1919,SEA,PCHA,D,5,2,1,3,13
patrile01,1913,VA1,PCHA,D,3,2,0,2,5
ulricja01,1913,VA1,PCHA,R,3,0,0,0,3
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
stackte01,1921,TRS,NHL,D,4,0,0,0,0
morrijo01,1922,EDE,WCHL,R,2,1,0,1,0
duncaar01,1921,VML,PCHA,D,5,0,1,1,9
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
holmeha01,1916,SEA,PCHA,G,4,0,0,0,0
rileyji01,1916,SEA,PCHA,L,4,0,0,0,3
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
halljo01,1918,MTL,NHL,D,5,0,0,0,6
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
lindsbe01,1912,VA1,PCHA,G,3,0,0,0,0
oatmaru01,1925,VIC,WCHL,R,4,0,0,0,10
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
rickero01,1919,SEA,PCHA,D,5,2,0,2,9
reidch01,1923,CAT,WCHL,G,2,0,0,0,0
meekiha01,1924,VIC,WCHL,L,4,0,1,1,2
rossar01,1914,OT1,NHA,D,3,0,0,0,12
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
cleghod01,1923,MTL,NHL,R/C,4,0,1,1,0
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
skinnal01,1921,VML,PCHA,R,5,0,1,1,12
nighbfr01,1922,OTS,NHL,C,6,1,1,2,10
bostrhe01,1923,VAM,PCHA,D,2,1,0,1,0
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
mackeja01,1919,OTS,NHL,F,5,0,0,0,0
coutubi01,1916,MOC,NHA,D,4,0,0,0,36
matzjo01,1924,MTL,NHL,F,4,0,0,0,2
randake01,1917,TOA,NHL,R/D,5,1,0,1,0
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
malleke01,1914,VML,PCHA,C,3,0,0,0,0
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
