type,code,fullname
Playoffs,PRE,Lost NHL preliminary round
Playoffs,CQF,Lost NHL conference quarter-finals
Division,CW,WHA Canadian Division
Playoffs,AVC,Won AVCO Cup
Playoffs,F,Lost Stanley Cup finals
Division,SM,Smythe Division
Round,CF,Conference Finals
Playoffs,CF,Lost NHL conference finals
Playoffs,SF,Lost NHL semi-finals
Playoffs,SC,Won Stanley Cup
Round,Pre,Preliminary
Division,CA,Canadian Division
Playoffs,DSF,Lost NHL division semi-finals
Division,NW,Northwest Division
Round,DF,Division Finals
Round,ACF,Avco Cup Finals
Round,WP,Western Playoff
Division,WD,West Division
Round,QF,Quarter-Finals
Round,SCF,Stanley Cup Finals
Division,ED,East Division
Division,AT,Atlantic Division
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Playoffs,QF,Lost NHL quarter-finals
Playoffs,NHLF,Lost NHL finals
Playoffs,WCS,Won Challenge Series
Division,SE,Southeast Division
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Division,WW,WHA West Division
Division,CE,Central Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Playoffs,WSF,Lost WCHL semi-finals
Playoffs,CSF,Lost NHL conference semi-finals
Round,CQF,Conference Quarter-Finals
Playoffs,NHAF,Lost NHA finals
Division,PC,Pacific Division
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Round,F,Finals
Round,DSF,Division Semi-Finals
Division,EW,WHA East Division
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Conference,CC,Campbell Conference
Playoffs,AVF,Lost AVCO Cup finals
Playoffs,SCSF,Lost Stanley Cup semi-finals
Conference,WC,Western Conference
Conference,EC,Eastern Conference
Playoffs,WF,Lost WCHL finals
Division,AD,Adams Division
Round,SF,Semi-Finals
Division,NE,Northeast Division
Round,CSF,Conference Semi-Finals
Division,PT,Patrick Division
Conference,WA,Wales Conference
Division,NO,Norris Division
Division,AM,American Division
Playoffs,PF,Lost PCHA finals
Playoffs,DF,Lost NHL division finals
Round,SCSF,Stanley Cup Semi-Finals
