year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
2008,NHL,SJS,6,2,4,0,10,18,85,0,4,24,0,5,23,0
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
1986,NHL,NYI,14,7,7,0,35,42,293,0,11,50,2,9,58,0
1985,NHL,CHI,3,0,3,0,9,18,87,0,3,16,0,5,15,0
1986,NHL,BOS,4,0,4,0,11,19,86,4,5,19,1,4,18,1
2006,NHL,CAL,6,2,4,0,10,18,117,0,6,34,2,5,38,1
1988,NHL,STL,10,5,5,0,35,34,216,6,8,56,,6,38,1
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
1989,NHL,LAK,10,4,6,0,39,48,164,2,11,65,3,7,49,2
1965,NHL,CHI,6,2,4,0,10,22,75,,,,,,,
1988,NHL,DET,6,2,4,0,18,25,187,0,6,37,,10,37,0
1984,NHL,NYR,3,0,3,0,10,14,76,0,4,11,0,5,16,0
1925,NHL,PIP,2,0,1,1,4,6,10,,,,,,,
1991,NHL,HAR,7,3,4,0,18,21,147,0,6,40,1,8,41,2
2005,NHL,NJD,9,5,4,0,27,21,140,2,11,58,0,11,45,4
1964,NHL,TOR,6,2,4,0,14,17,136,,,,,,,
1990,NHL,DET,7,3,4,0,20,24,272,2,4,33,0,3,39,1
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
1931,NHL,CHI,2,1,1,0,2,6,18,,,,,,,
1943,NHL,TOR,5,1,4,0,6,23,48,,,,,,,
1977,NHL,BUF,8,3,5,0,22,22,188,0,4,29,0,7,22,0
1989,NHL,WAS,15,8,7,0,49,48,480,0,13,71,3,13,79,3
1982,NHL,PHI,3,0,3,0,9,18,75,0,3,17,0,4,16,0
1994,NHL,DAL,5,1,4,0,10,17,95,0,3,26,0,9,30,1
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1972,WHA,OTN,5,1,4,0,17,24,,,5,27,0,8,30,0
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
1976,NHL,ATF,3,1,2,0,7,11,96,0,2,11,0,3,14,1
1920,PCHA,SEA,2,0,2,0,2,13,,,,,,,,
1997,NHL,BUF,15,10,5,0,46,32,268,2,16,89,1,9,90,2
1993,NHL,NJD,20,11,9,0,52,49,421,4,14,81,1,11,85,1
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
2002,NHL,ANA,21,15,6,0,45,40,166,8,8,70,1,9,70,3
1942,NHL,TOR,6,2,4,0,17,20,46,,,,,,,
1935,NHL,CHI,2,1,1,0,5,7,8,,,,,,,
1974,NHL,BUF,17,10,7,0,53,58,276,6,13,75,1,15,72,2
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
1996,NHL,NJD,10,5,5,0,27,21,186,0,11,50,2,3,37,3
1975,NHL,ATF,2,0,2,0,1,3,21,0,0,8,0,0,6,0
1978,NHL,ATF,2,0,2,0,5,9,129,0,3,13,1,1,10,0
1990,NHL,LAK,12,6,6,0,46,37,306,2,12,53,1,8,56,1
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1941,NHL,MTL,3,1,2,0,8,8,19,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
1986,NHL,DET,16,9,7,0,45,40,426,0,9,56,1,9,58,1
1986,NHL,WAS,7,3,4,0,19,19,199,0,2,36,0,4,30,0
1940,NHL,DET,9,4,5,0,17,20,96,,,,,,,
2000,NHL,LAK,13,7,6,0,25,34,146,4,6,50,0,14,63,0
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
2010,NHL,BUF,7,3,4,0,18,22,109,2,7,31,0,5,35,0
1956,NHL,DET,5,1,4,0,14,15,66,,,,,,,
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1975,WHA,IND,7,3,4,0,15,18,,,,,,,,
1988,NHL,BOS,10,5,5,0,29,30,229,2,6,47,,7,44,2
1979,NHL,NYR,9,4,5,0,21,22,194,0,5,39,2,4,40,1
1997,NHL,WAS,21,12,9,0,53,44,319,6,14,84,2,15,115,3
1976,NHL,NYI,12,8,4,0,36,32,160,0,6,34,1,9,43,1
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1926,NHL,BOS,8,2,2,4,16,13,125,,,,,,,
1987,NHL,WIN,5,1,4,0,17,25,213,0,7,37,,10,35,1
