name,id,award,year,lgid,note
Bill Chadwick,chadwbi01h,Patrick,1974,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
Emile Francis,francem01,Patrick,1981,NHL,
Frank Boucher,bouchfr01,Patrick,1992,NHL,
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
Keith Allen,allenke01,Patrick,1987,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Phil Esposito,esposph01,Patrick,1977,NHL,
Red Dutton,duttore01,Patrick,1992,NHL,
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
1960 U.S. Olympic Hockey Team,,Patrick,2001,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Red Berenson,berenre01,Patrick,2005,NHL,
Brian Burke,,Patrick,2007,NHL,
Brian Mullen,mullebr01,Patrick,1994,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Bob Fleming,,Patrick,1994,NHL,
Bob Naegele,,Patrick,2007,NHL,
David Poile,,Patrick,2000,NHL,
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Jack Parker,,Patrick,2009,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
George Leader,,Patrick,1975,NHL,
John Mayasich,,Patrick,1997,NHL,
Charles M. Schulz,,Patrick,1980,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
John Halligan,,Patrick,2006,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Ken Morrow,morroke01,Patrick,1995,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Donald Clark,,Patrick,1974,NHL,
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Neal Broten,brotene01,Patrick,1997,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Jerry York,,Patrick,2009,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
Bruce McNall,,Patrick,1992,NHL,
Harry Sinden,sindeha01c,Patrick,1998,NHL,
John Kilpatrick,kilpajo01h,Patrick,1967,NHL,posthumous
Tony Rossi,,Patrick,2010,NHL,
John A. 'Snooks' Kelly,,Patrick,1971,NHL,
Gordie Howe,howego01,Patrick,1966,NHL,
Herb Brooks,brookhe01c,Patrick,2001,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Mike Emrick,,Patrick,2003,NHL,
Stan Fischler,,Patrick,2006,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Art Berglund,,Patrick,1991,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Steve Yzerman,yzermst01,Patrick,2005,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Mark Messier,messima01,Patrick,2008,NHL,
Craig Patrick,patricr01,Patrick,1999,NHL,
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Bobby Clarke,clarkbo01,Patrick,1979,NHL,
Robert Ridder,,Patrick,1993,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Gary Bettman,,Patrick,2000,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
Eddie Shore,shoreed01,Patrick,1969,NHL,
Lou Nanne,nannelo01,Patrick,1988,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Thomas Lockhart,lockhth01h,Patrick,1967,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Ray Miron,,Patrick,2003,NHL,
