year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1985,DSF,C,NYR,NHL,PHI,NHL,3,2,0,18,15,
1947,SF,A,TOR,NHL,BOS,NHL,4,1,0,20,13,
1985,DF,L,CAL,NHL,EDM,NHL,4,3,0,25,24,
2009,CQF,G,VAN,NHL,LAK,NHL,4,2,0,25,18,
1976,DSF,,QUN,WHA,NEW,WHA,4,1,0,23,14,
1986,DSF,G,EDM,NHL,LAK,NHL,4,1,0,32,20,
1991,CF,M,PIT,NHL,BOS,NHL,4,0,0,19,7,
1972,QF,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1996,SCF,O,DET,NHL,PHI,NHL,4,0,0,16,6,
1966,SF,B,MTL,NHL,NYR,NHL,4,0,0,14,8,
1925,SF,,MTM,NHL,PIP,NHL,1,0,1,6,4,TG
1982,DSF,E,CHI,NHL,STL,NHL,3,1,0,16,10,
1988,SCF,O,CAL,NHL,MTL,NHL,4,2,0,19,16,
1935,SF,D,TOR,NHL,NYA,NHL,2,1,0,6,3,
1971,QF,D,STL,NHL,MNS,NHL,4,3,0,19,19,
1972,SF,E,MTL,NHL,PHI,NHL,4,1,0,19,13,
1980,QF,I,NYI,NHL,EDM,NHL,4,2,0,29,20,
1998,CQF,B,BUF,NHL,OTT,NHL,4,0,0,12,6,
1975,SF,,HOU,WHA,NEW,WHA,4,3,0,19,21,
2010,CQF,A,WAS,NHL,NYR,NHL,4,1,0,13,8,
1993,SCF,O,NYR,NHL,VAN,NHL,4,3,0,21,19,
2011,CQF,B,WAS,NHL,BOS,NHL,4,3,0,16,15,
1986,DSF,H,WIN,NHL,CAL,NHL,4,2,0,22,15,
1993,CQF,H,DAL,NHL,STL,NHL,4,0,0,16,10,
1998,CQF,C,BOS,NHL,CAR,NHL,4,2,0,16,10,
1959,SF,B,TOR,NHL,DET,NHL,4,2,0,20,16,
2005,CQF,C,NJD,NHL,NYR,NHL,4,0,0,17,4,
1923,F,,VAM,PCHA,SEA,PCHA,1,0,1,4,3,TG
1943,SCF,C,MTL,NHL,CHI,NHL,4,0,0,16,8,
1992,DSF,B,MTL,NHL,QUE,NHL,4,2,0,19,16,
1963,SF,A,TOR,NHL,MTL,NHL,4,3,0,17,14,
1991,DSF,F,CHI,NHL,STL,NHL,4,2,0,23,19,
1949,SCF,C,DET,NHL,NYR,NHL,4,3,0,22,17,
1983,DF,J,NYI,NHL,WAS,NHL,4,1,0,20,13,
2002,CSF,L,MIN,NHL,VAN,NHL,4,3,0,26,17,
2005,CQF,E,EDM,NHL,DET,NHL,4,2,0,19,17,
2010,CSF,K,VAN,NHL,NAS,NHL,4,2,0,14,11,
2006,CSF,L,AND,NHL,VAN,NHL,4,1,0,14,8,
1991,DSF,G,VAN,NHL,WIN,NHL,4,3,0,29,17,
1992,DF,L,LAK,NHL,VAN,NHL,4,2,0,26,25,
2005,CF,M,CAR,NHL,BUF,NHL,4,3,0,22,17,
1980,Pre,D,NYR,NHL,LAK,NHL,3,1,0,23,12,
1989,DSF,B,MTL,NHL,BUF,NHL,4,2,0,17,13,
2001,CQF,A,MTL,NHL,BOS,NHL,4,2,0,20,18,
1995,CQF,G,CHI,NHL,CAL,NHL,4,0,0,16,7,
1992,DSF,H,LAK,NHL,CAL,NHL,4,2,0,33,28,
1950,SF,A,MTL,NHL,DET,NHL,4,2,0,13,12,
2011,CF,M,NJD,NHL,NYR,NHL,4,2,0,15,14,
2010,CQF,G,DET,NHL,PHO,NHL,4,0,0,18,10,
2008,CQF,E,AND,NHL,SJS,NHL,4,2,0,18,10,
1995,CQF,F,COL,NHL,VAN,NHL,4,2,0,24,17,
1927,QF,B,NYR,NHL,PIP,NHL,1,1,0,6,4,TG
1921,SCF,,TRS,NHL,VML,PCHA,3,2,0,16,9,
1988,DF,I,MTL,NHL,BOS,NHL,4,1,0,16,13,
1952,SF,A,BOS,NHL,DET,NHL,4,2,0,21,21,
1981,DF,J,CHI,NHL,STL,NHL,4,2,0,23,19,
2009,SCF,O,CHI,NHL,PHI,NHL,4,2,0,25,22,
2000,CSF,L,STL,NHL,DAL,NHL,4,0,0,13,6,
2010,CQF,E,VAN,NHL,CHI,NHL,4,3,0,16,22,
2011,SCF,O,LAK,NHL,NJD,NHL,4,2,0,16,8,
1996,CQF,H,ANA,NHL,PHO,NHL,4,3,0,17,17,
1924,F,,MTL,NHL,HAM,NHL,0,0,0,0,0,DEF
1983,DF,L,EDM,NHL,CAL,NHL,4,3,0,33,27,
1995,CQF,H,STL,NHL,TOR,NHL,4,2,0,21,15,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
2009,CQF,H,DET,NHL,PHO,NHL,4,3,0,26,18,
1938,QF,C,DET,NHL,MTL,NHL,2,1,0,8,5,
1930,SF,D,CHI,NHL,NYR,NHL,2,0,0,3,0,TG
1941,QF,B,BOS,NHL,CHI,NHL,2,1,0,5,7,
1968,SF,F,STL,NHL,LAK,NHL,4,0,0,16,5,
1978,SF,,EDO,WHA,NEW,WHA,4,3,0,35,29,
1977,SCF,K,MTL,NHL,BOS,NHL,4,2,0,18,13,
1976,ACF,,QUN,WHA,WIJ,WHA,4,3,0,31,28,
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
1994,SCF,O,NJD,NHL,DET,NHL,4,0,0,16,7,
1974,QF,E,PHI,NHL,TOR,NHL,4,0,0,15,6,
