year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1975,NHL,WAS,WAS,WA,NO,5,,80,11,59,10.0,,32,,,224,394,Washington Capitals,951,8,53,375,3,64,252,2
1995,NHL,DET,DET,WC,CE,1,CF,82,62,13,7.0,,131,,,325,181,Detroit Red Wings,1551,18,97,455,9,44,375,17
1984,NHL,NYI,NYI,WA,PT,3,DF,80,40,34,6.0,,86,,,345,312,New York Islanders,1516,4,71,277,7,68,386,14
1958,NHL,MTL,MTL,,,1,SC,70,39,18,13.0,,91,,,258,158,Montreal Canadiens,760,,,,,,,
1992,NHL,CHI,CHI,CC,NO,1,DSF,84,47,25,12.0,,106,,,279,230,Chicago Blackhawks,2394,12,94,510,10,81,490,14
2010,NHL,DAL,DAL,WC,PC,5,,82,42,29,,11,95,5,7,227,233,Dallas Stars,1066,14,55,306,15,55,277,10
1975,NHL,ATF,CAL,CC,PT,3,PRE,80,35,33,12.0,,82,,,262,237,Atlanta Flames,928,14,56,292,5,43,277,7
1985,NHL,LAK,LAK,CC,SM,5,,80,23,49,8.0,,54,,,284,389,Los Angeles Kings,2004,16,69,393,16,103,364,9
1986,NHL,MNS,DAL,CC,NO,5,,80,30,40,10.0,,70,,,296,314,Minnesota North Stars,1936,20,83,355,18,92,376,9
1975,WHA,EDO,EDM,,CW,4,AVQF,81,27,49,5.0,,59,,,268,345,Edmonton Oilers,991,,53,293,10,58,273,8
1973,NHL,PHI,PHI,,WD,1,SC,78,50,16,12.0,,112,,,273,164,Philadelphia Flyers,1750,10,60,269,6,49,422,20
1996,NHL,COL,COL,WC,PC,1,CF,82,49,24,9.0,,107,,,277,205,Colorado Avalanche,1361,24,83,403,12,42,339,14
1919,NHL,TRS,TOR,,,3,,24,12,12,0.0,,24,,,119,106,Toronto St. Patricks,253,,,,,,,
2005,NHL,TBL,TBL,EC,SE,2,CQF,82,43,33,,6,92,6,4,252,260,Tampa Bay Lightning,959,22,81,485,11,72,391,11
2007,NHL,CHI,CHI,WC,CE,3,,82,40,34,,8,88,5,4,239,235,Chicago Blackhawks,1383,12,58,365,6,69,385,17
2010,NHL,NYI,NYI,EC,AT,5,,82,30,39,,13,73,4,6,229,264,New York Islanders,1515,26,52,302,7,52,310,15
1930,NHL,CHI,CHI,,AM,2,F,44,24,17,3.0,,51,,,108,78,Chicago Black Hawks,407,,,,,,,
1922,WCHL,SAC,SAS,,,4,,30,8,20,2.0,,18,,,91,125,Saskatoon Crescents,,,,,,,,
1999,NHL,TOR,TOR,EC,NE,1,CSF,82,45,27,7.0,3,100,,,246,222,Toronto Maple Leafs,1103,12,57,321,5,58,330,11
1934,NHL,CHI,CHI,,AM,2,QF,48,26,17,5.0,,57,,,118,88,Chicago Black Hawks,387,,,,,,,
1982,NHL,MNS,DAL,CC,NO,2,DF,80,40,24,16.0,,96,,,321,290,Minnesota North Stars,1520,16,91,345,20,67,347,17
