playerid,year,stint,tmid,w,l,sa,ga
priceca01,2008,1,MTL,5,6,35,13
andercr01,2011,1,OTT,6,1,25,7
hardijo01,2008,1,MIN,0,1,2,1
masonch02,2007,1,NAS,1,4,13,5
khabini01,2005,1,CHI,2,1,15,5
schneco01,2011,1,VAN,2,1,8,3
bouchbr01,2005,1,PHO,1,0,3,0
leclapa01,2008,1,CBS,0,1,3,2
tellqmi01,2006,2,PHO,3,1,16,4
dubnyde01,2009,1,EDM,2,1,11,3
conklty01,2009,1,STL,2,2,10,5
weekeke01,2008,1,NJD,2,0,6,2
lundqhe01,2010,1,NYR,7,3,46,7
bryzgil01,2006,1,AND,0,4,13,6
budajpe01,2010,1,COL,3,0,14,1
andercr01,2010,2,OTT,2,1,12,1
vokouto01,2008,1,FLO,3,4,19,6
priceca01,2011,1,MTL,5,8,40,14
dubiewa01,2009,1,MIN,1,0,2,0
reimeja01,2011,1,TOR,2,1,8,3
cloutda01,2007,1,LAK,1,0,4,1
scrivbe01,2011,1,TOR,1,1,5,2
wardca01,2010,1,CAR,5,4,25,6
priceca01,2009,1,MTL,2,3,17,5
ersbeer01,2009,1,LAK,1,2,16,7
niemian02,2009,1,CHI,6,2,32,6
bachmri01,2011,1,DAL,0,1,3,1
fleurma01,2005,1,PIT,0,2,5,4
dunhami01,2005,1,ATL,0,2,4,3
masonch02,2010,1,ATL,2,2,17,4
gerbema01,2006,1,OTT,1,2,10,3
greisth01,2009,1,SJS,1,0,6,0
dipieri01,2011,1,NYI,0,1,3,1
osgooch01,2009,1,DET,1,2,8,4
dipieri01,2007,1,NYI,3,2,21,6
hardijo01,2006,1,MIN,0,1,3,1
macdojo01,2006,1,DET,0,1,7,3
masonst01,2008,1,CBS,6,5,31,9
macdojo01,2011,1,DET,1,1,9,3
dipieri01,2005,1,NYI,8,3,41,12
hardijo01,2009,1,MIN,2,0,10,1
lehtoka01,2009,1,DAL,1,0,4,0
varlasi01,2011,1,COL,8,0,24,2
belfoed01,2005,1,TOR,2,4,14,6
garonma01,2007,1,EDM,10,0,32,2
vokouto01,2011,1,WAS,1,1,4,2
munroad01,2005,1,CHI,0,1,4,2
sanfocu01,2011,1,CBS,2,3,15,5
vokouto01,2006,1,NAS,2,3,17,7
koskimi01,2010,1,NYI,1,0,4,0
tellqmi01,2005,1,TOR,1,1,5,2
conklty01,2006,1,CBS,1,1,5,2
legacma01,2008,1,STL,3,1,13,4
lehtoka01,2008,1,ATL,4,1,22,5
labarja01,2008,2,VAN,0,2,9,5
hackema01,2011,1,MIN,1,0,5,2
labarja01,2007,1,LAK,2,1,10,5
fernama01,2006,1,MIN,7,1,32,9
toskave01,2009,1,TOR,1,1,4,2
bironma01,2009,1,NYI,2,1,8,3
ersbeer01,2007,1,LAK,1,1,10,2
lehtoka01,2010,1,DAL,3,7,33,14
backsni01,2009,1,MIN,2,7,38,14
ramoka01,2007,1,TBL,0,1,2,2
hedbejo01,2010,1,NJD,2,1,11,3
wardca01,2011,1,CAR,1,4,14,6
halakja01,2010,1,STL,3,4,29,10
theodjo01,2010,1,MIN,2,1,15,7
wardca01,2008,1,CAR,2,4,19,7
johnsbr02,2006,1,WAS,0,5,20,7
smithmi02,2011,1,PHO,6,8,46,15
drouije01,2008,1,EDM,1,0,3,0
sanfocu01,2006,1,STL,0,2,6,5
labarja01,2011,1,PHO,0,2,11,7
sabouda01,2007,1,PIT,4,1,26,6
josepcu01,2005,1,PHO,3,2,19,6
brodema01,2006,1,NJD,10,6,60,20
garnemi01,2005,1,ATL,0,2,8,4
luongro01,2005,1,FLO,4,4,27,7
nabokev01,2009,1,SJS,6,6,50,13
legacma01,2006,1,STL,5,3,25,7
leclapa01,2007,1,CBS,3,4,23,10
huetcr01,2008,1,CHI,2,2,12,5
toivoha01,2005,1,BOS,0,1,3,2
denisma01,2007,1,TBL,1,0,3,0
shielst01,2005,1,ATL,0,1,2,1
auldal01,2010,1,MTL,0,1,4,1
turcoma01,2005,1,DAL,8,1,24,6
thomati01,2007,1,BOS,3,4,18,6
kolesvi01,2005,1,COL,1,0,7,0
huetcr01,2009,1,CHI,3,4,38,13
dubiewa01,2006,1,NYI,2,0,6,1
huetcr01,2007,1,MTL,2,3,13,5
burkese01,2005,1,TBL,2,3,11,5
bishobe01,2011,1,OTT,0,2,6,3
lindban01,2011,1,NAS,1,0,3,0
raycran01,2007,1,TOR,0,1,6,2
gigueje01,2006,1,AND,4,6,39,13
quickjo01,2010,1,LAK,10,0,44,8
millery01,2005,1,BUF,3,2,17,5
josepcu01,2006,1,PHO,2,1,13,2
priceca01,2010,1,MTL,3,2,24,6
fernama01,2008,1,BOS,0,2,9,4
budajpe01,2009,1,COL,0,1,5,1
emeryra01,2009,1,PHI,2,1,9,2
conklty01,2005,1,EDM,0,1,2,2
garonma01,2011,1,TBL,1,1,6,1
raycran01,2009,1,VAN,2,1,12,6
peterju01,2010,1,CAR,0,1,2,2
quickjo01,2009,1,LAK,8,6,51,17
andercr01,2006,1,FLO,1,0,2,0
khabini01,2006,1,CHI,4,4,33,11
divisre01,2005,1,STL,0,1,3,2
brodema01,2007,1,NJD,8,4,43,11
valiqst01,2007,1,NYR,2,2,11,3
elliobr01,2008,1,OTT,2,2,16,6
kiprumi01,2005,1,CAL,1,7,23,12
budajpe01,2005,1,COL,0,5,14,9
