year,lgid,tmid,oppid,w,l,t,otl
1927,NHL,BOS,PIP,1,2,3.0,
2006,NHL,WAS,EDM,0,1,,0
1999,NHL,DET,ATL,2,0,0.0,0
1977,NHL,MTL,NYR,3,1,0.0,
1998,NHL,PIT,BOS,1,2,1.0,
1985,NHL,QUE,CHI,2,1,0.0,
1921,WCHL,EDE,CAT,3,5,0.0,
1990,NHL,QUE,MNS,0,3,0.0,
1994,NHL,NYI,HAR,1,2,0.0,
2008,NHL,BOS,DET,1,0,,0
1926,NHL,PIP,MTM,2,1,1.0,
1971,NHL,DET,STL,2,3,1.0,
1992,NHL,BUF,MTL,2,5,0.0,
2010,NHL,NAS,MIN,3,1,,0
1998,NHL,BUF,EDM,0,2,0.0,
2001,NHL,DAL,NYR,1,1,0.0,0
1998,NHL,FLO,STL,0,1,1.0,
1981,NHL,CHI,WAS,2,1,0.0,
1982,NHL,NJD,DET,1,1,1.0,
1954,NHL,NYR,MTL,3,10,1.0,
2006,NHL,BOS,CBS,0,0,,1
2009,NHL,CBS,STL,3,2,,1
1997,NHL,NYR,FLO,3,1,1.0,
2001,NHL,NJD,DAL,1,0,0.0,0
1993,NHL,NYI,CAL,1,1,0.0,
2009,NHL,COL,STL,4,0,,0
1997,NHL,WAS,VAN,2,0,0.0,
1983,NHL,EDM,NYI,0,3,0.0,
2003,NHL,WAS,CBS,1,0,0.0,0
1975,NHL,ATF,NYR,3,2,1.0,
1989,NHL,EDM,HAR,0,1,2.0,
1974,NHL,TOR,CHI,2,2,0.0,
2011,NHL,NAS,DAL,2,2,,0
1978,NHL,LAK,CHI,3,1,0.0,
1996,NHL,SJS,EDM,2,4,0.0,
1970,NHL,MTL,STL,3,1,2.0,
2001,NHL,MIN,STL,2,0,1.0,1
1979,NHL,CHI,DET,3,1,0.0,
1999,NHL,NYI,BUF,1,2,1.0,0
1988,NHL,WIN,HAR,1,2,0.0,
2005,NHL,VAN,DAL,1,3,,0
2011,NHL,EDM,TBL,0,0,,1
1999,NHL,EDM,PHO,3,0,0.0,1
1991,NHL,NYI,BUF,2,1,0.0,
1998,NHL,DET,EDM,3,1,0.0,
1981,NHL,TOR,DET,3,3,1.0,
1967,NHL,DET,MNS,2,2,0.0,
2000,NHL,ANA,DAL,0,4,0.0,1
2002,NHL,PIT,SJS,1,1,0.0,0
2008,NHL,SJS,CAL,2,2,,0
1992,NHL,TBL,CHI,1,4,2.0,
1984,NHL,WIN,VAN,5,2,1.0,
1909,NHA,REN,MOS,1,0,1.0,
2010,NHL,CAR,CHI,0,1,,0
1980,NHL,CAL,MNS,2,2,0.0,
2003,NHL,STL,EDM,2,1,1.0,0
1982,NHL,NYR,DET,2,0,1.0,
1955,NHL,DET,MTL,4,8,2.0,
2007,NHL,OTT,STL,1,0,,0
1983,NHL,WAS,HAR,2,1,0.0,
1997,NHL,DAL,NJD,2,0,0.0,
2010,NHL,NYI,MIN,1,0,,0
2011,NHL,MTL,NYR,2,2,,0
2010,NHL,CBS,LAK,1,2,,1
1983,NHL,EDM,DET,3,0,0.0,
1978,NHL,LAK,MNS,3,1,0.0,
2003,NHL,MIN,NAS,0,2,2.0,0
1972,NHL,NYR,PIT,3,2,0.0,
1988,NHL,PHI,STL,0,3,0.0,
1959,NHL,NYR,MTL,6,6,2.0,
