playerid,year,ppa,sha
hardyma01,1987,10,1
tantito01,1990,5,
broteaa01,1990,1,
maclebr01,1988,8,
hrdinji01,1990,4,
playfla01,1988,,1
erickbr01,1987,6,
carpebo01,1988,4,
loisecl01,1990,1,1
libaig01,1988,6,
dineego01,1988,2,
ruffli01,1988,1,
paslagr01,1990,3,1
archida01,1989,4,
ciccadi01,1988,10,1
picarro02,1989,1,1
donnemi01,1987,2,
ledyagr01,1988,6,
sanipev01,1989,2,
brownro01,1990,10,
petitmi01,1990,16,
butchga01,1990,3,2
deblolu01,1990,,1
charbjo01,1988,1,
kurveto01,1990,15,
mcintjo01,1990,,2
krushmi01,1990,3,
brownje02,1989,24,
zezelpe01,1990,5,1
proppbr01,1989,9,
duguaro01,1987,2,
joycebo01,1989,3,
huberwi01,1987,14,
ysebapa01,1990,4,1
josepch01,1987,6,
hullbr01,1987,10,
kontoch01,1987,6,
cullejo01,1990,29,
murphla01,1990,19,
brookbo01,1989,1,2
tuckejo01,1990,1,
laughcr01,1987,3,
samueul01,1990,,2
bodgedo01,1988,25,1
murphla01,1988,22,
jonssto01,1988,24,
bennibr01,1989,5,
mckegto01,1990,7,
franclo01,1990,1,1
smaildo01,1990,1,1
larsore01,1988,14,
goulemi01,1989,15,1
dahlqch01,1990,,1
actonke01,1988,,1
fentopa01,1990,2,
macivno01,1988,19,
creigad01,1988,7,
huntema01,1990,4,
wilsoca01,1987,9,3
lemiejo01,1989,1,1
skrikpe01,1990,5,
kaspest01,1988,6,2
courtru01,1988,2,
pederma01,1990,7,
hunteda01,1988,,1
klimape01,1989,11,
momesse01,1990,1,
petitmi01,1987,9,1
bassebo01,1988,,1
nichobe01,1989,37,1
wilsoca01,1990,4,
rousebo01,1988,,1
maroima01,1988,3,
frycemi01,1988,3,
courtge01,1987,7,
lawlepa01,1987,3,
johanca01,1988,7,
pavesji01,1987,1,
vaiveri01,1988,15,
sheehne01,1987,1,
quinnda01,1990,18,
kennede01,1988,,2
stastpe01,1989,23,
murphla01,1990,19,
hunteda01,1988,,1
huberwi01,1987,14,
duguaro01,1987,2,
ledyagr01,1987,5,
rousebo01,1988,,1
momesse01,1990,1,
stastpe01,1989,23,
maclebr01,1988,8,
kaspest01,1988,6,2
carsoji01,1989,5,
johanca01,1988,7,
broteaa01,1989,3,
sheehne01,1987,1,
cunnera01,1989,4,
kurveto01,1990,15,
pederma01,1990,7,
smaildo01,1990,1,1
wilsoca01,1990,4,
tuckejo01,1990,1,
sandsto01,1989,20,
poulida02,1989,1,1
hardyma01,1988,5,
konrost01,1988,1,1
allismi01,1987,5,
charbjo01,1988,1,
dineego01,1988,2,
murphla01,1988,22,
fentopa01,1990,2,
foligmi01,1990,1,
petitmi01,1990,16,
skrikpe01,1990,5,
adamsgr01,1988,1,
larsore01,1988,14,
hullbr01,1987,10,
joycebo01,1989,3,
kennede01,1988,,2
mckegto01,1990,7,
gingrga01,1987,9,
dahlqch01,1990,,1
samueul01,1990,,2
zezelpe01,1988,17,
nichobe01,1989,37,1
loisecl01,1990,1,1
gartnmi01,1989,14,1
cyrpa01,1987,1,
frasecu01,1987,2,
hunteda01,1987,1,4
malondo01,1988,2,
macdepa01,1989,2,
brownro01,1990,10,
ciccadi01,1988,10,1
tuckejo01,1989,6,
adamsgr01,1989,1,
tantito01,1990,5,
franclo01,1990,1,1
playfla01,1988,,1
klimape01,1989,11,
wilsoca01,1988,19,
brownje02,1989,24,
mcdonhu01,1989,1,
bassebo01,1988,,1
linseke01,1989,8,
cullejo01,1990,29,
lawlepa01,1987,3,
courtru01,1988,2,
goulemi01,1989,15,1
robergo01,1987,3,
carpebo01,1988,4,
pavesji01,1987,1,
deblolu01,1990,,1
petitmi01,1987,9,1
iafraal01,1990,11,1
nylunga01,1988,1,
ysebapa01,1990,4,1
ferrara01,1990,5,
zezelpe01,1990,5,1
lawtobr01,1988,4,
maclebr01,1988,8,
kontoch01,1987,6,
playfla01,1988,,1
gartnmi01,1989,14,1
halwado01,1988,1,
kurveto01,1990,15,
creigad01,1988,7,
ruotsre01,1989,9,
franclo01,1990,1,1
foligmi01,1990,1,
frasecu01,1987,2,
klimape01,1989,11,
cullejo01,1990,29,
butchga01,1990,3,2
hunteda01,1987,1,4
mcbeawa01,1988,1,
grahadi01,1987,7,1
murphla01,1990,19,
donnemi01,1987,2,
brookbo01,1989,1,2
krushmi01,1990,3,
archida01,1989,4,
pavesji01,1987,1,
allismi01,1987,5,
bullami01,1988,13,
adamsgr01,1989,1,
ruotsre01,1989,9,
josepch01,1987,6,
robergo01,1987,3,
iafraal01,1990,11,1
butchga01,1990,3,2
maroima01,1988,3,
lawtobr01,1989,1,
playfla01,1988,,1
kontoch01,1987,6,
wilsoca01,1987,9,3
ruffli01,1988,1,
crossdo01,1990,21,
gingrga01,1987,9,
sheehne01,1987,1,
manthmo01,1987,15,1
quinnda01,1989,15,1
frasecu01,1987,2,
bradlbr01,1990,10,
konrost01,1988,1,1
norwole01,1990,3,
donnemi01,1987,2,
mckegto01,1990,7,
murphla01,1988,22,
pederma01,1990,7,
dineego01,1988,2,
nichobe01,1989,37,1
kaspest01,1988,6,2
broteaa01,1989,3,
