year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1909,NHA,OT1,STE,,,2,,12,9,3,0,,18,,,89,66,Ottawa Senators,,,,,,,,
1910,NHA,MOC,MTL,,,2,,16,8,8,0,,16,,,66,62,Montreal Canadiens,,,,,,,,
1910,NHA,OT1,STE,,,1,,16,13,3,0,,26,,,122,69,Ottawa Senators,,,,,,,,
1911,NHA,MOC,MTL,,,4,,18,8,10,0,,16,,,59,66,Montreal Canadiens,,,,,,,,
1911,NHA,OT1,STE,,,2,,18,9,9,0,,18,,,99,93,Ottawa Senators,,,,,,,,
1911,PCHA,VA1,SPO,,,3,,16,7,9,0,,14,,,81,90,Victoria Aristocrats,,,,,,,,
1911,PCHA,VML,VMR,,,2,,15,7,8,0,,14,,,102,94,Vancouver Millionaires,,,,,,,,
1912,NHA,MOC,MTL,,,5,,20,9,11,0,,18,,,83,81,Montreal Canadiens,,,,,,,,
1912,NHA,OT1,STE,,,3,,20,9,11,0,,18,,,87,81,Ottawa Senators,,,,,,,,
1912,NHA,TBS,TBS,,,4,,20,9,11,0,,18,,,86,95,Toronto Blueshirts,,,,,,,,
1912,PCHA,VA1,SPO,,,1,WCS,15,10,5,0,,20,,,68,56,Victoria Aristocrats,,,,,,,,
1912,PCHA,VML,VMR,,,2,,14,7,7,0,,14,,,71,68,Vancouver Millionaires,,,,,,,,
1913,NHA,MOC,MTL,,,2,NHAF,20,13,7,0,,26,,,85,65,Montreal Canadiens,,,,,,,,
1913,NHA,OT1,STE,,,4,,20,11,9,0,,22,,,65,71,Ottawa Senators,,,,,,,,
1913,NHA,TBS,TBS,,,1,SC,20,13,7,0,,26,,,93,65,Toronto Blueshirts,,,,,,,,
1913,PCHA,VA1,SPO,,,1,F,16,10,6,0,,20,,,86,80,Victoria Aristocrats,,,,,,,,
1913,PCHA,VML,VMR,,,2,,16,7,9,0,,14,,,89,89,Vancouver Millionaires,,,,,,,,
1914,NHA,MOC,MTL,,,6,,20,6,14,0,,12,,,65,81,Montreal Canadiens,,,,,,,,
1914,NHA,OT1,STE,,,1,F,20,14,6,0,,28,,,74,65,Ottawa Senators,,,,,,,,
1914,NHA,TBS,TBS,,,4,,20,8,12,0,,16,,,66,84,Toronto Blueshirts,,,,,,,,
1914,PCHA,VA1,SPO,,,3,,17,4,13,0,,8,,,64,116,Victoria Aristocrats,,,,,,,,
1914,PCHA,VML,VMR,,,1,SC,17,13,4,0,,26,,,115,71,Vancouver Millionaires,,,,,,,,
1915,NHA,MOC,MTL,,,1,SC,24,16,7,1,,33,,,104,76,Montreal Canadiens,,,,,,,,
1915,NHA,OT1,STE,,,2,,24,13,11,0,,26,,,78,72,Ottawa Senators,,,,,,,,
1915,PCHA,SEA,SEA,,,3,,18,9,9,0,,18,,,68,67,Seattle Metropolitans,,,,,,,,
1915,NHA,TBS,TBS,,,5,,24,9,14,1,,19,,,97,98,Toronto Blueshirts,,,,,,,,
1915,PCHA,VA1,SPO,,,4,,18,5,13,0,,10,,,74,102,Victoria Aristocrats,,,,,,,,
1915,PCHA,VML,VMR,,,2,,18,9,9,0,,18,,,75,69,Vancouver Millionaires,,,,,,,,
1916,NHA,MOC,MTL,,,2,F,20,10,10,0,,20,,,89,80,Montreal Canadiens,,,,,,,,
1916,NHA,OT1,STE,,,1,NHAF,20,15,5,0,,30,,,119,63,Ottawa Senators,,,,,,,,
1916,PCHA,SEA,SEA,,,1,SC,24,16,8,0,,32,,,125,80,Seattle Metropolitans,,,,,,,,
1916,NHA,TBS,TBS,,,4,,14,7,7,0,,14,,,64,61,Toronto Blueshirts,,,,,,,,
1916,PCHA,VML,VMR,,,2,,23,14,9,0,,28,,,131,124,Vancouver Millionaires,,,,,,,,
1917,NHL,MTL,MTL,,,1,NHLF,22,13,9,0,,26,,,115,84,Montreal Canadiens,336,,,,,,,
1917,NHL,OTS,STE,,,3,,22,9,13,0,,18,,,102,114,Ottawa Senators,333,,,,,,,
1917,PCHA,SEA,SEA,,,1,PF,18,11,7,0,,22,,,67,65,Seattle Metropolitans,,,,,,,,
1917,NHL,TOA,TOR,,,1,SC,22,13,9,0,,26,,,108,109,Toronto Arenas,355,,,,,,,
1917,PCHA,VML,VMR,,,2,F,18,9,9,0,,18,,,70,60,Vancouver Millionaires,,,,,,,,
1918,NHL,MTL,MTL,,,2,ND,18,10,8,0,,20,,,88,78,Montreal Canadiens,253,,,,,,,
1918,NHL,OTS,STE,,,1,NHLF,18,12,6,0,,24,,,71,53,Ottawa Senators,241,,,,,,,
1918,PCHA,SEA,SEA,,,2,ND,20,11,9,0,,22,,,66,46,Seattle Metropolitans,,,,,,,,
1918,NHL,TOA,TOR,,,3,,18,5,13,0,,10,,,64,92,Toronto Arenas,269,,,,,,,
1918,PCHA,VML,VMR,,,1,PF,20,12,8,0,,24,,,72,55,Vancouver Millionaires,,,,,,,,
1919,NHL,MTL,MTL,,,2,,24,13,11,0,,26,,,129,113,Montreal Canadiens,297,,,,,,,
1919,NHL,OTS,STE,,,1,SC,24,19,5,0,,38,,,121,64,Ottawa Senators,305,,,,,,,
1919,PCHA,SEA,SEA,,,1,F,22,12,10,0,,24,,,59,55,Seattle Metropolitans,,,,,,,,
1919,NHL,TRS,TOR,,,3,,24,12,12,0,,24,,,119,106,Toronto St. Patricks,253,,,,,,,
1919,PCHA,VML,VMR,,,2,PF,22,11,11,0,,22,,,75,65,Vancouver Millionaires,,,,,,,,
1920,NHL,MTL,MTL,,,3,,24,13,11,0,,26,,,112,99,Montreal Canadiens,325,,,,,,,
1920,NHL,OTS,STE,,,2,SC,24,14,10,0,,28,,,97,75,Ottawa Senators,179,,,,,,,
1920,PCHA,SEA,SEA,,,2,PF,24,12,11,1,,25,,,77,68,Seattle Metropolitans,,,,,,,,
1920,NHL,TRS,TOR,,,1,NHLF,24,15,9,0,,30,,,105,100,Toronto St. Patricks,287,,,,,,,
1920,PCHA,VML,VMR,,,1,F,24,13,11,0,,26,,,86,79,Vancouver Millionaires,,,,,,,,
1921,WCHL,CAT,CAT,,,3,WSF,24,14,10,0,,28,,,75,62,Calgary Tigers,,,,,,,,
1921,WCHL,EDE,EDE,,,1,WF,24,15,9,0,,30,,,117,76,Edmonton Eskimos,,,,,,,,
1921,NHL,MTL,MTL,,,3,,24,12,11,1,,25,,,88,94,Montreal Canadiens,206,,,,,,,
1921,NHL,OTS,STE,,,1,NHLF,24,14,8,2,,30,,,106,84,Ottawa Senators,111,,,,,,,
1921,WCHL,REG,POR,,,2,SCSF,24,14,10,0,,28,,,94,78,Regina Capitals,,,,,,,,
1921,PCHA,SEA,SEA,,,1,PF,24,12,11,1,,25,,,65,64,Seattle Metropolitans,,,,,,,,
1921,NHL,TRS,TOR,,,2,SC,24,13,10,1,,27,,,98,97,Toronto St. Patricks,160,,,,,,,
1921,PCHA,VML,VMR,,,2,F,24,12,12,0,,24,,,77,68,Vancouver Millionaires,,,,,,,,
1922,WCHL,CAT,CAT,,,3,,30,12,18,0,,24,,,91,106,Calgary Tigers,,,,,,,,
1922,WCHL,EDE,EDE,,,1,F,30,19,10,1,,39,,,112,90,Edmonton Eskimos,,,,,,,,
1922,NHL,MTL,MTL,,,2,NHLF,24,13,9,2,,28,,,73,61,Montreal Canadiens,193,,,,,,,
1922,NHL,OTS,STE,,,1,SC,24,14,9,1,,29,,,77,54,Ottawa Senators,195,,,,,,,
1922,WCHL,REG,POR,,,2,WF,30,16,14,0,,32,,,93,97,Regina Capitals,,,,,,,,
1922,PCHA,SEA,SEA,,,3,,30,15,15,0,,30,,,100,106,Seattle Metropolitans,,,,,,,,
1922,NHL,TRS,TOR,,,3,,24,13,10,1,,27,,,82,88,Toronto St. Patricks,241,,,,,,,
1922,PCHA,VAM,VMR,,,1,SCSF,30,17,12,1,,35,,,116,88,Vancouver Maroons,,,,,,,,
1923,WCHL,CAT,CAT,,,1,F,30,18,11,1,,37,,,83,72,Calgary Tigers,,,,,,,,
1923,WCHL,EDE,EDE,,,4,,30,11,15,4,,26,,,69,81,Edmonton Eskimos,,,,,,,,
1923,NHL,MTL,MTL,,,2,SC,24,13,11,0,,26,,,59,48,Montreal Canadiens,187,,,,,,,
1923,NHL,OTS,STE,,,1,NHLF,24,16,8,0,,32,,,74,54,Ottawa Senators,178,,,,,,,
1923,WCHL,REG,POR,,,2,WF,30,17,11,2,,36,,,83,67,Regina Capitals,,,,,,,,
1923,PCHA,SEA,SEA,,,1,PF,30,14,16,0,,28,,,84,99,Seattle Metropolitans,,,,,,,,
1923,NHL,TRS,TOR,,,3,,24,10,14,0,,20,,,59,85,Toronto St. Patricks,242,,,,,,,
1923,PCHA,VAM,VMR,,,2,SCSF,30,13,16,1,,27,,,87,80,Vancouver Maroons,,,,,,,,
1924,NHL,BOS,BOS,,,6,,30,6,24,0,,12,,,49,119,Boston Bruins,231,,,,,,,
1924,WCHL,CAT,CAT,,,1,WF,28,17,11,0,,34,,,96,80,Calgary Tigers,,,,,,,,
1924,WCHL,EDE,EDE,,,4,,28,14,13,1,,29,,,97,109,Edmonton Eskimos,,,,,,,,
1924,NHL,MTL,MTL,,,3,F,30,17,11,2,,36,,,93,56,Montreal Canadiens,406,,,,,,,
1924,NHL,MTM,MTM,,,5,,30,9,19,2,,20,,,45,65,Montreal Maroons,292,,,,,,,
