coachid,award,year,lgid,note
bowmasc01c,Jack Adams,1995,NHL,
huculsa01c,Schmertz,1974,WHA,
rossar01c,First Team All-Star,1938,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
vigneal01c,Jack Adams,2006,NHL,
demerja01c,Jack Adams,1986,NHL,
rossar01c,Second Team All-Star,1937,NHL,
patrile01c,First Team All-Star,1937,NHL,
tortojo01c,Jack Adams,2003,NHL,
crawfma01c,Jack Adams,1994,NHL,
hartce01c,Second Team All-Star,1936,NHL,
rossar01c,Second Team All-Star,1942,NHL,
kelleja01c,Baldwin,1972,WHA,
krommbo01c,Jack Adams,1977,NHL,
barbebi01c,Jack Adams,2000,NHL,
weilaco01c,First Team All-Star,1940,NHL,
patrile01c,First Team All-Star,1935,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
gormato01c,Second Team All-Star,1935,NHL,
patrile01c,First Team All-Star,1931,NHL,
sherofr01c,Jack Adams,1973,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
ruffli01c,Jack Adams,2005,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
boudrbr01c,Jack Adams,2007,NHL,
burnspa01c,Jack Adams,1997,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,First Team All-Star,1943,NHL,
bylsmda01c,Jack Adams,2010,NHL,
thomppa01c,First Team All-Star,1939,NHL,
martija02c,Jack Adams,1998,NHL,
suttebr01c,Jack Adams,1990,NHL,
cherrdo01c,Jack Adams,1975,NHL,
dineebi01c,Schmertz,1976,WHA,
adamsja01c,Second Team All-Star,1944,NHL,
wattto01c,Jack Adams,1981,NHL,
francbo01c,Jack Adams,2001,NHL,
quinnpa01c,Jack Adams,1991,NHL,
pulfobo01c,Jack Adams,1974,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
hitchke01c,Jack Adams,2011,NHL,
nolante01c,Jack Adams,1996,NHL,
patrile01c,First Team All-Star,1932,NHL,
lemaija01c,Jack Adams,2002,NHL,
krommbo01c,Schmertz,1975,WHA,
harribi01c,Baldwin,1973,WHA,
juliecl01c,Jack Adams,2008,NHL,
adamsja01c,First Team All-Star,1936,NHL,
dineebi01c,Schmertz,1977,WHA,
bouchfr01c,First Team All-Star,1941,NHL,
lemaija01c,Jack Adams,1993,NHL,
burnspa01c,Jack Adams,1988,NHL,
tessior01c,Jack Adams,1982,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
bowmasc01c,Jack Adams,1976,NHL,
irvindi01c,First Team All-Star,1944,NHL,
patrile01c,First Team All-Star,1930,NHL,
keenami01c,Jack Adams,1984,NHL,
patrile01c,First Team All-Star,1934,NHL,
demerja01c,Jack Adams,1987,NHL,
patrile01c,First Team All-Star,1933,NHL,
tippeda01c,Jack Adams,2009,NHL,
berenre01c,Jack Adams,1980,NHL,
hartce01c,Second Team All-Star,1936,NHL,
keenami01c,Jack Adams,1984,NHL,
ruffli01c,Jack Adams,2005,NHL,
patrile01c,First Team All-Star,1933,NHL,
burnspa01c,Jack Adams,1992,NHL,
vigneal01c,Jack Adams,2006,NHL,
irvindi01c,First Team All-Star,1945,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1937,NHL,
demerja01c,Jack Adams,1986,NHL,
hitchke01c,Jack Adams,2011,NHL,
patrile01c,First Team All-Star,1930,NHL,
dineebi01c,Schmertz,1977,WHA,
brophjo01c,Schmertz,1978,WHA,
irvindi01c,First Team All-Star,1943,NHL,
wattto01c,Jack Adams,1981,NHL,
patrile01c,First Team All-Star,1935,NHL,
sathegl01c,Jack Adams,1985,NHL,
thomppa01c,First Team All-Star,1939,NHL,
irvindi01c,First Team All-Star,1944,NHL,
murrabr01c,Jack Adams,1983,NHL,
dineebi01c,Schmertz,1976,WHA,
arboual01c,Jack Adams,1978,NHL,
adamsja01c,First Team All-Star,1942,NHL,
crawfma01c,Jack Adams,1994,NHL,
cherrdo01c,Jack Adams,1975,NHL,
tippeda01c,Jack Adams,2009,NHL,
boudrbr01c,Jack Adams,2007,NHL,
krommbo01c,Schmertz,1975,WHA,
barbebi01c,Jack Adams,2000,NHL,
berenre01c,Jack Adams,1980,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
bowmasc01c,Jack Adams,1995,NHL,
burnspa01c,Jack Adams,1988,NHL,
patrile01c,First Team All-Star,1932,NHL,
burnspa01c,Jack Adams,1997,NHL,
huculsa01c,Schmertz,1974,WHA,
adamsja01c,Second Team All-Star,1944,NHL,
dayha01c,Second Team All-Star,1943,NHL,
sherofr01c,Jack Adams,1973,NHL,
duttore01c,Second Team All-Star,1938,NHL,
pulfobo01c,Jack Adams,1974,NHL,
nolante01c,Jack Adams,1996,NHL,
bylsmda01c,Jack Adams,2010,NHL,
francbo01c,Jack Adams,2001,NHL,
quinnpa01c,Jack Adams,1979,NHL,
rossar01c,Second Team All-Star,1937,NHL,
murdobo01c,Jack Adams,1989,NHL,
weilaco01c,First Team All-Star,1940,NHL,
juliecl01c,Jack Adams,2008,NHL,
lemaija01c,Jack Adams,1993,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
suttebr01c,Jack Adams,1990,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
bowmasc01c,Jack Adams,1976,NHL,
tessior01c,Jack Adams,1982,NHL,
patrile01c,First Team All-Star,1934,NHL,
quennjo01c,Jack Adams,1999,NHL,
