name,id,award,year,lgid,note
Charles M. Schulz,,Patrick,1980,NHL,
Bob Johnson,johnsbo02c,Patrick,1987,NHL,
Ray Miron,,Patrick,2003,NHL,
Jack Butterfield,butteja01h,Patrick,1984,NHL,
Milt Schmidt,schmimi01,Patrick,1995,NHL,
Keith Allen,allenke01,Patrick,1987,NHL,
John Ziegler,ziegljo01h,Patrick,1983,NHL,
Len Ceglarski,,Patrick,1989,NHL,
Tom Fitzgerald,,Patrick,1977,NHL,
John Davidson,davidjo01,Patrick,2003,NHL,
Max McNab,mcnabma01,Patrick,1997,NHL,
Bob Fleming,,Patrick,1994,NHL,
Murray Armstrong,armstmu01,Patrick,1976,NHL,
Lou Vairo,,Patrick,1999,NHL,
Cooney Weiland,weilaco01,Patrick,1971,NHL,
Brian Leetch,leetcbr01,Patrick,2006,NHL,
Lynn Patrick,patrily01,Patrick,1988,NHL,posthumous
Charles L. Crovat,,Patrick,1973,NHL,posthumous
Ken Morrow,morroke01,Patrick,1995,NHL,
Art Ross,rossar01,Patrick,1983,NHL,posthumous
Lou Nanne,nannelo01,Patrick,1988,NHL,
Bill Torrey,torrebi01h,Patrick,1982,NHL,
Walter Bush,bushwa01h,Patrick,1972,NHL,
George Leader,,Patrick,1975,NHL,
Stan Fischler,,Patrick,2006,NHL,
Gil Stein,,Patrick,1992,NHL,
Phil Housley,houslph01,Patrick,2007,NHL,
Reed Larson,larsore01,Patrick,2005,NHL,
Scotty Bowman,bowmasc01c,Patrick,2000,NHL,
Bobby Orr,orrbo01,Patrick,1978,NHL,
David Poile,,Patrick,2000,NHL,
Tony Rossi,,Patrick,2010,NHL,
Dave Andrews,,Patrick,2009,NHL,
Stan Mikita,mikitst01,Patrick,1975,NHL,
William Wirtz,wirtzwi01h,Patrick,1977,NHL,
Mario Lemieux,lemiema01,Patrick,1999,NHL,
Jerry York,,Patrick,2009,NHL,
Mark Johnson,johnsma02,Patrick,2010,NHL,
Bud Poile,poilebu01,Patrick,1988,NHL,
Dan Kelly,kellyda01,Patrick,1988,NHL,
John B. Sollenberger,,Patrick,1970,NHL,posthumous
Bob Pulford,pulfobo01,Patrick,2010,NHL,
Robert Ridder,,Patrick,1993,NHL,
Mike Ilitch,ilitcmi01h,Patrick,1990,NHL,
Bruce Norris,norribr01h,Patrick,1975,NHL,
Jack Riley,rileyja01,Patrick,1985,NHL,
Marcel Dionne,dionnma01,Patrick,2005,NHL,
Willie O'Ree,oreewi01,Patrick,2002,NHL,
Ed Jeremiah,jeremed01,Patrick,1968,NHL,posthumous
Gordie Howe,howego01,Patrick,1966,NHL,
Ted Lindsay,lindste01,Patrick,2007,NHL,
Bobby Hull,hullbo01,Patrick,1968,NHL,
Art Berglund,,Patrick,1991,NHL,
Glen Sonmor,sonmogl01,Patrick,2005,NHL,
Weston Adams,adamswe01h,Patrick,1973,NHL,posthumous
Murray Murdoch,murdomu01,Patrick,1973,NHL,
Donald Clark,,Patrick,1974,NHL,
Mike Richter,richtmi01,Patrick,2008,NHL,
Red Berenson,berenre01,Patrick,2005,NHL,
John Mayasich,,Patrick,1997,NHL,
Cammi Granato,,Patrick,2006,NHL,
Cam Neely,neelyca01,Patrick,2009,NHL,
James Norris,norrija02h,Patrick,1966,NHL,posthumous
James D. Norris,norrija03h,Patrick,1971,NHL,posthumous
Jim Devellano,,Patrick,2008,NHL,
1998 U.S. Olympic Women's Hockey Team,,Patrick,1998,NHL,
Larry Pleau,pleaula01,Patrick,2001,NHL,
Jack Adams,adamsja01,Patrick,1965,NHL,
Walter Brown,brownwa02h,Patrick,1967,NHL,posthumous
Terry Sawchuk,sawchte01,Patrick,1970,NHL,posthumous
Jack Parker,,Patrick,2009,NHL,
Al Arbour,arboual01,Patrick,1991,NHL,
Seymour H. Knox III,,Patrick,1996,NHL,posthumous
Jim Hendy,hendyji01h,Patrick,1969,NHL,posthumous
William Tutt,tuttwi01h,Patrick,1977,NHL,
Clarence Campbell,campbcl01h,Patrick,1971,NHL,
George Gund,,Patrick,1995,NHL,
Pat LaFontaine,lafonpa01,Patrick,1996,NHL,
Gary Bettman,,Patrick,2000,NHL,
Peter Karmanos,,Patrick,1997,NHL,
Rod Gilbert,gilbero01,Patrick,1990,NHL,
Arthur Wirtz,wirtzar01h,Patrick,1984,NHL,
Tommy Ivan,ivanto01c,Patrick,1974,NHL,
Jeff Sauer,,Patrick,2010,NHL,
Charles Adams,adamsch01h,Patrick,1966,NHL,posthumous
Emile Francis,francem01,Patrick,1981,NHL,
Fred Shero,sherofr01,Patrick,1979,NHL,
John Halligan,,Patrick,2006,NHL,
John Mariucci,mariujo01,Patrick,1976,NHL,
William Jennings,jenniwi01h,Patrick,1970,NHL,
Bill Cleary,,Patrick,1996,NHL,
Bruce McNall,,Patrick,1992,NHL,
Ed Snider,snideed01h,Patrick,1979,NHL,
Ron DeGregorio,,Patrick,2002,NHL,
Alex Delvecchio,delveal01,Patrick,1973,NHL,
Lou Lamoriello,lamorlo01c,Patrick,1991,NHL,
