year,hofid,name,category
1978,bathgan01h,Andy Bathgate,Player
1987,clarkbo01h,Bobby Clarke,Player
1962,humefr01h,Fred Hume,Builder
2008,larioig01h,Igor Larionov,Player
1945,phillto01h,Tommy Phillips,Player
1978,plantja01h,Jacques Plante,Player
1988,esposto01h,Tony Esposito,Player
1979,howelha01h,Harry Howell,Player
1966,brimsfr01h,Frank Brimsek,Player
1983,sindeha01h,Harry Sinden,Builder
2008,scapira01h,Ray Scapinello,Referee/Linesman
1949,bainda01h,Dan Bain,Player
1958,turnell01h,Lloyd Turner,Builder
2009,leetcbr01h,Brian Leetch,Player
2002,gillicl01h,Clark Gillies,Player
1985,cheevge01h,Gerry Cheevers,Player
1950,richage01h,George Richardson,Player
1949,rossar01h,Art Ross,Player
1947,taylocy01h,Cyclone Taylor,Player
1962,maxwest01h,Steamer Maxwell,Player
2001,gartnmi01h,Mike Gartner,Player
1990,flamafe01h,Fern Flaman,Player
2004,coffepa01h,Paul Coffey,Player
1993,lapoigu01h,Guy Lapointe,Player
2000,mullejo01h,Joe Mullen,Player
2005,costemu01h,Murray Costello,Builder
2010,develji01h,Jim Devellano,Builder
1998,conacro01h,Roy Conacher,Player
2005,kharlva01h,Valeri Kharlamov,Player
2004,fletccl01h,Cliff Fletcher,Builder
2001,fetisvi01h,Viacheslav Fetisov,Player
1963,hewitbo01h,Bobby Hewitson,Referee/Linesman
1961,stuarbr02h,Bruce Stuart,Player
1982,gilbero01h,Rod Gilbert,Player
2009,yzermst01h,Steve Yzerman,Player
1962,westwha01h,Harry Westwick,Player
1950,malonjo01h,Joe Malone,Player
1947,bowieru01h,Russell Bowie,Player
1965,marshja02h,Jack Marshall,Player
1960,kilpajo01h,John Kilpatrick,Builder
1969,hextabr01h,Bryan Hextall,Player
2008,andergl01h,Glenn Anderson,Player
1962,camerha01h,Harry Cameron,Player
1988,parkbr01h,Brad Park,Player
1963,seibeea01h,Earl Seibert,Player
1981,ashlejo01h,John Ashley,Referee/Linesman
1964,campban01h,Angus Campbell,Builder
1974,coultar01h,Art Coulter,Player
1968,hendyji01h,Jim Hendy,Builder
1958,smythco01h,Conn Smythe,Builder
1989,bauerda01h,David Bauer,Builder
1962,smithal03h,Alf Smith,Player
1962,roddemi01h,Mike Rodden,Referee/Linesman
1976,gibsoja02h,Jack Gibson,Builder
2006,brookhe01h,Herb Brooks,Builder
1965,hornere01h,Red Horner,Player
1962,pitredi01h,Didier Pitre,Player
1993,shuttst01h,Steve Shutt,Player
1945,vezinge01h,Georges Vezina,Player
2007,gregoji01h,Jim Gregory,Builder
1959,dennecy01h,Cy Denneny,Player
1993,knoxse01h,Seymour Knox,Builder
1980,lumleha01h,Harry Lumley,Player
2006,duffdi01h,Dick Duff,Player
1964,stewaja01h,Jack Stewart,Player
1945,gerared01h,Eddie Gerard,Player
1945,mcgeefr01h,Frank McGee,Player
1965,lockhth01h,Tommy Lockhart,Builder
2011,belfoed01h,Ed Belfour,Player
1987,pavelma03h,Matt Pavelich,Referee/Linesman
1972,smithho01h,Hooley Smith,Player
1963,goodfeb01h,Ebbie Goodfellow,Player
1961,loicqpa01h,Paul Loicq,Builder
1965,benedcl01h,Clint Benedict,Player
1950,davidal01h,Scotty Davidson,Player
1972,geoffbe01h,Bernie Geoffrion,Player
1962,brownwa02h,Walter Brown,Builder
2010,jamesan01h,Angela James,Player
2006,hotchha01h,Harley Hotchkiss,Builder
1985,mariujo01h,John Mariucci,Builder
1972,belivje01h,Jean Beliveau,Player
2011,gilmodo01h,Doug Gilmour,Player
1991,armstne01h,Neil Armstrong,Referee/Linesman
1961,appssy01h,Syl Apps,Player
1982,cournyv01h,Yvan Cournoyer,Player
1958,fredrfr01h,Frank Fredrickson,Player
1984,esposph01h,Phil Esposito,Player
1958,duttore01h,Red Dutton,Player
2007,macinal01h,Al MacInnis,Player
1962,mcgimbi01h,Billy McGimsie,Player
2005,neelyca01h,Cam Neely,Player
1996,arboual01h,Al Arbour,Builder
1960,bouchge01h,Georges Boucher,Player
1958,clancki01h,King Clancy,Player
1962,gardnji01h,Jim Gardner,Player
1966,blaketo01h,Toe Blake,Player
1983,mikitst01h,Stan Mikita,Player
1978,bickejo01h,John Bickell,Builder
1974,tarasan01h,Anatoli Tarasov,Builder
1958,irvindi01h,Dick Irvin,Player
1950,grantmi01h,Mike Grant,Player
1947,sutheja01h,James Sutherland,Builder
1958,hayge01h,George Hay,Player
1986,hanlebi01h,Bill Hanley,Builder
1975,pilotpi01h,Pierre Pilote,Player
1984,lemaija01h,Jacques Lemaire,Player
1994,watsoha02h,Harry Watson,Player
1979,juckego01h,Gordon Juckes,Builder
1950,drinkgr01h,Graham Drinkwater,Player
1971,jacksbu01h,Busher Jackson,Player
1950,griffsi01h,Si Griffis,Player
1962,hoopeto01h,Tom Hooper,Player
1993,lapraed01h,Edgar Laprade,Player
1988,oconnbu01h,Buddy O'Connor,Player
1995,torrebi01h,Bill Torrey,Builder
1975,bucklfr01h,Frank Buckland,Builder
1964,diliofr01h,Francis Dilio,Builder
1976,wirtzwi01h,William Wirtz,Builder
1970,lebelro01h,Bob LeBel,Builder
1962,greensh01h,Shorty Green,Player
2000,savarde01h,Denis Savard,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
1962,norrija03h,James Norris,Builder
1978,pronoma01h,Marcel Pronovost,Player
1952,boondi01h,Dickie Boon,Player
1947,caldefr01h,Frank Calder,Builder
1960,selkefr01h,Frank Selke,Builder
1962,crawfru01h,Rusty Crawford,Player
1979,orrbo01h,Bobby Orr,Player
1947,joliaau01h,Aurel Joliat,Player
1992,allenke01h,Keith Allen,Builder
1945,allanmo01h,Montagu Allan,Builder
1962,broadpu01h,Punch Broadbent,Player
1990,barbebi01h,Bill Barber,Player
1985,olmstbe01h,Bert Olmstead,Player
1945,stuarho01h,Hod Stuart,Player
1961,schmimi01h,Milt Schmidt,Player
1971,wirtzar01h,Arthur Wirtz,Builder
1966,kennete01h,Ted Kennedy,Player
1958,raymodo01h,Donat Raymond,Builder
1962,watsoha01h,Harry Watson,Player
1958,bouchfr01h,Frank Boucher,Player
1945,stanlfr01h,Frederick Stanley,Builder
1961,brownge03h,George Brown,Builder
1965,russeer01h,Ernie Russell,Player
1999,morriia01h,Scotty Morrison,Builder
1950,patrifr01h,Frank Patrick,Builder
1977,hortoti01h,Tim Horton,Player
1995,robinla01h,Larry Robinson,Player
1962,obrieja01h,Ambrose O'Brien,Builder
1962,walshma01h,Marty Walsh,Player
1996,bauerbo01h,Bobby Bauer,Player
2008,chynoed01h,Ed Chynoweth,Builder
1962,schrisw01h,Sweeney Schriner,Player
1974,ivanto01h,Tommy Ivan,Builder
1980,worslgu01h,Gump Worsley,Player
2003,lafonpa01h,Pat LaFontaine,Player
1960,walkeja01h,Jack Walker,Player
2002,langwro01h,Rod Langway,Player
1945,bakerho01h,Hobey Baker,Player
1974,burchbi01h,Billy Burch,Player
1974,dundeto01h,Tommy Dunderdale,Player
1964,chadwbi01h,Bill Chadwick,Referee/Linesman
1991,bowmasc01h,Scotty Bowman,Builder
