year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1912,SCF,,VA1,PCHA,QU1,NHA,2,1,0,16,12,EX
1913,F,,TBS,NHA,MOC,NHA,1,1,0,6,2,TG
1913,SCF,,TBS,NHA,VA1,PCHA,3,0,0,13,8,
1914,F,,OT1,NHA,MOW,NHA,1,1,0,4,1,TG
1914,SCF,,VML,PCHA,OT1,NHA,3,0,0,26,8,
1915,SCF,,MOC,NHA,PO1,PCHA,3,2,0,15,13,
1916,F,,MOC,NHA,OT1,NHA,1,1,0,7,6,TG
1916,SCF,,SEA,PCHA,MOC,NHA,3,1,0,23,11,
1917,F,,TOA,NHL,MTL,NHL,1,1,0,10,7,TG
1917,F,,VML,PCHA,SEA,PCHA,1,0,1,3,2,TG
1917,SCF,,TOA,NHL,VML,PCHA,3,2,0,18,21,
1918,F,,MTL,NHL,OTS,NHL,4,1,0,26,18,
1918,F,,SEA,PCHA,VML,PCHA,1,1,0,7,5,TG
1918,SCF,,SEA,PCHA,MTL,NHL,2,2,0,19,10,ND
1919,F,,SEA,PCHA,VML,PCHA,1,1,0,7,3,TG
1919,SCF,,SEA,PCHA,OTS,NHL,3,2,0,15,11,
1920,F,,OTS,NHL,TRS,NHL,2,0,0,7,0,TG
1920,F,,VML,PCHA,SEA,PCHA,2,0,0,13,2,TG
1920,SCF,,OTS,NHL,VML,PCHA,3,2,0,12,11,
1921,F,,TRS,NHL,OTS,NHL,1,0,1,5,4,TG
1921,F,,VML,PCHA,SEA,PCHA,2,0,0,2,0,TG
1921,SF,,REG,WCHL,CAT,WCHL,1,0,1,2,1,TG
1946,SF,A,MTL,NHL,BOS,NHL,4,1,0,16,10,
1968,SF,E,MTL,NHL,BOS,NHL,4,2,0,15,16,
1993,SCF,O,NYR,NHL,VAN,NHL,4,3,0,21,19,
1992,DSF,D,NYI,NHL,WAS,NHL,4,2,0,23,22,
