type,code,fullname
Round,QF,Quarter-Finals
Playoffs,AVC,Won AVCO Cup
Conference,WA,Wales Conference
Division,ED,East Division
Division,NO,Norris Division
Division,AT,Atlantic Division
Playoffs,SCSF,Lost Stanley Cup semi-finals
Playoffs,SF,Lost NHL semi-finals
Playoffs,CF,Lost NHL conference finals
Division,AM,American Division
Playoffs,AVF,Lost AVCO Cup finals
Round,Pre,Preliminary
Playoffs,LCS,Won Stanley Cup / Lost Challenge Series
Playoffs,WCS,Won Challenge Series
Round,SCSF,Stanley Cup Semi-Finals
Division,PC,Pacific Division
Division,SM,Smythe Division
Playoffs,AVSF,Lost AVCO Cup semi-finals
Round,WP,Western Playoff
Conference,CC,Campbell Conference
Playoffs,WSF,Lost WCHL semi-finals
Division,CW,WHA Canadian Division
Playoffs,PRE,Lost NHL preliminary round
Conference,EC,Eastern Conference
Round,SCF,Stanley Cup Finals
Playoffs,SC,Won Stanley Cup
Playoffs,NHLF,Lost NHL finals
Playoffs,AVQF,Lost AVCO Cup quarter-finals
Round,CQF,Conference Quarter-Finals
Round,ACF,Avco Cup Finals
Round,DSF,Division Semi-Finals
Division,WD,West Division
Playoffs,DF,Lost NHL division finals
Playoffs,CQF,Lost NHL conference quarter-finals
Division,CA,Canadian Division
Conference,WC,Western Conference
Round,CF,Conference Finals
Playoffs,PF,Lost PCHA finals
Division,NW,Northwest Division
Playoffs,QF,Lost NHL quarter-finals
Division,EW,WHA East Division
Round,F,Finals
Playoffs,WF,Lost WCHL finals
Round,DF,Division Finals
Division,WW,WHA West Division
Playoffs,ND,ND - Stanley Cup finals halted (influenza epidemic)
Division,PT,Patrick Division
Playoffs,DSF,Lost NHL division semi-finals
Playoffs,CSF,Lost NHL conference semi-finals
Round,SF,Semi-Finals
Division,NE,Northeast Division
Playoffs,AVPRE,Lost AVCO Cup preliminary round
Division,AD,Adams Division
Division,SE,Southeast Division
Round,CSF,Conference Semi-Finals
Playoffs,NHAF,Lost NHA finals
Playoffs,F,Lost Stanley Cup finals
Division,CE,Central Division
