year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1971,NHL,CHI,8,4,4,0,23,25,129,,3,,2,4,,2
1937,NHL,BOS,3,0,3,0,3,6,28,,,,,,,
2011,NHL,CHI,6,2,4,0,12,17,89,0,1,19,0,4,19,0
1969,NHL,NYR,6,2,4,0,16,25,169,,7,,2,6,,0
1946,NHL,DET,5,1,4,0,14,18,72,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103,,,,,,,
1981,NHL,QUE,16,7,9,0,48,60,414,8,15,66,4,15,74,2
1927,NHL,BOS,2,0,1,1,2,5,32,,,,,,,
1985,NHL,TOR,10,6,4,0,40,33,284,0,12,48,1,9,45,0
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
2011,NHL,LAK,20,16,4,0,57,30,238,6,12,94,0,6,76,5
2011,NHL,BOS,7,3,4,0,15,16,52,0,2,23,0,3,19,0
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
1977,NHL,CHI,4,0,4,0,9,19,33,0,4,15,0,4,9,0
2003,NHL,COL,11,6,5,0,26,24,154,4,9,48,0,9,47,2
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1995,NHL,PIT,18,11,7,0,57,52,351,2,16,100,0,14,96,2
1963,NHL,TOR,14,8,6,0,39,31,262,,,,,,,
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
1930,NHL,BOS,5,2,3,0,13,13,66,,,,,,,
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1987,NHL,EDM,19,16,2,1,87,56,635,8,32,117,,20,117,2
1982,NHL,MTL,3,0,3,0,2,8,51,0,1,13,0,2,7,0
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
2010,NHL,WAS,9,4,5,0,23,24,84,4,5,35,0,5,38,0
2011,NHL,PIT,6,2,4,0,26,30,149,0,9,29,3,12,23,0
1938,NHL,DET,6,3,3,0,16,15,51,,,,,,,
1993,NHL,BUF,7,3,4,0,14,14,157,0,4,38,0,6,32,0
1979,NHL,EDM,3,0,3,0,6,12,55,0,1,16,0,2,11,0
2007,NHL,MTL,12,5,7,0,33,35,133,2,8,55,2,7,44,1
1974,NHL,PIT,9,5,4,0,27,27,126,0,5,32,1,7,36,2
1956,NHL,MTL,10,8,2,0,37,18,122,,,,,,,
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
1930,NHL,NYR,4,2,2,0,8,4,35,,,,,,,
2006,NHL,BUF,16,9,7,0,44,39,162,0,11,88,1,14,75,0
1935,NHL,MTM,3,0,3,0,1,6,22,,,,,,,
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1969,NHL,BOS,14,12,2,0,65,33,330,,14,,0,14,,5
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1957,NHL,BOS,12,6,6,0,42,32,147,,,,,,,
2001,NHL,VAN,6,2,4,0,16,22,62,0,4,27,3,7,25,0
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
1955,NHL,MTL,10,8,2,0,42,18,159,,,,,,,
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
1982,NHL,PHI,3,0,3,0,9,18,75,0,3,17,0,4,16,0
1941,NHL,BOS,5,2,3,0,10,16,30,,,,,,,
1988,NHL,HAR,4,0,4,0,11,18,111,0,1,15,,4,18,1
2003,NHL,DAL,5,1,4,0,10,19,56,4,4,22,2,6,21,0
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
1931,NHL,MTL,4,1,3,0,9,13,48,,,,,,,
1997,NHL,PIT,6,2,4,0,15,18,70,0,4,33,0,5,27,3
1974,NHL,PHI,17,12,5,0,53,34,335,0,11,65,0,14,89,1
1988,NHL,CAL,22,16,6,0,82,55,563,0,28,131,,18,126,3
1949,NHL,DET,14,8,6,0,32,28,148,,,,,,,
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1996,NHL,PHI,19,12,7,0,67,55,245,4,18,94,5,19,89,3
2011,NHL,WAS,14,7,7,0,29,30,122,2,7,39,0,6,48,0
1931,NHL,DTF,2,0,1,1,1,3,10,,,,,,,
1928,NHL,NYR,6,3,2,1,5,5,64,,,,,,,
1967,NHL,STL,18,8,10,0,42,50,323,,10,,3,12,,5
2010,NHL,BOS,25,16,9,0,81,53,396,4,10,88,1,15,96,4
1992,NHL,QUE,6,2,4,0,16,19,94,2,4,18,0,4,21,0
1984,NHL,EDM,18,15,3,0,98,57,476,2,15,78,4,16,90,6
2001,NHL,LAK,7,3,4,0,13,16,72,2,1,17,0,2,26,0
2009,NHL,PIT,13,7,6,0,42,38,136,4,15,57,1,12,43,1
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1930,NHL,MTL,10,6,4,0,24,21,105,,,,,,,
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
2007,NHL,DET,22,16,6,0,72,41,243,4,20,106,0,14,98,6
1981,NHL,VAN,17,11,6,0,57,50,675,2,14,62,1,18,70,0
1975,WHA,HOU,17,8,9,0,56,64,,,,,,,,
1985,NHL,NYR,16,8,8,0,47,55,426,4,13,70,3,14,81,4
2005,NHL,BUF,18,11,7,0,60,49,220,0,16,99,2,16,92,5
1999,NHL,EDM,5,1,4,0,11,14,84,0,3,25,0,2,26,1
1980,NHL,QUE,5,2,3,0,17,22,221,4,5,24,2,2,13,0
1977,NHL,BUF,8,3,5,0,22,22,188,0,4,29,0,7,22,0
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
