coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
sutteda01c,1999,SJS,NHL,1,,82,35,37,10,12,5,7,0
wilsojo01c,1974,MIB,WHA,1,,78,21,53,4,,,,
gerared01c,1934,STE,NHL,1,,13,2,11,0,,,,
ruffli01c,2001,BUF,NHL,1,,82,35,36,11,,,,
schmimi01c,1964,BOS,NHL,1,,70,21,43,6,,,,
simpsjo01c,1933,NYA,NHL,1,,48,15,23,10,,,,
quinnpa01c,1998,TOR,NHL,1,,82,45,30,7,17,9,8,0
bylsmda01c,2011,PIT,NHL,1,,82,51,25,6,6,2,4,0
pleaula01c,1982,HAR,NHL,2,,18,4,13,1,,,,
constke01c,2001,NJD,NHL,2,,31,20,9,2,6,2,4,0
yawnetr01c,2006,CHI,NHL,1,,21,7,12,2,,,,
plageba01c,1977,STL,NHL,2,,26,9,11,6,,,,
brookhe01c,1981,NYR,NHL,1,,80,39,27,14,10,5,5,0
mckenke01c,1925,EDE,WCHL,1,,30,19,11,0,2,0,1,1
imlacpu01c,1961,TOR,NHL,1,,70,37,22,11,12,8,4,0
nealeha01c,1980,VAN,NHL,1,,80,28,32,20,3,0,3,0
filioma01c,1977,QUN,WHA,2,,21,13,7,1,11,5,6,0
schoeji01c,1998,PHO,NHL,1,,82,39,31,12,7,3,4,0
mckenke01c,1923,EDE,WCHL,1,,30,11,15,4,,,,
crawfma01c,2007,LAK,NHL,1,,82,32,43,7,,,,
ivanto01c,1948,DET,NHL,1,,60,34,19,7,11,4,7,0
rossar01c,1942,BOS,NHL,1,,50,24,17,9,9,4,5,0
conacch01c,1949,CHI,NHL,1,,70,22,38,10,,,,
thomppe01c,1920,HAM,NHL,1,,24,6,18,0,,,,
johnsma01c,1974,CLF,NHL,1,,48,11,28,9,,,,
lewisda01c,2006,BOS,NHL,1,,82,35,41,6,,,,
bowneri01c,1996,NYI,NHL,2,,37,16,18,3,,,,
krommbo01c,1975,WIJ,WHA,1,,81,52,27,2,13,12,1,0
bowmasc01c,1984,BUF,NHL,1,,80,38,28,14,5,2,3,0
martija02c,2011,MTL,NHL,1,,32,13,12,7,,,,
ubriage01c,1989,PIT,NHL,1,,26,10,14,2,,,,
richama01c,1972,QUN,WHA,1,,2,1,1,0,,,,
trottbr01c,2002,NYR,NHL,1,,54,21,27,6,,,,
evansja01c,1975,CLF,NHL,1,,80,27,42,11,,,,
pulfobo01c,1999,CHI,NHL,2,,58,28,24,6,,,,
lalonne01c,1921,MTL,NHL,1,,7,2,5,0,,,,
patrily01c,1975,STL,NHL,2,,8,3,5,0,,,,
demerja01c,1984,STL,NHL,1,,80,37,31,12,3,0,3,0
vachoro01c,1983,LAK,NHL,2,,2,1,0,1,,,,
mccrebi01c,1971,STL,NHL,2,,24,6,14,4,,,,
duttore01c,1938,NYA,NHL,1,,48,17,21,10,2,0,2,0
hartlbo01c,2001,COL,NHL,1,,82,45,29,8,21,11,10,0
blackdo01c,1980,HAR,NHL,1,,60,15,29,16,,,,
glovefr01c,1969,OAK,NHL,1,,76,22,40,14,4,0,4,0
arboual01c,1983,NYI,NHL,1,,80,50,26,4,21,12,9,0
keenami01c,2000,BOS,NHL,2,,74,33,34,7,,,,
blairwr01c,1969,MNS,NHL,1,,32,9,13,10,,,,
geoffbe01c,1972,ATF,NHL,1,,78,25,38,15,,,,
mclelto01c,2008,SJS,NHL,1,,82,53,18,11,6,2,4,0
francbo01c,2003,PHO,NHL,1,,62,20,27,15,,,,
therrmi01c,2005,PIT,NHL,2,,51,14,29,8,,,,
hartlbo01c,2002,ATL,NHL,3,,39,19,15,5,,,,
noelcl01c,2009,CBS,NHL,2,,24,10,8,6,,,,
rossar01c,1927,BOS,NHL,1,,44,20,13,11,2,0,1,1
dudleri01c,2003,FLO,NHL,2,,40,13,18,9,,,,
dandule01c,1934,MTL,NHL,2,,32,14,15,3,2,0,2,0
savaged01c,1915,PO1,PCHA,1,,18,13,5,0,5,2,3,0
imlacpu01c,1966,TOR,NHL,1,,70,32,27,11,12,8,4,0
boilema01c,1973,PIT,NHL,2,,28,14,10,4,,,,
schoeji01c,1988,NJD,NHL,1,,80,27,41,12,,,,
bowneri01c,2003,PHO,NHL,2,,20,2,15,3,,,,
abelsi01c,1975,KCS,NHL,2,,3,0,3,0,,,,
rossar01c,1926,BOS,NHL,1,,44,21,20,3,8,2,2,4
querrch01c,1926,TRS,NHL,2,,29,8,17,4,,,,
macneal01c,1981,CAL,NHL,1,,80,29,34,17,3,0,3,0
mcvieto01c,1977,WAS,NHL,1,,80,17,49,14,,,,
trotzba01c,2007,NAS,NHL,1,,82,41,32,9,6,2,4,0
stuarbr02c,1909,OT1,NHA,1,,12,9,3,0,,,,
bowmasc01c,1979,BUF,NHL,1,,80,47,17,16,14,9,5,0
muldope01c,1920,SEA,PCHA,1,,24,12,11,1,2,0,2,0
milbumi01c,1996,NYI,NHL,1,,45,13,23,9,,,,
cassibr01c,2002,WAS,NHL,1,,82,39,35,8,6,2,4,0
rossar01c,1925,BOS,NHL,1,,36,17,15,4,,,,
krommbo01c,1979,DET,NHL,1,,71,24,36,11,,,,
burnspa01c,1997,BOS,NHL,1,,82,39,30,13,6,2,4,0
imlacpu01c,1970,BUF,NHL,1,,78,24,39,15,,,,
bouchfr01c,1943,NYR,NHL,1,,50,6,39,5,,,,
stevejo01c,2009,PHI,NHL,1,,25,13,11,1,,,,
demerja01c,1995,MTL,NHL,1,,4,0,4,0,,,,
nealeha01c,1973,MFS,WHA,1,,76,42,32,2,11,6,5,0
krommbo01c,1976,WIJ,WHA,1,,80,46,32,2,20,11,9,0
campbco01c,1995,NYR,NHL,1,,82,41,27,14,11,5,6,0
babcomi01c,2005,DET,NHL,1,,82,58,16,8,6,2,4,0
gadsbbi01c,1968,DET,NHL,1,,76,33,31,12,,,,
ryanro01c,1973,NEW,WHA,1,,78,43,31,4,7,3,4,0
hartce01c,1927,MTL,NHL,1,,44,26,11,7,2,0,1,1
blaketo01c,1965,MTL,NHL,1,,70,41,21,8,10,8,2,0
ingarea01c,1972,NYI,NHL,2,,30,6,22,2,,,,
greenpe01c,1921,OTS,NHL,1,,24,14,8,2,2,0,1,1
therrmi01c,2002,MTL,NHL,1,,46,18,23,5,,,,
patrily01c,1974,STL,NHL,2,,2,1,0,1,,,,
nykolmi01c,1980,TOR,NHL,2,,40,15,15,10,3,0,3,0
fergujo01c,1976,NYR,NHL,1,,80,29,37,14,,,,
neilsro01c,1993,FLO,NHL,1,,84,33,34,17,,,,
murrate01c,1994,PHI,NHL,1,,48,28,16,4,15,10,5,0
duncaar01c,1931,TOR,NHL,1,,5,0,3,2,,,,
webstto01c,1991,LAK,NHL,1,,80,35,31,14,6,2,4,0
lemaija01c,2009,NJD,NHL,1,,82,48,27,7,5,1,4,0
