playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
rileyja01,,,Jack,Riley,,John,,71.0,160.0,L,14122,14186.0,rileyja01,1932.0,1935.0,,,C,1910.0,12.0,29.0,Ireland,,Berckenla,1994.0,,,,,
smithbr01,,,Brian,Smith,,Brian Stuart,,72.0,180.0,L,14354,10560.0,smithbr01,1957.0,1960.0,,,L,1937.0,12.0,6.0,Canada,ON,Creighton Mine,,,,,,
batyrru01,,,Ruslan,Batyrshin,,Ruslan,,73.0,185.0,L,14880,18610.0,batyrru01,1995.0,1995.0,,,D,1975.0,2.0,19.0,Russia,,Moscow,,,,,,
caronja01,,,Jacques,Caron,,Jacques Joseph,,74.0,185.0,L,18460,833.0,caronja01,1967.0,1973.0,1975.0,1976.0,G,1940.0,4.0,21.0,Canada,QC,Rouyn-Noranda,,,,,,
kellype02,,,Pete,Kelly,,Peter Cameron,Red,71.0,170.0,R,13176,14663.0,kellype01,1934.0,1941.0,,,R,1913.0,5.0,22.0,Canada,MB,St. Vital,2004.0,3.0,22.0,,,
devrigr01,,,Greg,de Vries,,Gregory,,74.0,215.0,L,10208,10719.0,devrigr01,1995.0,2008.0,,,D,1973.0,1.0,4.0,Canada,ON,Sundridge,,,,,,
bollada01,,,Dave,Bolland,,,,72.0,176.0,R,21290,71780.0,bollada01,2006.0,2011.0,,,C,1986.0,6.0,5.0,Canada,ON,Toronto,,,,,,
comeare01,,,Rey,Comeau,,Reynald Xavier,,68.0,190.0,L,12302,1061.0,comeare01,1971.0,1979.0,,,C,1948.0,10.0,25.0,Canada,QC,Montreal,,,,,,
tardima01,,,Marc,Tardif,,Marc,,72.0,195.0,L,14507,5308.0,tardima01,1969.0,1982.0,1973.0,1978.0,L,1949.0,6.0,12.0,Canada,QC,Granby,,,,,,
conacpa01,,,Pat,Conacher,,Patrick John,,68.0,190.0,L,10281,1069.0,conacpa01,1979.0,1995.0,,,L,1959.0,5.0,1.0,Canada,AB,Edmonton,,,,,,
robergo02,,robergo02h,Gord,Roberts,,Gordon William,Doc,71.0,180.0,L,P197102,,robergo01,,,,,L,1891.0,9.0,5.0,Canada,ON,Ottawa,1966.0,9.0,2.0,,,
travepa01,,,Patrick,Traverse,,Patrick,,76.0,207.0,L,11656,6397.0,travepa01,1995.0,2005.0,,,D,1974.0,3.0,14.0,Canada,QC,Montreal,,,,,,
sangubo01,,,Bobby,Sanguinetti,,,,75.0,190.0,R,,80230.0,sangubo01,2009.0,2011.0,,,D,1988.0,2.0,29.0,USA,NJ,Trenton,,,,,,
cleghsp01,cleghsp01c,cleghsp01h,Sprague,Cleghorn,,Sprague Horace,Peg,70.0,190.0,L,P195803,1024.0,cleghsp01,1918.0,1927.0,,,D,1890.0,3.0,11.0,Canada,QC,Montreal,1956.0,7.0,12.0,Canada,QC,Montreal
sheppja01,,,James,Sheppard,,,,74.0,210.0,L,21932,80487.0,sheppja01,2007.0,2009.0,,,C,1988.0,4.0,25.0,Canada,NS,Halifax,,,,,,
zeniued01,,,Ed,Zeniuk,,Edward William,,71.0,180.0,L,14748,11400.0,zeniued01,1954.0,1954.0,,,D,1933.0,3.0,8.0,Canada,SK,Landis,1996.0,4.0,14.0,Canada,AB,Edmonton
rockbha01,,,Harvey,Rockburn,,Harvey,Hard Rock,70.0,180.0,L,14161,20346.0,rockbha01,1929.0,1932.0,,,D,1908.0,8.0,20.0,Canada,ON,Ottawa,1977.0,6.0,9.0,,,
,,tuttwi01h,William,Tutt,,William Thayer,,,,,B197803,,,,,,,,1912.0,3.0,2.0,USA,CA,Coronado,1989.0,3.0,24.0,,,
scottla01,,,Laurie,Scott,,Lawrence Y.,,66.0,155.0,L,14259,22575.0,scottla01,1926.0,1927.0,,,L,1900.0,6.0,19.0,Canada,ON,South River,1977.0,2.0,15.0,,,
deulija01,,,Jarrett,Deuling,,Jarrett Rufus,,72.0,205.0,L,10360,1348.0,deulija01,1995.0,1996.0,,,L,1974.0,3.0,4.0,Canada,BC,Vernon,,,,,,
playfji01,playfji01c,,Jim,Playfair,,James,,76.0,200.0,L,11302,4317.0,playfji01,1983.0,1988.0,,,D,1964.0,5.0,22.0,Canada,BC,Vanderhoof,,,,,,
benzeji01,,,Jim,Benzelock,,James John,,70.0,185.0,R,,8308.0,benzeji01,,,1972.0,1975.0,R,1947.0,6.0,21.0,Canada,MB,Winnipeg,,,,,,
hanseta01,,,Tavis,Hansen,,Tavis Svend,,73.0,205.0,R,15067,15581.0,hanseta01,1994.0,2000.0,,,R,1975.0,6.0,17.0,Canada,SK,Prince Albert,,,,,,
tutenau01,,,Aud,Tuten,,Audley Kendrick,Ant/Tut,70.0,180.0,L,14590,14313.0,tutenau01,1941.0,1942.0,,,D,1915.0,1.0,14.0,USA,AL,Enterprise,1994.0,5.0,7.0,,,
,,tretivl01h,Vladislav,Tretiak,,Vladislav Aleksandrovich,,73.0,202.0,L,P198903,,tretivl01,,,,,G,1952.0,4.0,25.0,Russia,,Dmitrov,,,,,,
nielski01,,,Kirk,Nielsen,,Kirk,,73.0,205.0,R,15083,18010.0,nielski01,1997.0,1997.0,,,R,1973.0,10.0,19.0,USA,MN,Grand Rapids,,,,,,
schaeno01,,,Nolan,Schaefer,,,,74.0,200.0,R,19720,49686.0,schaeno01,2005.0,2005.0,,,G,1980.0,1.0,15.0,Canada,SK,Regina,,,,,,
,livined01c,,Ed,Livingston,,Edward,,,,,,,,,,,,,,,,,,,,,,,,
ojaneja01,,,Janne,Ojanen,,Janne Juhani,,74.0,200.0,L,11227,4066.0,ojaneja01,1988.0,1992.0,,,C,1968.0,4.0,9.0,Finland,,Tampere,,,,,,
kaletal01,,,Alex,Kaleta,,Alexander,Killer,72.0,175.0,L,13152,12062.0,kaletal01,1941.0,1950.0,,,L,1919.0,11.0,29.0,Canada,AB,Canmore,1987.0,7.0,9.0,,,
harkito01,,,Todd,Harkins,,Todd Michael,,75.0,210.0,R,10610,2153.0,harkito01,1991.0,1993.0,,,C,1968.0,10.0,8.0,USA,OH,Cleveland,,,,,,
polisgr01,,,Greg,Polis,,Gregory Linn,Pole Cat,72.0,195.0,L,14014,4336.0,polisgr01,1970.0,1979.0,,,L,1950.0,8.0,8.0,Canada,AB,Westlock,,,,,,
cloutre02,,,Rejean,Cloutier,,Rejean,,72.0,185.0,L,12287,6250.0,cloutre02,1979.0,1981.0,,,D,1960.0,2.0,15.0,Canada,QC,Windsor,,,,,,
lilesjo01,,,John-Michael,Liles,,,,70.0,185.0,L,19713,49597.0,lilesjo01,2003.0,2011.0,,,D,1980.0,11.0,25.0,USA,IN,Indianapolis,,,,,,
buswewa01,,,Walt,Buswell,,Walter Gerald,,71.0,170.0,L,12167,698.0,buswewa01,1932.0,1939.0,,,D,1907.0,11.0,6.0,Canada,QC,Montreal,1991.0,10.0,16.0,,,
dineebi01,dineebi01c,,Bill,Dineen,,William Patrick,Foxy,71.0,180.0,R,12464,1366.0,dineebi01,1953.0,1957.0,,,R,1932.0,9.0,18.0,Canada,QC,Arvida,,,,,,
milbumi01,milbumi01c,,Mike,Milbury,,Michael James,,73.0,200.0,L,13732,3714.0,milbumi01,1975.0,1986.0,,,D,1952.0,6.0,17.0,USA,MA,Brighton,,,,,,
ouimete01,,,Ted,Ouimet,,Edward John,,69.0,165.0,L,18647,10269.0,ouimete01,1968.0,1968.0,1974.0,1974.0,G,1947.0,7.0,6.0,Canada,QC,Rouyn-Noranda,,,,,,
chouigu01,,,Guy,Chouinard,,Guy Camil,Gramps,71.0,182.0,R,12266,972.0,chouigu01,1974.0,1983.0,,,C,1956.0,10.0,20.0,Canada,QC,Quebec City,,,,,,
stephbo01,,,Bob,Stephenson,,Robert,,73.0,187.0,R,14446,5172.0,stephbo01,1979.0,1979.0,1977.0,1978.0,R,1954.0,2.0,1.0,Canada,SK,Saskatoon,,,,,,
,,grantmi01h,Mike,Grant,,Michael,,,,,P195003,,grantmi01,,,,,D,1874.0,1.0,,Canada,QC,Montreal,9999.0,,,,,
bouchjo01,,,Joel,Bouchard,,Joel,,73.0,209.0,L,10141,496.0,bouchjo01,1994.0,2005.0,,,D,1974.0,1.0,23.0,Canada,QC,Montreal,,,,,,
melinro01,,,Roger,Melin,,Roger Alf,,76.0,195.0,L,13703,7500.0,melinro01,1980.0,1981.0,,,L,1956.0,4.0,25.0,Sweden,,Enkoping,,,,,,
drouiju01,,,Jude,Drouin,,Jude,,70.0,160.0,R,12492,1438.0,drouiju01,1968.0,1980.0,,,C,1948.0,10.0,28.0,Canada,QC,Murdochville,,,,,,
skraska01,,,Karlis,Skrastins,,Karlis,,73.0,210.0,L,17737,40221.0,skraska01,1998.0,2010.0,,,D,1974.0,7.0,9.0,Latvia,,Riga,2011.0,9.0,7.0,Russia,,Yaroslavl
howarji01,,,Jimmy,Howard,,James,,72.0,218.0,L,20919,67804.0,howarja02,2005.0,2011.0,,,G,1984.0,3.0,26.0,USA,NY,Syracuse,,,,,,
,quinnmi01c,,Mike,Quinn,,Michael,,,,,,,quinnmi99c,,,,,,,,,,,,9999.0,,,,,
stuarbi01,,,Billy,Stuart,,William Roxborough,Red,71.0,190.0,L,14473,24560.0,stuarbi01,1920.0,1926.0,,,D,1900.0,2.0,1.0,Canada,NB,Sackville,1978.0,3.0,7.0,,,
fiorepe01,,,Peter,Fiorentino,,Peter N.,,73.0,205.0,R,10475,1683.0,fiorepe01,1991.0,1991.0,,,D,1968.0,12.0,22.0,Canada,ON,Niagara Falls,,,,,,
dorean01,,,Andre,Dore,,Andre Hector,Trap,74.0,200.0,R,12478,1406.0,dorean01,1978.0,1984.0,,,D,1958.0,2.0,11.0,Canada,QC,Montreal,,,,,,
berthda01,,,Daniel,Berthiaume,,Daniel J.,The Bandit,69.0,155.0,L,18218,366.0,berthda01,1985.0,1993.0,,,G,1966.0,1.0,26.0,Canada,QC,Longueuil,,,,,,
taffeje01,,,Jeff,Taffe,,,,75.0,207.0,L,19585,49573.0,taffeje01,2002.0,2011.0,,,C,1981.0,2.0,19.0,USA,MN,Hastings,,,,,,
