year,lgid,tmid,oppid,w,l,t,otl
1989,NHL,NYI,HAR,1,2,0.0,
2008,NHL,BUF,COL,0,0,,1
1949,NHL,TOR,BOS,7,5,2.0,
2000,NHL,STL,DET,0,3,2.0,0
2010,NHL,STL,WAS,0,2,,0
2009,NHL,DAL,NYI,1,0,,0
1998,NHL,NYI,VAN,1,0,1.0,
2003,NHL,PHO,ATL,0,1,1.0,0
2011,NHL,NYR,WAS,2,2,,0
2007,NHL,NJD,PHO,0,1,,0
2001,NHL,ATL,TBL,1,2,2.0,0
1973,NHL,CHI,MNS,3,1,1.0,
1909,NHA,REN,LES,2,0,0.0,
2008,NHL,BOS,NAS,0,0,,1
1985,NHL,EDM,CHI,3,0,0.0,
1970,NHL,VAN,PHI,2,4,0.0,
2008,NHL,ATL,AND,1,0,,0
1947,NHL,BOS,TOR,3,6,3.0,
1936,NHL,DET,MTL,1,4,1.0,
1924,WCHL,REG,EDE,2,3,0.0,
1938,NHL,DET,NYA,3,3,2.0,
1978,WHA,CIN,SOV,0,1,0.0,
2007,NHL,SJS,PIT,1,0,,0
1998,NHL,NYR,COL,1,1,0.0,
2001,NHL,WAS,CHI,1,0,0.0,0
1994,NHL,STL,CAL,2,2,0.0,
2010,NHL,TOR,NAS,1,0,,0
1971,NHL,VAN,PHI,1,5,0.0,
1987,NHL,TOR,WIN,1,2,0.0,
2008,NHL,PHO,NAS,1,3,,0
1997,NHL,CAR,BUF,1,4,1.0,
1978,NHL,BUF,COR,3,0,1.0,
2001,NHL,BOS,TOR,1,4,0.0,0
1968,NHL,LAK,OAK,4,2,2.0,
1974,NHL,WAS,PIT,1,5,0.0,
2011,NHL,WPG,OTT,1,3,,0
1979,NHL,MTL,HAR,1,0,3.0,
1973,NHL,CLF,DET,1,4,0.0,
1994,NHL,NYR,BUF,3,1,0.0,
1972,WHA,LAS,PHB,2,4,0.0,
1997,NHL,WAS,MTL,2,1,1.0,
1993,NHL,CAL,TOR,3,1,0.0,
1996,NHL,VAN,DAL,2,2,0.0,
1977,NHL,STL,BOS,0,4,0.0,
1990,NHL,NYI,BUF,0,2,1.0,
1971,NHL,DET,BOS,1,5,0.0,
1977,NHL,VAN,MNS,3,3,0.0,
1925,WCHL,EDE,VMR,4,1,0.0,
1984,NHL,STL,LAK,2,1,0.0,
1993,NHL,FLO,BUF,2,2,0.0,
1976,WHA,CAC,NEW,1,5,0.0,
2005,NHL,CAR,DET,1,0,,0
2002,NHL,SJS,TBL,0,2,0.0,0
1973,WHA,WIJ,NEW,3,3,0.0,
2010,NHL,FLO,WAS,3,2,,1
2010,NHL,CHI,BUF,2,0,,0
1984,NHL,NYR,WIN,0,3,0.0,
2011,NHL,MTL,FLO,0,3,,1
1989,NHL,LAK,CHI,1,2,0.0,
1998,NHL,EDM,PHO,2,2,0.0,
1995,NHL,DET,CAL,3,0,1.0,
2007,NHL,COL,ATL,1,0,,0
1999,NHL,NJD,DAL,0,1,0.0,1
1979,NHL,CHI,NYI,1,2,1.0,
1997,NHL,CAR,BOS,3,2,0.0,
2003,NHL,BUF,SJS,1,0,0.0,0
2001,NHL,VAN,FLO,0,0,1.0,0
1979,NHL,STL,ATF,1,3,0.0,
1981,NHL,NYI,DET,3,0,0.0,
1983,NHL,NYR,CHI,2,1,0.0,
2007,NHL,CAL,TBL,1,0,,0
1975,WHA,CLC,DOT,0,3,1.0,
2002,NHL,TBL,OTT,2,2,0.0,0
2011,NHL,EDM,BUF,0,1,,0
2005,NHL,EDM,SJS,3,1,,0
2007,NHL,STL,MTL,1,0,,0
1996,NHL,TOR,OTT,0,2,0.0,
2000,NHL,NAS,ANA,1,0,2.0,1
2006,NHL,TBL,CAR,5,3,,0
2001,NHL,TBL,PHO,1,0,0.0,0
1976,NHL,MNS,ATF,1,2,2.0,
1984,NHL,LAK,VAN,4,2,2.0,
1998,NHL,LAK,ANA,1,5,0.0,
1997,NHL,BOS,DET,1,1,0.0,
1930,NHL,TOR,CHI,4,0,0.0,
1973,NHL,BOS,PHI,3,1,1.0,
1992,NHL,HAR,LAK,0,2,0.0,
2010,NHL,BUF,PHO,1,0,,0
1996,NHL,CAL,COL,3,3,0.0,
2005,NHL,ATL,PHO,0,1,,0
2006,NHL,PHI,WAS,0,4,,0
1973,WHA,CLC,WIJ,4,2,0.0,
1986,NHL,PIT,CAL,1,2,0.0,
2010,NHL,LAK,BOS,2,0,,0
1985,NHL,CHI,DET,6,2,0.0,
1996,NHL,PHI,BOS,2,1,1.0,
1978,NHL,VAN,MTL,0,3,1.0,
1994,NHL,HAR,BOS,1,3,0.0,
1980,NHL,TOR,STL,1,3,0.0,
1984,NHL,CHI,PIT,2,1,0.0,
1999,NHL,ANA,ATL,1,0,0.0,0
2003,NHL,ATL,CHI,1,0,0.0,0
1975,WHA,TOT,IND,0,4,0.0,
2009,NHL,CAR,CAL,0,1,,0
2009,NHL,EDM,AND,0,4,,0
2008,NHL,FLO,PHO,0,1,,0
1993,NHL,QUE,NYR,0,4,0.0,
1973,NHL,VAN,DET,3,2,0.0,
1982,NHL,DET,HAR,3,0,0.0,
1980,NHL,NYR,PIT,1,2,1.0,
1978,WHA,IND,QUN,1,1,0.0,
1988,NHL,LAK,PHI,2,1,0.0,
1999,NHL,BUF,NJD,2,2,0.0,0
2011,NHL,PHO,COL,3,1,,0
2003,NHL,SJS,NJD,0,0,0.0,1
1979,NHL,WAS,TOR,1,3,0.0,
2002,NHL,LAK,BOS,0,0,0.0,1
1972,NHL,VAN,MTL,0,6,0.0,
1974,WHA,NEW,IND,5,1,0.0,
1991,NHL,WIN,MTL,0,1,1.0,
1926,NHL,NYA,MTM,2,4,0.0,
1998,NHL,NAS,NYI,1,1,0.0,
1984,NHL,TOR,MTL,3,0,0.0,
2009,NHL,WAS,MTL,2,1,,1
1929,NHL,DTC,OTS,0,3,1.0,
1975,NHL,TOR,NYI,1,3,1.0,
1985,NHL,VAN,STL,0,3,0.0,
1999,NHL,NAS,PHO,1,2,1.0,0
1971,NHL,CLF,BOS,2,4,0.0,
1985,NHL,WAS,QUE,3,0,0.0,
1999,NHL,LAK,WAS,1,0,1.0,0
2006,NHL,VAN,CAL,4,4,,0
2006,NHL,NYI,STL,0,0,,1
2009,NHL,COL,FLO,1,0,,1
1973,WHA,NEW,CLC,5,3,0.0,
2000,NHL,ATL,ANA,1,1,0.0,0
2002,NHL,CAR,DAL,1,0,0.0,1
1998,NHL,ANA,BOS,1,1,0.0,
1986,NHL,WAS,CHI,1,1,1.0,
2005,NHL,PHI,DET,0,1,,0
1995,NHL,PHI,DET,1,1,0.0,
1995,NHL,SJS,BUF,1,1,0.0,
1996,NHL,EDM,TOR,3,1,0.0,
1990,NHL,PIT,BOS,1,1,1.0,
1964,NHL,TOR,CHI,8,4,2.0,
2002,NHL,CAL,CAR,0,1,0.0,0
1974,WHA,TOT,QUN,3,3,0.0,
1986,NHL,CHI,EDM,2,1,0.0,
1981,NHL,VAN,CAL,3,3,2.0,
1969,NHL,OAK,PIT,3,2,3.0,
2009,NHL,TBL,OTT,2,1,,1
2008,NHL,CAR,STL,2,0,,0
1980,NHL,CHI,PIT,3,1,0.0,
1974,NHL,MNS,WAS,3,0,1.0,
1983,NHL,CHI,NJD,1,2,0.0,
1984,NHL,WIN,BUF,2,1,0.0,
1993,NHL,LAK,OTT,1,1,0.0,
1982,NHL,PHI,PIT,5,1,1.0,
1986,NHL,STL,EDM,0,3,0.0,
1962,NHL,DET,NYR,9,3,2.0,
2011,NHL,CAL,TOR,1,1,,0
1978,NHL,WAS,STL,2,2,0.0,
1969,NHL,PHI,TOR,2,3,1.0,
2009,NHL,EDM,TOR,1,1,,0
1997,NHL,VAN,COL,0,4,2.0,
2011,NHL,CHI,MTL,1,0,,0
1972,WHA,NEW,CLC,5,3,0.0,
1980,NHL,STL,CHI,2,1,1.0,
1988,NHL,NYI,NYR,2,5,0.0,
2002,NHL,NYR,DAL,0,0,1.0,0
1997,NHL,WAS,NYI,5,0,1.0,
2010,NHL,CBS,PHI,1,0,,0
1968,NHL,PIT,MNS,5,3,0.0,
2010,NHL,BOS,MIN,0,1,,0
