film_id,title,description
124,CASPER DRAGONFLY,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert
213,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention
259,DUCK RACER,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank
338,FRISCO FORREST,A Beautiful Documentary of a Woman And a Pioneer who must Pursue a Mad Scientist in A Shark Tank
388,GUNFIGHT MOON,A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert
465,INTERVIEW LIAISONS,A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse
517,LESSON CLEOPATRA,A Emotional Display of a Man And a Explorer who must Build a Boy in A Manhattan Penthouse
532,LOSER HUSTLER,A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria
597,MOONWALKER FOOL,A Epic Drama of a Feminist And a Pioneer who must Sink a Composer in New Orleans
647,OUTFIELD MASSACRE,A Thoughtful Drama of a Husband And a Secret Agent who must Pursue a Database Administrator in Ancient India
729,RIDER CADDYSHACK,A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria
734,ROAD ROXANNE,A Boring Character Study of a Waitress And a Astronaut who must Fight a Crocodile in Ancient Japan
738,ROCKETEER MOTHER,A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank
747,ROXANNE REBEL,A Astounding Story of a Pastry Chef And a Database Administrator who must Fight a Man in The Outback
812,SMOKING BARBARELLA,A Lacklusture Saga of a Mad Cow And a Mad Scientist who must Sink a Cat in A MySQL Convention
825,SPEAKEASY DATE,A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse
841,STAR OPERATION,A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank
936,VANISHING ROCKY,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention
942,VIETNAM SMOOCHY,A Lacklusture Display of a Butler And a Man who must Sink a Explorer in Soviet Georgia
972,WHISPERER GIANT,A Intrepid Story of a Dentist And a Hunter who must Confront a Monkey in Ancient Japan
994,WYOMING STORM,A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat
