qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
512,42,23,7,11,12,1:12.851,1:12.920,
5122,866,817,5,16,14,1:15.552,1:15.078,
5503,882,821,15,12,18,1:37.990,,
2961,272,30,22,5,2,1:16.197,,
1453,125,11,17,10,15,1:38.141,,
108,22,16,10,20,20,1:28.325,,
3417,340,15,205,18,20,1:39.399,,
2372,247,89,29,10,19,1:35.323,,
890,59,27,13,19,16,1:15.598,,
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392
5530,884,3,131,9,1,1:21.913,1:21.776,1:20.718
6025,906,8,6,7,10,1:17.013,1:16.245,1:16.214
3372,338,811,164,21,23,1:30.526,,
5505,882,820,206,23,20,1:39.537,,
835,57,8,1,3,5,1:31.263,1:30.203,1:30.933
4876,856,4,6,5,6,1:38.393,1:37.352,1:36.980
2172,230,64,27,10,17,1:24.468,,
5670,891,4,6,3,9,2:00.190,1:48.309,2:03.482
1495,156,49,20,22,15,1:13.281,,
319,33,14,9,9,11,1:18.303,1:18.187,
2465,251,63,25,4,16,1:29.028,,
370,36,4,1,1,2,1:26.697,1:25.326,1:26.493
5048,863,8,208,9,11,1:34.552,1:33.789,
713,51,3,3,16,15,1:37.144,1:37.483,
1828,207,71,21,1,20,1:34.806,,
6081,908,155,207,10,22,1:49.625,,
7330,978,835,4,30,11,1:41.404,1:30.193,
4866,855,816,166,25,20,1:36.439,,
5838,899,20,9,1,1,1:25.381,1:26.420,1:26.479
3850,112,31,3,3,9,1:19.377,,
3705,352,5,205,19,20,1:35.464,,
7331,978,826,5,26,12,1:41.726,1:30.355,
3861,112,8,1,6,20,,,
6356,928,813,208,13,11,1:38.563,1:38.134,
6292,918,1,131,44,2,1:41.207,1:40.920,1:40.866
5139,867,155,15,14,7,1:39.651,1:38.703,1:38.741
7184,971,8,6,7,5,1:30.988,1:29.843,1:29.567
7122,968,20,6,5,5,1:40.341,1:40.034,1:39.661
7089,966,828,15,9,15,1:21.062,1:21.536,
1688,192,71,17,9,11,1:18.988,,
2759,264,79,25,3,8,1:26.414,,
6874,956,825,4,20,17,1:07.941,,
5319,874,37,164,22,21,1:35.385,,
5178,868,39,164,23,23,1:52.040,,
5787,896,821,15,12,16,1:26.057,1:26.366,
2964,272,22,17,14,5,1:17.537,,
2288,244,56,17,15,9,1:24.857,,
